phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.005438e+02,2.135869e-05,,,,,
5.000000e-01,1024,1024,1024,SGEMM,4.385265e-01,4.704638e-07,3.912797e+01,5.488359e-05,,,,,
5.000000e-01,1024,1024,1024,SGEMM-TF32,9.225457e+02,2.929281e-04,9.894920e+01,2.170289e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.695952e+05,6.397671e-01,1.691518e+01,1.269560e-04,2.563029e-05,4.290590e-05,1.982856e-05,1.456287e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,8.601366e+04,5.211239e-02,1.321689e+01,1.624802e-04,2.635535e-05,6.394952e-05,2.948752e-05,1.533610e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.325893e+03,3.310755e-03,1.094667e+01,1.961769e-04,2.684165e-05,8.468641e-05,3.923647e-05,1.485238e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.395602e+02,2.072100e-04,9.274411e+00,2.315493e-04,2.759311e-05,1.054463e-04,4.879450e-05,1.591576e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.528490e+01,1.288512e-05,7.995540e+00,2.685852e-04,3.070322e-05,1.262971e-04,5.840485e-05,1.624083e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,7.709004e-01,7.478971e-07,7.038273e+00,3.051152e-04,3.215974e-05,1.473390e-04,6.824060e-05,1.720574e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,5.328933e-02,3.210583e-08,6.333168e+00,3.390852e-04,3.304854e-05,1.685361e-04,7.849544e-05,1.547741e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,4.785004e-04,2.079149e-08,5.720473e+00,3.754031e-04,3.497519e-05,1.892506e-04,8.776424e-05,1.657057e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.242658e-04,2.070033e-08,5.214076e+00,4.118627e-04,3.643944e-05,2.104854e-04,9.767208e-05,1.705349e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,3.166258e-04,2.071118e-08,4.789293e+00,4.483926e-04,3.768041e-05,2.319350e-04,1.073394e-04,1.794503e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,2.706090e-04,2.068472e-08,4.383972e+00,4.898488e-04,4.504921e-05,2.528555e-04,1.176159e-04,1.763226e-05,
