phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.388426e+02,1.546704e-05,,,,,
5.000000e-01,1024,1024,1024,CGEMM,5.642128e-01,6.666968e-07,4.853261e+01,1.769931e-04,,,,,
5.000000e-01,1024,1024,1024,CGEMM-TF32,8.742936e+02,2.930433e-04,1.209214e+02,7.103735e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,9.036423e+05,7.096435e-01,5.448123e+01,1.576678e-04,4.361137e-05,6.219071e-05,2.002829e-05,1.412241e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,1.237585e+05,6.077553e-02,4.247925e+01,2.022148e-04,4.591279e-05,9.314879e-05,2.998912e-05,1.527953e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,9.761260e+03,3.870409e-03,3.499505e+01,2.454614e-04,4.793167e-05,1.245037e-04,4.016628e-05,1.504594e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,8.424913e+02,2.424184e-04,2.980985e+01,2.881576e-04,4.941775e-05,1.551029e-04,4.940054e-05,1.638418e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,5.374855e+01,1.508842e-05,2.538296e+01,3.384134e-04,5.468486e-05,1.872697e-04,6.042533e-05,1.783661e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,3.556155e+00,8.837980e-07,2.241431e+01,3.832344e-04,5.809098e-05,2.180816e-04,6.930992e-05,1.964946e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,1.309621e-01,3.591438e-08,1.999758e+01,4.295488e-04,6.171332e-05,2.496783e-04,8.065519e-05,1.934445e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,1.513205e-03,2.078334e-08,1.811423e+01,4.742091e-04,6.432404e-05,2.804559e-04,9.040544e-05,2.095683e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.414673e-05,2.062918e-08,1.646920e+01,5.215757e-04,6.801434e-05,3.116962e-04,1.008121e-04,2.285802e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,5.764308e-05,2.064203e-08,1.517631e+01,5.660094e-04,7.157717e-05,3.413756e-04,1.101102e-04,2.473095e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,1.603824e-04,2.064116e-08,1.377039e+01,6.237973e-04,8.904580e-05,3.725122e-04,1.198093e-04,2.429605e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,9.580898e-05,2.064042e-08,1.275495e+01,6.734589e-04,9.421054e-05,4.044992e-04,1.305605e-04,2.601154e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,1.216555e-04,2.063845e-08,1.190734e+01,7.213982e-04,9.886777e-05,4.355488e-04,1.408894e-04,2.785446e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,9.969970e-05,2.063463e-08,1.114162e+01,7.709775e-04,1.039935e-04,4.677998e-04,1.509540e-04,2.991363e-05,
5.000000e-01,1024,1024,1024,OS2-accu-2,7.193466e+05,2.959848e-01,4.161627e+01,2.064081e-04,9.287999e-05,6.171552e-05,1.998026e-05,1.410482e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,4.365471e+04,2.057298e-02,3.428169e+01,2.505692e-04,9.463260e-05,9.279999e-05,2.990753e-05,1.531246e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,3.926183e+03,1.294776e-03,2.915693e+01,2.946104e-04,9.731033e-05,1.241677e-04,4.014457e-05,1.512398e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,2.403314e+02,8.086249e-05,2.528698e+01,3.396979e-04,9.966072e-05,1.555194e-04,5.003598e-05,1.652493e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,1.827721e+01,4.995014e-06,2.211106e+01,3.884903e-04,1.070792e-04,1.861258e-04,5.945567e-05,1.778577e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.103268e+00,2.814369e-07,1.974410e+01,4.350633e-04,1.103601e-04,2.174265e-04,6.952921e-05,1.964231e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,3.409705e-02,2.496971e-08,1.779027e+01,4.828445e-04,1.156532e-04,2.491567e-04,8.031889e-05,1.943436e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,4.875886e-04,2.067910e-08,1.625951e+01,5.283023e-04,1.188445e-04,2.800537e-04,9.028381e-05,2.103500e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,1.229466e-05,2.062529e-08,1.494748e+01,5.746743e-04,1.225411e-04,3.110759e-04,1.000835e-04,2.277393e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,5.194812e-06,2.062521e-08,1.387177e+01,6.192386e-04,1.260736e-04,3.415119e-04,1.089602e-04,2.464425e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,1.039141e-05,2.062541e-08,1.264212e+01,6.794694e-04,1.444971e-04,3.725397e-04,1.198903e-04,2.434182e-05,
5.000000e-01,1024,1024,1024,OS2-accu-13,8.796688e-06,2.062638e-08,1.183117e+01,7.260429e-04,1.485655e-04,4.042118e-04,1.290831e-04,2.599431e-05,
5.000000e-01,1024,1024,1024,OS2-accu-14,1.566861e-05,2.062620e-08,1.107535e+01,7.755903e-04,1.537734e-04,4.352348e-04,1.404322e-04,2.789506e-05,
5.000000e-01,1024,1024,1024,OS2-accu-15,8.375694e-06,2.062533e-08,1.043884e+01,8.228820e-04,1.579907e-04,4.666280e-04,1.500193e-04,2.999909e-05,
5.000000e-01,2048,2048,2048,INT8-GEMM,,,4.913078e+02,3.496763e-05,,,,,
5.000000e-01,2048,2048,2048,CGEMM,3.448343e+00,9.414518e-07,5.274800e+01,1.302788e-03,,,,,
5.000000e-01,2048,2048,2048,CGEMM-TF32,2.394383e+02,2.932409e-04,1.587174e+02,4.329676e-04,,,,,
5.000000e-01,2048,2048,2048,OS2-fast-2,2.467246e+05,1.000000e+00,1.813029e+02,3.790312e-04,1.052289e-04,1.754862e-04,4.427096e-05,3.572185e-05,
5.000000e-01,2048,2048,2048,OS2-fast-3,3.289756e+05,1.399056e-01,1.348044e+02,5.097716e-04,1.174682e-04,2.648097e-04,6.673434e-05,4.257422e-05,
5.000000e-01,2048,2048,2048,OS2-fast-4,1.948635e+04,9.153574e-03,1.098514e+02,6.255679e-04,1.269270e-04,3.511119e-04,8.947007e-05,3.971479e-05,
5.000000e-01,2048,2048,2048,OS2-fast-5,7.735503e+02,5.739352e-04,9.238569e+01,7.438325e-04,1.324056e-04,4.365957e-04,1.102254e-04,4.616948e-05,
5.000000e-01,2048,2048,2048,OS2-fast-6,7.635931e+01,3.581624e-05,7.787405e+01,8.824439e-04,1.488874e-04,5.263145e-04,1.349781e-04,5.358311e-05,
5.000000e-01,2048,2048,2048,OS2-fast-7,2.469984e+00,2.177874e-06,6.830312e+01,1.006096e-03,1.609878e-04,6.100301e-04,1.558691e-04,6.069826e-05,
5.000000e-01,2048,2048,2048,OS2-fast-8,3.934543e-01,9.131853e-08,6.104489e+01,1.125720e-03,1.750232e-04,6.976676e-04,1.784563e-04,5.597479e-05,
5.000000e-01,2048,2048,2048,OS2-fast-9,3.455770e-03,2.122965e-08,5.493851e+01,1.250844e-03,1.840717e-04,7.841112e-04,2.011415e-04,6.295934e-05,
5.000000e-01,2048,2048,2048,OS2-fast-10,1.030413e-04,2.067547e-08,4.988553e+01,1.377543e-03,1.977400e-04,8.691192e-04,2.218303e-04,7.013301e-05,
5.000000e-01,2048,2048,2048,OS2-fast-11,6.643138e-05,2.067798e-08,4.556464e+01,1.508176e-03,2.117869e-04,9.561083e-04,2.453008e-04,7.630605e-05,
5.000000e-01,2048,2048,2048,OS2-fast-12,1.510229e-04,2.067511e-08,4.091610e+01,1.679522e-03,2.759843e-04,1.044710e-03,2.678525e-04,7.225235e-05,
5.000000e-01,2048,2048,2048,OS2-fast-13,1.232240e-04,2.067488e-08,3.786175e+01,1.815010e-03,2.957986e-04,1.130890e-03,2.904012e-04,7.925196e-05,
5.000000e-01,2048,2048,2048,OS2-fast-14,2.637112e-04,2.068270e-08,3.524146e+01,1.949961e-03,3.140136e-04,1.217847e-03,3.131417e-04,8.617250e-05,
5.000000e-01,2048,2048,2048,OS2-fast-15,2.504508e-04,2.069880e-08,3.303483e+01,2.080213e-03,3.325770e-04,1.302450e-03,3.333151e-04,9.270590e-05,
5.000000e-01,2048,2048,2048,OS2-accu-2,1.129748e+06,4.803569e-01,1.269053e+02,5.415018e-04,2.707914e-04,1.725940e-04,4.418706e-05,3.575421e-05,
5.000000e-01,2048,2048,2048,OS2-accu-3,5.317784e+04,3.606172e-02,1.023181e+02,6.716256e-04,2.816738e-04,2.612113e-04,6.741402e-05,4.290196e-05,
5.000000e-01,2048,2048,2048,OS2-accu-4,2.989933e+03,2.279819e-03,8.741430e+01,7.861354e-04,2.907483e-04,3.476319e-04,8.943075e-05,3.980823e-05,
5.000000e-01,2048,2048,2048,OS2-accu-5,1.484208e+02,1.425427e-04,7.569075e+01,9.078980e-04,2.983988e-04,4.336816e-04,1.110097e-04,4.621935e-05,
5.000000e-01,2048,2048,2048,OS2-accu-6,1.161335e+01,8.870894e-06,6.581487e+01,1.044133e-03,3.163903e-04,5.206285e-04,1.348002e-04,5.372268e-05,
5.000000e-01,2048,2048,2048,OS2-accu-7,2.232389e+00,4.971121e-07,5.863789e+01,1.171929e-03,3.294609e-04,6.067517e-04,1.562528e-04,6.085694e-05,
5.000000e-01,2048,2048,2048,OS2-accu-8,1.372373e-02,2.690604e-08,5.329937e+01,1.289311e-03,3.434483e-04,6.928552e-04,1.784474e-04,5.598659e-05,
5.000000e-01,2048,2048,2048,OS2-accu-9,2.615529e-04,2.073844e-08,4.861725e+01,1.413479e-03,3.511931e-04,7.787387e-04,2.018187e-04,6.310753e-05,
5.000000e-01,2048,2048,2048,OS2-accu-10,1.440427e-05,2.066052e-08,4.463404e+01,1.539620e-03,3.648727e-04,8.641552e-04,2.218213e-04,7.022456e-05,
5.000000e-01,2048,2048,2048,OS2-accu-11,1.636416e-05,2.066020e-08,4.120232e+01,1.667855e-03,3.787176e-04,9.493068e-04,2.448410e-04,7.647785e-05,
5.000000e-01,2048,2048,2048,OS2-accu-12,4.010038e-06,2.066016e-08,3.733957e+01,1.840393e-03,4.434523e-04,1.037413e-03,2.685000e-04,7.230805e-05,
5.000000e-01,2048,2048,2048,OS2-accu-13,2.789106e-05,2.066284e-08,3.479159e+01,1.975175e-03,4.639203e-04,1.122500e-03,2.908220e-04,7.918855e-05,
5.000000e-01,2048,2048,2048,OS2-accu-14,4.317804e-05,2.066260e-08,3.255391e+01,2.110944e-03,4.820465e-04,1.209474e-03,3.141710e-04,8.627845e-05,
5.000000e-01,2048,2048,2048,OS2-accu-15,4.115052e-05,2.066147e-08,3.063698e+01,2.243024e-03,5.009042e-04,1.297121e-03,3.330925e-04,9.301469e-05,
5.000000e-01,4096,4096,4096,INT8-GEMM,,,1.446624e+03,9.500668e-05,,,,,
5.000000e-01,4096,4096,4096,CGEMM,1.614898e+01,1.331158e-06,5.400980e+01,1.017882e-02,,,,,
5.000000e-01,4096,4096,4096,CGEMM-TF32,1.019074e+04,2.936540e-04,1.754664e+02,3.133111e-03,,,,,
5.000000e-01,4096,4096,4096,OS2-fast-2,4.869170e+06,1.000000e+00,4.858328e+02,1.131574e-03,3.047491e-04,5.395352e-04,1.474855e-04,1.210688e-04,
5.000000e-01,4096,4096,4096,OS2-fast-3,1.255334e+06,1.539045e-01,3.476370e+02,1.581408e-03,3.558453e-04,8.377630e-04,2.217327e-04,1.473924e-04,
5.000000e-01,4096,4096,4096,OS2-fast-4,3.106375e+05,1.013289e-02,2.807813e+02,1.957950e-03,4.002356e-04,1.114686e-03,2.943966e-04,1.300147e-04,
5.000000e-01,4096,4096,4096,OS2-fast-5,8.455002e+03,6.353397e-04,2.318915e+02,2.370745e-03,4.346057e-04,1.392367e-03,3.691242e-04,1.557852e-04,
5.000000e-01,4096,4096,4096,OS2-fast-6,6.483759e+02,3.965078e-05,1.957490e+02,2.808474e-03,4.991304e-04,1.666160e-03,4.425000e-04,1.817383e-04,
5.000000e-01,4096,4096,4096,OS2-fast-7,5.417680e+01,2.416027e-06,1.702058e+02,3.229949e-03,5.448752e-04,1.941768e-03,5.162714e-04,2.079437e-04,
5.000000e-01,4096,4096,4096,OS2-fast-8,2.640947e+00,1.030479e-07,1.524798e+02,3.605435e-03,5.934869e-04,2.214155e-03,5.901611e-04,1.886575e-04,
5.000000e-01,4096,4096,4096,OS2-fast-9,8.279417e-02,2.130278e-08,1.369513e+02,4.014244e-03,6.284759e-04,2.487414e-03,6.644376e-04,2.149293e-04,
5.000000e-01,4096,4096,4096,OS2-fast-10,1.520953e-03,2.067524e-08,1.241168e+02,4.429343e-03,6.806006e-04,2.750925e-03,7.373605e-04,2.412359e-04,
5.000000e-01,4096,4096,4096,OS2-fast-11,7.627152e-03,2.072940e-08,1.132955e+02,4.852408e-03,7.339330e-04,3.019093e-03,8.122224e-04,2.679594e-04,
5.000000e-01,4096,4096,4096,OS2-fast-12,1.642287e-03,2.071610e-08,1.014906e+02,5.416815e-03,9.664961e-04,3.297598e-03,8.852327e-04,2.481958e-04,
5.000000e-01,4096,4096,4096,OS2-fast-13,2.796339e-03,2.071554e-08,9.370282e+01,5.867014e-03,1.043969e-03,3.569789e-03,9.585213e-04,2.754282e-04,
5.000000e-01,4096,4096,4096,OS2-fast-14,4.805587e-03,2.071005e-08,8.713394e+01,6.309319e-03,1.113808e-03,3.842067e-03,1.032545e-03,3.014707e-04,
5.000000e-01,4096,4096,4096,OS2-fast-15,2.421701e-03,2.069419e-08,8.131523e+01,6.760798e-03,1.191054e-03,4.114818e-03,1.107028e-03,3.281870e-04,
5.000000e-01,4096,4096,4096,OS2-accu-2,2.534948e+06,5.304024e-01,3.232376e+02,1.700779e-03,8.631481e-04,5.502886e-04,1.475127e-04,1.212445e-04,
5.000000e-01,4096,4096,4096,OS2-accu-3,4.865991e+05,4.111076e-02,2.589716e+02,2.122842e-03,9.021150e-04,8.327973e-04,2.216461e-04,1.475888e-04,
5.000000e-01,4096,4096,4096,OS2-accu-4,6.160259e+04,2.603944e-03,2.196405e+02,2.502980e-03,9.462013e-04,1.112893e-03,2.944574e-04,1.307058e-04,
5.000000e-01,4096,4096,4096,OS2-accu-5,4.815807e+03,1.628168e-04,1.889294e+02,2.909848e-03,9.807718e-04,1.384861e-03,3.694760e-04,1.557881e-04,
5.000000e-01,4096,4096,4096,OS2-accu-6,9.666475e+01,1.011375e-05,1.639985e+02,3.352200e-03,1.050115e-03,1.658965e-03,4.424408e-04,1.816887e-04,
5.000000e-01,4096,4096,4096,OS2-accu-7,1.030350e+01,5.712998e-07,1.454637e+02,3.779333e-03,1.101015e-03,1.934490e-03,5.165045e-04,2.083786e-04,
5.000000e-01,4096,4096,4096,OS2-accu-8,1.545222e+00,4.397976e-08,1.320544e+02,4.163101e-03,1.155998e-03,2.209329e-03,5.896701e-04,1.888476e-04,
5.000000e-01,4096,4096,4096,OS2-accu-9,1.213030e-02,2.087424e-08,1.201107e+02,4.577077e-03,1.195045e-03,2.483571e-03,6.643051e-04,2.149772e-04,
5.000000e-01,4096,4096,4096,OS2-accu-10,1.826733e-04,2.066440e-08,1.099878e+02,4.998336e-03,1.251060e-03,2.749193e-03,7.373996e-04,2.413690e-04,
5.000000e-01,4096,4096,4096,OS2-accu-11,2.531044e-04,2.066379e-08,1.013374e+02,5.425004e-03,1.308248e-03,3.017885e-03,8.114485e-04,2.681245e-04,
