phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,3.272286e+02,8.078035e+02,
5.000000e-01,1024,1024,1024,CGEMM,5.642128e-01,6.666968e-07,5.924033e+02,8.692436e+01,
5.000000e-01,1024,1024,1024,CGEMM-TF32,8.742936e+02,2.930433e-04,5.580134e+02,2.489404e+02,
5.000000e-01,1024,1024,1024,OS2-fast-2,9.036423e+05,7.096435e-01,2.870253e+02,1.914260e+02,
5.000000e-01,1024,1024,1024,OS2-fast-3,1.237585e+05,6.077553e-02,3.066120e+02,1.385913e+02,
5.000000e-01,1024,1024,1024,OS2-fast-4,9.761260e+03,3.870409e-03,3.202378e+02,1.093048e+02,
5.000000e-01,1024,1024,1024,OS2-fast-5,8.424913e+02,2.424184e-04,3.266846e+02,9.079278e+01,
5.000000e-01,1024,1024,1024,OS2-fast-6,5.374855e+01,1.508842e-05,3.344182e+02,7.649247e+01,
5.000000e-01,1024,1024,1024,OS2-fast-7,3.556155e+00,8.837980e-07,3.390878e+02,6.626901e+01,
5.000000e-01,1024,1024,1024,OS2-fast-8,1.309621e-01,3.591438e-08,3.404840e+02,5.900855e+01,
5.000000e-01,1024,1024,1024,OS2-fast-9,1.513205e-03,2.078334e-08,3.411342e+02,5.330645e+01,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.414673e-05,2.062918e-08,3.386030e+02,4.878306e+01,
5.000000e-01,1024,1024,1024,OS2-fast-11,5.764308e-05,2.064203e-08,3.391507e+02,4.467724e+01,
5.000000e-01,1024,1024,1024,OS2-fast-12,1.603824e-04,2.064116e-08,3.390141e+02,4.064133e+01,
5.000000e-01,1024,1024,1024,OS2-fast-13,9.580898e-05,2.064042e-08,3.410466e+02,3.757823e+01,
5.000000e-01,1024,1024,1024,OS2-fast-14,1.216555e-04,2.063845e-08,3.420915e+02,3.530585e+01,
5.000000e-01,1024,1024,1024,OS2-fast-15,9.969970e-05,2.063463e-08,3.439333e+02,3.251778e+01,
5.000000e-01,1024,1024,1024,OS2-accu-2,7.193466e+05,2.959848e-01,2.937064e+02,1.424887e+02,
5.000000e-01,1024,1024,1024,OS2-accu-3,4.365471e+04,2.057298e-02,3.101407e+02,1.105652e+02,
5.000000e-01,1024,1024,1024,OS2-accu-4,3.926183e+03,1.294776e-03,3.198966e+02,9.113495e+01,
5.000000e-01,1024,1024,1024,OS2-accu-5,2.403314e+02,8.086249e-05,3.271195e+02,7.733291e+01,
5.000000e-01,1024,1024,1024,OS2-accu-6,1.827721e+01,4.995014e-06,3.320453e+02,6.650975e+01,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.103268e+00,2.814369e-07,3.349579e+02,5.877710e+01,
5.000000e-01,1024,1024,1024,OS2-accu-8,3.409705e-02,2.496971e-08,3.381031e+02,5.276778e+01,
5.000000e-01,1024,1024,1024,OS2-accu-9,4.875886e-04,2.067910e-08,3.395521e+02,4.806501e+01,
5.000000e-01,1024,1024,1024,OS2-accu-10,1.229466e-05,2.062529e-08,3.386013e+02,4.424238e+01,
5.000000e-01,1024,1024,1024,OS2-accu-11,5.194812e-06,2.062521e-08,3.379521e+02,4.099792e+01,
5.000000e-01,1024,1024,1024,OS2-accu-12,1.039141e-05,2.062541e-08,3.391204e+02,3.736122e+01,
5.000000e-01,1024,1024,1024,OS2-accu-13,8.796688e-06,2.062638e-08,3.406405e+02,3.479876e+01,
5.000000e-01,1024,1024,1024,OS2-accu-14,1.566861e-05,2.062620e-08,3.412917e+02,3.256799e+01,
5.000000e-01,1024,1024,1024,OS2-accu-15,8.375694e-06,2.062533e-08,3.420550e+02,3.056161e+01,
5.000000e-01,2048,2048,2048,INT8-GEMM,,,2.750944e+02,2.585904e+03,
5.000000e-01,2048,2048,2048,CGEMM,3.448343e+00,9.414518e-07,6.451170e+02,8.286731e+01,
5.000000e-01,2048,2048,2048,CGEMM-TF32,2.394383e+02,2.932409e-04,7.661226e+02,2.183217e+02,
5.000000e-01,2048,2048,2048,OS2-fast-2,2.467246e+05,1.000000e+00,3.469660e+02,5.234319e+02,
5.000000e-01,2048,2048,2048,OS2-fast-3,3.289756e+05,1.399056e-01,4.373815e+02,3.083971e+02,
5.000000e-01,2048,2048,2048,OS2-fast-4,1.948635e+04,9.153574e-03,4.615070e+02,2.386730e+02,
5.000000e-01,2048,2048,2048,OS2-fast-5,7.735503e+02,5.739352e-04,4.686200e+02,1.966323e+02,
5.000000e-01,2048,2048,2048,OS2-fast-6,7.635931e+01,3.581624e-05,4.782279e+02,1.638005e+02,
5.000000e-01,2048,2048,2048,OS2-fast-7,2.469984e+00,2.177874e-06,4.832288e+02,1.414867e+02,
5.000000e-01,2048,2048,2048,OS2-fast-8,3.934543e-01,9.131853e-08,4.868808e+02,1.257455e+02,
5.000000e-01,2048,2048,2048,OS2-fast-9,3.455770e-03,2.122965e-08,4.882658e+02,1.128654e+02,
5.000000e-01,2048,2048,2048,OS2-fast-10,1.030413e-04,2.067547e-08,4.841479e+02,1.031812e+02,
5.000000e-01,2048,2048,2048,OS2-fast-11,6.643138e-05,2.067798e-08,4.820367e+02,9.479510e+01,
5.000000e-01,2048,2048,2048,OS2-fast-12,1.510229e-04,2.067511e-08,4.769384e+02,8.629980e+01,
