phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,2.354697e+01,9.119999e-05,,,,,
5.000000e-01,1024,1024,1024,DGEMM,1.785675e-09,8.776003e-16,1.699867e+01,1.263325e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,5.961131e+05,6.195140e-01,3.185501e+00,6.741432e-04,8.341926e-05,2.217599e-04,9.184053e-05,5.515057e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,1.720216e+05,5.031757e-02,2.639227e+00,8.136789e-04,8.833394e-05,3.278878e-04,1.377166e-04,5.596704e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,6.310840e+03,3.225149e-03,2.209289e+00,9.720246e-04,8.742664e-05,4.395042e-04,1.802973e-04,5.534878e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,7.040604e+02,2.030293e-04,1.914706e+00,1.121573e-03,8.390387e-05,5.481193e-04,2.266462e-04,5.567823e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,3.125123e+01,1.270791e-05,1.690256e+00,1.270508e-03,8.517799e-05,6.526930e-04,2.691190e-04,5.555463e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,1.425133e+00,7.952144e-07,1.513851e+00,1.418556e-03,8.491024e-05,7.609698e-04,3.109221e-04,5.403246e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,8.575711e-02,4.961000e-08,1.363758e+00,1.574680e-03,8.576757e-05,8.769507e-04,3.510683e-04,5.388465e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,2.454709e-03,3.100768e-09,1.245461e+00,1.724248e-03,8.605701e-05,9.745476e-04,3.986567e-04,5.353290e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,3.422107e-04,1.940574e-10,1.143902e+00,1.877332e-03,8.465602e-05,1.086167e-03,4.399289e-04,5.484578e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,2.224518e-05,1.212820e-11,1.060380e+00,2.025202e-03,8.596666e-05,1.182543e-03,4.878070e-04,5.470034e-05,
