phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,8.259108e+01,2.600140e-05,,,,,
5.000000e-01,1024,1024,1024,DGEMM,8.594851e-10,8.762780e-16,1.286394e+01,1.669382e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.215276e+05,6.299566e-01,9.948546e+00,2.158590e-04,6.998807e-05,5.421772e-05,2.659250e-05,2.329390e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,6.485873e+04,5.129632e-02,8.198854e+00,2.619249e-04,7.356706e-05,8.131126e-05,3.989373e-05,2.499021e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.553197e+03,3.283985e-03,7.052632e+00,3.044940e-04,7.763523e-05,1.080132e-04,5.295769e-05,2.410263e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.520982e+02,2.069958e-04,6.153356e+00,3.489939e-04,7.831773e-05,1.354276e-04,6.652906e-05,2.665233e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.592215e+01,1.295139e-05,5.449217e+00,3.940903e-04,8.041893e-05,1.618802e-04,8.009313e-05,2.934758e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,4.928434e-01,8.102758e-07,4.895598e+00,4.386561e-04,8.200181e-05,1.890185e-04,9.303707e-05,3.242494e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,3.936469e-02,5.064139e-08,4.422275e+00,4.856061e-04,8.406549e-05,2.169339e-04,1.065558e-04,3.604117e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,3.744011e-03,3.161367e-09,4.040455e+00,5.314955e-04,8.711381e-05,2.436207e-04,1.198537e-04,3.889228e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,1.270989e-04,1.974574e-10,3.720145e+00,5.772580e-04,8.924504e-05,2.708300e-04,1.336406e-04,4.165813e-05,
