phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,9.991744e+01,2.149258e-05,,,,,
5.000000e-01,1024,1024,1024,DGEMM,8.594851e-10,8.762780e-16,2.430683e+01,8.834899e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.215276e+05,6.299566e-01,1.501299e+01,1.430417e-04,3.373785e-05,4.312287e-05,2.048180e-05,1.490957e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,6.485873e+04,5.129632e-02,1.237373e+01,1.735518e-04,3.399229e-05,6.344202e-05,2.991272e-05,1.565766e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.553197e+03,3.283985e-03,1.039790e+01,2.065305e-04,3.441471e-05,8.564880e-05,4.045186e-05,1.524253e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.520982e+02,2.069958e-04,8.975888e+00,2.392503e-04,3.676952e-05,1.056186e-04,4.990405e-05,1.625277e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.592215e+01,1.295139e-05,7.930568e+00,2.707856e-04,3.715366e-05,1.263889e-04,5.982645e-05,1.667669e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,4.928434e-01,8.102758e-07,7.073872e+00,3.035797e-04,3.732988e-05,1.475332e-04,7.003990e-05,1.758896e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,3.936469e-02,5.064139e-08,6.432230e+00,3.338630e-04,3.768453e-05,1.683954e-04,7.981021e-05,1.710658e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,3.744011e-03,3.161367e-09,5.814239e+00,3.693490e-04,3.968952e-05,1.899903e-04,9.041918e-05,1.838715e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,1.270989e-04,1.974574e-10,5.352356e+00,4.012221e-04,4.070378e-05,2.104508e-04,1.001037e-04,1.918602e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,1.117788e-05,1.235789e-11,4.965377e+00,4.324915e-04,4.162150e-05,2.309481e-04,1.094879e-04,1.972950e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,1.414146e-06,7.725493e-13,4.617923e+00,4.650324e-04,4.210392e-05,2.527088e-04,1.199095e-04,1.975690e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,4.720867e-08,4.814241e-14,4.200127e+00,5.112902e-04,5.571284e-05,2.742671e-04,1.298889e-04,2.068737e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,4.678982e-09,3.959969e-15,3.944594e+00,5.444118e-04,5.914697e-05,2.945223e-04,1.393403e-04,2.110635e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,3.321655e-10,2.786150e-16,3.696870e+00,5.808925e-04,6.351376e-05,3.154259e-04,1.484443e-04,2.225096e-05,
5.000000e-01,1024,1024,1024,OS2-fast-16,7.896671e-12,4.856916e-17,3.494063e+00,6.146093e-04,6.608674e-05,3.372599e-04,1.598571e-04,2.084713e-05,
5.000000e-01,1024,1024,1024,OS2-fast-17,1.253078e-13,4.547194e-17,3.303031e+00,6.501555e-04,7.018812e-05,3.580652e-04,1.693490e-04,2.229916e-05,
5.000000e-01,1024,1024,1024,OS2-fast-18,1.154293e-15,4.542055e-17,3.131407e+00,6.857888e-04,7.253849e-05,3.794928e-04,1.803121e-04,2.286204e-05,
5.000000e-01,1024,1024,1024,OS2-fast-19,2.181671e-16,4.536940e-17,2.946002e+00,7.289484e-04,8.289579e-05,4.021873e-04,1.898679e-04,2.354880e-05,
5.000000e-01,1024,1024,1024,OS2-fast-20,2.185905e-16,4.549186e-17,2.755465e+00,7.793543e-04,8.602971e-05,4.233826e-04,2.155133e-04,2.375053e-05,
5.000000e-01,1024,1024,1024,OS2-accu-2,1.424150e+05,1.979698e-01,1.190879e+01,1.803275e-04,7.275678e-05,4.215727e-05,1.995260e-05,1.461916e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,1.620708e+04,1.319646e-02,1.012987e+01,2.119951e-04,7.179062e-05,6.318004e-05,3.029139e-05,1.559600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,9.260364e+02,8.302998e-04,8.778213e+00,2.446379e-04,7.384519e-05,8.432316e-05,4.026033e-05,1.525118e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.323340e+01,5.186650e-05,7.745740e+00,2.772471e-04,7.481633e-05,1.052502e-04,5.019151e-05,1.631751e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,3.169186e+00,3.246394e-06,6.929540e+00,3.099028e-04,7.719472e-05,1.260308e-04,5.959583e-05,1.666295e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,2.237095e-01,2.108297e-07,6.284949e+00,3.416867e-04,7.589903e-05,1.472849e-04,7.002306e-05,1.749664e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,1.352078e-02,1.957673e-08,5.736582e+00,3.743490e-04,7.788903e-05,1.682174e-04,8.022299e-05,1.713945e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,3.905016e-04,1.235064e-09,5.293245e+00,4.057027e-04,7.711824e-05,1.894555e-04,9.002750e-05,1.843028e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,5.075758e-05,7.713458e-11,4.877234e+00,4.403077e-04,7.999451e-05,2.105711e-04,1.001653e-04,1.888774e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,7.834582e-06,4.823831e-12,4.542976e+00,4.727042e-04,8.078772e-05,2.314654e-04,1.099744e-04,1.964580e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,4.346313e-07,3.053771e-13,4.248687e+00,5.054465e-04,8.274941e-05,2.521680e-04,1.202200e-04,1.964574e-05,
5.000000e-01,1024,1024,1024,OS2-accu-13,1.697952e-08,2.399088e-14,3.916639e+00,5.482975e-04,9.354696e-05,2.735017e-04,1.299204e-04,2.070683e-05,
5.000000e-01,1024,1024,1024,OS2-accu-14,1.125475e-09,1.394236e-15,3.677182e+00,5.840026e-04,9.756550e-05,2.943915e-04,1.396194e-04,2.186770e-05,
5.000000e-01,1024,1024,1024,OS2-accu-15,6.403499e-11,7.093988e-17,3.453702e+00,6.217918e-04,1.041423e-04,3.153745e-04,1.496522e-04,2.207313e-05,
5.000000e-01,1024,1024,1024,OS2-accu-16,1.459027e-12,4.609236e-17,3.282395e+00,6.542430e-04,1.057993e-04,3.364976e-04,1.605193e-04,2.086327e-05,
5.000000e-01,1024,1024,1024,OS2-accu-17,4.220137e-14,4.543892e-17,3.107590e+00,6.910446e-04,1.110049e-04,3.575376e-04,1.699698e-04,2.206408e-05,
5.000000e-01,1024,1024,1024,OS2-accu-18,5.386074e-16,4.545186e-17,2.965765e+00,7.240909e-04,1.122906e-04,3.786837e-04,1.800245e-04,2.264339e-05,
