phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.402292e+02,1.531410e-05,,,,,
5.000000e-01,1024,1024,1024,DGEMM,8.594851e-10,8.762780e-16,4.108229e+01,5.227273e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.215276e+05,6.299566e-01,1.653943e+01,1.298403e-04,3.294202e-05,4.315252e-05,1.679117e-05,1.352244e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,6.485873e+04,5.129632e-02,1.465991e+01,1.464868e-04,3.609533e-05,4.765198e-05,2.508550e-05,1.423859e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.553197e+03,3.283985e-03,1.250206e+01,1.717704e-04,3.963862e-05,6.209057e-05,3.305373e-05,1.365395e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.520982e+02,2.069958e-04,1.095119e+01,1.960959e-04,4.212186e-05,7.661486e-05,4.014807e-05,1.446541e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.592215e+01,1.295139e-05,9.636696e+00,2.228444e-04,4.410989e-05,9.201022e-05,4.857136e-05,1.531376e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,4.928434e-01,8.102758e-07,8.648385e+00,2.483104e-04,4.519411e-05,1.074182e-04,5.655965e-05,1.623150e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,3.936469e-02,5.064139e-08,7.869727e+00,2.728791e-04,4.605999e-05,1.227463e-04,6.470902e-05,1.631823e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,3.744011e-03,3.161367e-09,7.186224e+00,2.988334e-04,4.673425e-05,1.383000e-04,7.307310e-05,1.760780e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,1.270989e-04,1.974574e-10,6.409866e+00,3.350279e-04,4.765866e-05,1.644273e-04,8.129371e-05,1.847278e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,1.117788e-05,1.235789e-11,6.144343e+00,3.495058e-04,4.845580e-05,1.689161e-04,8.943672e-05,1.948874e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,1.414146e-06,7.725493e-13,5.716278e+00,3.756787e-04,4.930319e-05,1.857506e-04,9.817189e-05,1.902447e-05,
