phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.702019e+02,8.908778e+02,
5.000000e-01,1024,1024,1024,DGEMM,8.594851e-10,8.762780e-16,3.918007e+02,4.013104e+01,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.215276e+05,6.299566e-01,1.535785e+02,7.092105e+01,
5.000000e-01,1024,1024,1024,OS2-fast-3,6.485873e+04,5.129632e-02,1.592688e+02,5.648117e+01,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.553197e+03,3.283985e-03,1.622407e+02,4.784774e+01,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.520982e+02,2.069958e-04,1.639220e+02,4.127954e+01,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.592215e+01,1.295139e-05,1.649245e+02,3.631512e+01,
5.000000e-01,1024,1024,1024,OS2-fast-7,4.928434e-01,8.102758e-07,1.666145e+02,3.228481e+01,
5.000000e-01,1024,1024,1024,OS2-fast-8,3.936469e-02,5.064139e-08,1.683415e+02,2.889347e+01,
5.000000e-01,1024,1024,1024,OS2-fast-9,3.744011e-03,3.161367e-09,1.694171e+02,2.624863e+01,
5.000000e-01,1024,1024,1024,OS2-fast-10,1.270989e-04,1.974574e-10,1.706034e+02,2.401663e+01,
5.000000e-01,1024,1024,1024,OS2-fast-11,1.117788e-05,1.235789e-11,1.720948e+02,2.205964e+01,
5.000000e-01,1024,1024,1024,OS2-fast-12,1.414146e-06,7.725493e-13,1.733654e+02,2.058684e+01,
5.000000e-01,1024,1024,1024,OS2-fast-13,4.720867e-08,4.814241e-14,1.727635e+02,1.891995e+01,
5.000000e-01,1024,1024,1024,OS2-fast-14,4.678982e-09,3.959969e-15,1.732734e+02,1.751169e+01,
5.000000e-01,1024,1024,1024,OS2-fast-15,3.321655e-10,2.786150e-16,1.739251e+02,1.642136e+01,
5.000000e-01,1024,1024,1024,OS2-fast-16,7.896671e-12,4.856916e-17,1.731976e+02,1.553580e+01,
5.000000e-01,1024,1024,1024,OS2-fast-17,1.253078e-13,4.547194e-17,1.725610e+02,1.475927e+01,
5.000000e-01,1024,1024,1024,OS2-fast-18,1.154293e-15,4.542055e-17,1.727801e+02,1.414765e+01,
5.000000e-01,1024,1024,1024,OS2-fast-19,2.181671e-16,4.536940e-17,1.734959e+02,1.307071e+01,
5.000000e-01,1024,1024,1024,OS2-fast-20,2.185905e-16,4.549186e-17,1.734422e+02,1.256699e+01,
5.000000e-01,1024,1024,1024,OS2-accu-2,1.424150e+05,1.979698e-01,1.560685e+02,5.667415e+01,
5.000000e-01,1024,1024,1024,OS2-accu-3,1.620708e+04,1.319646e-02,1.593352e+02,4.702350e+01,
5.000000e-01,1024,1024,1024,OS2-accu-4,9.260364e+02,8.302998e-04,1.618794e+02,4.087148e+01,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.323340e+01,5.186650e-05,1.632078e+02,3.590763e+01,
5.000000e-01,1024,1024,1024,OS2-accu-6,3.169186e+00,3.246394e-06,1.654438e+02,3.187598e+01,
5.000000e-01,1024,1024,1024,OS2-accu-7,2.237095e-01,2.108297e-07,1.670905e+02,2.854373e+01,
5.000000e-01,1024,1024,1024,OS2-accu-8,1.352078e-02,1.957673e-08,1.691203e+02,2.578835e+01,
5.000000e-01,1024,1024,1024,OS2-accu-9,3.905016e-04,1.235064e-09,1.693261e+02,2.395339e+01,
5.000000e-01,1024,1024,1024,OS2-accu-10,5.075758e-05,7.713458e-11,1.705579e+02,2.184502e+01,
5.000000e-01,1024,1024,1024,OS2-accu-11,7.834582e-06,4.823831e-12,1.712948e+02,2.019643e+01,
5.000000e-01,1024,1024,1024,OS2-accu-12,4.346313e-07,3.053771e-13,1.726666e+02,1.900265e+01,
5.000000e-01,1024,1024,1024,OS2-accu-13,1.697952e-08,2.399088e-14,1.729360e+02,1.732260e+01,
5.000000e-01,1024,1024,1024,OS2-accu-14,1.125475e-09,1.394236e-15,1.740475e+02,1.622470e+01,
5.000000e-01,1024,1024,1024,OS2-accu-15,6.403499e-11,7.093988e-17,1.747075e+02,1.526618e+01,
5.000000e-01,1024,1024,1024,OS2-accu-16,1.459027e-12,4.609236e-17,1.733663e+02,1.455423e+01,
5.000000e-01,1024,1024,1024,OS2-accu-17,4.220137e-14,4.543892e-17,1.728944e+02,1.386097e+01,
5.000000e-01,1024,1024,1024,OS2-accu-18,5.386074e-16,4.545186e-17,1.728506e+02,1.320647e+01,
5.000000e-01,1024,1024,1024,OS2-accu-19,2.191288e-16,4.540600e-17,1.730619e+02,1.237071e+01,
5.000000e-01,1024,1024,1024,OS2-accu-20,2.205861e-16,4.541111e-17,1.736466e+02,1.187178e+01,
5.000000e-01,2048,2048,2048,INT8-GEMM,,,2.307108e+02,1.285684e+03,
5.000000e-01,2048,2048,2048,DGEMM,3.801892e-09,1.240304e-15,3.939364e+02,4.365355e+01,
5.000000e-01,2048,2048,2048,OS2-fast-2,1.112500e+06,7.110512e-01,2.428088e+02,1.693760e+02,
5.000000e-01,2048,2048,2048,OS2-fast-3,5.404253e+04,6.089621e-02,2.756625e+02,1.193422e+02,
5.000000e-01,2048,2048,2048,OS2-fast-4,1.429088e+04,3.881046e-03,2.921600e+02,9.772529e+01,
5.000000e-01,2048,2048,2048,OS2-fast-5,2.658027e+02,2.428282e-04,2.986226e+02,8.151678e+01,
5.000000e-01,2048,2048,2048,OS2-fast-6,1.682838e+02,1.516748e-05,3.000129e+02,7.120131e+01,
5.000000e-01,2048,2048,2048,OS2-fast-7,7.657444e-01,9.486671e-07,3.081492e+02,6.093274e+01,
5.000000e-01,2048,2048,2048,OS2-fast-8,2.666694e-01,5.932626e-08,3.135808e+02,5.412576e+01,
5.000000e-01,2048,2048,2048,OS2-fast-9,6.303068e-03,3.704637e-09,3.151148e+02,4.884616e+01,
5.000000e-01,2048,2048,2048,OS2-fast-10,3.530635e-04,2.394642e-10,3.180873e+02,4.412346e+01,
5.000000e-01,2048,2048,2048,OS2-fast-11,5.088182e-05,2.803394e-11,3.178097e+02,4.064954e+01,
5.000000e-01,2048,2048,2048,OS2-fast-12,1.398097e-06,1.809351e-12,3.230909e+02,3.780452e+01,
5.000000e-01,2048,2048,2048,OS2-fast-13,5.686636e-08,1.130450e-13,3.191488e+02,3.423410e+01,
5.000000e-01,2048,2048,2048,OS2-fast-14,4.951593e-08,6.945171e-15,3.191933e+02,3.191552e+01,
5.000000e-01,2048,2048,2048,OS2-fast-15,2.719570e-09,3.387687e-16,3.213917e+02,2.966625e+01,
5.000000e-01,2048,2048,2048,OS2-fast-16,1.704321e-11,4.936928e-17,3.169266e+02,2.813163e+01,
5.000000e-01,2048,2048,2048,OS2-fast-17,4.682423e-12,4.560341e-17,3.151769e+02,2.676254e+01,
5.000000e-01,2048,2048,2048,OS2-fast-18,9.594812e-14,4.545630e-17,3.138092e+02,2.551110e+01,
5.000000e-01,2048,2048,2048,OS2-fast-19,2.211992e-16,4.547697e-17,3.102269e+02,2.386705e+01,
5.000000e-01,2048,2048,2048,OS2-fast-20,2.197772e-16,4.548646e-17,3.133662e+02,2.269524e+01,
5.000000e-01,2048,2048,2048,OS2-accu-2,1.807812e+06,2.957520e-01,2.597970e+02,1.126763e+02,
5.000000e-01,2048,2048,2048,OS2-accu-3,1.138563e+05,2.059556e-02,2.733802e+02,9.073987e+01,
5.000000e-01,2048,2048,2048,OS2-accu-4,4.025137e+03,1.295094e-03,2.857617e+02,7.791093e+01,
5.000000e-01,2048,2048,2048,OS2-accu-5,1.761531e+02,8.100134e-05,2.930087e+02,6.707273e+01,
5.000000e-01,2048,2048,2048,OS2-accu-6,3.683517e+00,5.060862e-06,2.981005e+02,5.883900e+01,
5.000000e-01,2048,2048,2048,OS2-accu-7,1.173883e+00,3.440375e-07,3.015747e+02,5.257846e+01,
5.000000e-01,2048,2048,2048,OS2-accu-8,1.339974e-01,2.953872e-08,3.063475e+02,4.744145e+01,
5.000000e-01,2048,2048,2048,OS2-accu-9,5.053279e-03,1.846926e-09,3.081849e+02,4.336734e+01,
5.000000e-01,2048,2048,2048,OS2-accu-10,3.447213e-04,1.152860e-10,3.113458e+02,3.956110e+01,
5.000000e-01,2048,2048,2048,OS2-accu-11,2.750559e-05,7.215785e-12,3.120764e+02,3.671714e+01,
5.000000e-01,2048,2048,2048,OS2-accu-12,5.645197e-06,4.523980e-13,3.158659e+02,3.442720e+01,
5.000000e-01,2048,2048,2048,OS2-accu-13,7.943825e-08,3.757984e-14,3.119581e+02,3.149846e+01,
5.000000e-01,2048,2048,2048,OS2-accu-14,3.825495e-08,2.233723e-15,3.120935e+02,2.955859e+01,
5.000000e-01,2048,2048,2048,OS2-accu-15,7.279335e-10,9.418217e-17,3.144496e+02,2.758891e+01,
5.000000e-01,2048,2048,2048,OS2-accu-16,2.763511e-11,4.682043e-17,3.116063e+02,2.645168e+01,
5.000000e-01,2048,2048,2048,OS2-accu-17,6.826385e-13,4.550301e-17,3.084247e+02,2.517600e+01,
5.000000e-01,2048,2048,2048,OS2-accu-18,5.862032e-15,4.547429e-17,3.078929e+02,2.399133e+01,
5.000000e-01,2048,2048,2048,OS2-accu-19,2.193263e-16,4.548584e-17,3.049318e+02,2.253467e+01,
5.000000e-01,2048,2048,2048,OS2-accu-20,2.203968e-16,4.546164e-17,3.082068e+02,2.151497e+01,
5.000000e-01,4096,4096,4096,INT8-GEMM,,,3.016893e+02,1.368908e+03,
5.000000e-01,4096,4096,4096,DGEMM,7.080380e-08,1.753983e-15,3.946666e+02,4.561500e+01,
5.000000e-01,4096,4096,4096,OS2-fast-2,2.885624e+06,1.000000e+00,3.030957e+02,3.087813e+02,
5.000000e-01,4096,4096,4096,OS2-fast-3,3.235056e+06,1.395752e-01,3.895820e+02,1.795494e+02,
5.000000e-01,4096,4096,4096,OS2-fast-4,4.092906e+04,9.130770e-03,3.930078e+02,1.468753e+02,
5.000000e-01,4096,4096,4096,OS2-fast-5,1.050983e+04,5.725878e-04,3.925882e+02,1.214759e+02,
5.000000e-01,4096,4096,4096,OS2-fast-6,1.472173e+02,3.577596e-05,3.912758e+02,1.039648e+02,
5.000000e-01,4096,4096,4096,OS2-fast-7,2.257349e+01,2.236210e-06,3.894720e+02,9.104029e+01,
