phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,3.235008e+02,8.059202e+02,
5.000000e-01,1024,1024,1024,DGEMM,8.594851e-10,8.762780e-16,7.352322e+02,6.991761e+01,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.215276e+05,6.299566e-01,2.378136e+02,7.832720e+01,
5.000000e-01,1024,1024,1024,OS2-fast-3,6.485873e+04,5.129632e-02,2.312999e+02,6.662564e+01,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.553197e+03,3.283985e-03,2.361594e+02,5.435297e+01,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.520982e+02,2.069958e-04,2.410799e+02,4.551504e+01,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.592215e+01,1.295139e-05,2.419522e+02,3.945205e+01,
5.000000e-01,1024,1024,1024,OS2-fast-7,4.928434e-01,8.102758e-07,2.440052e+02,3.547314e+01,
5.000000e-01,1024,1024,1024,OS2-fast-8,3.936469e-02,5.064139e-08,2.457920e+02,3.202370e+01,
5.000000e-01,1024,1024,1024,OS2-fast-9,3.744011e-03,3.161367e-09,2.500654e+02,2.869130e+01,
5.000000e-01,1024,1024,1024,OS2-fast-10,1.270989e-04,1.974574e-10,2.504526e+02,2.650077e+01,
5.000000e-01,1024,1024,1024,OS2-fast-11,1.117788e-05,1.235789e-11,2.513361e+02,2.443080e+01,
5.000000e-01,1024,1024,1024,OS2-fast-12,1.414146e-06,7.725493e-13,2.547015e+02,2.280512e+01,
5.000000e-01,1024,1024,1024,OS2-fast-13,4.720867e-08,4.814241e-14,2.551243e+02,2.036993e+01,
5.000000e-01,1024,1024,1024,OS2-fast-14,4.678982e-09,3.959969e-15,2.549897e+02,1.926724e+01,
5.000000e-01,1024,1024,1024,OS2-fast-15,3.321655e-10,2.786150e-16,2.568954e+02,1.799590e+01,
5.000000e-01,1024,1024,1024,OS2-fast-16,7.896671e-12,4.856916e-17,2.558163e+02,1.694028e+01,
5.000000e-01,1024,1024,1024,OS2-fast-17,1.253078e-13,4.547194e-17,2.562177e+02,1.629569e+01,
5.000000e-01,1024,1024,1024,OS2-fast-18,1.154293e-15,4.542055e-17,2.577060e+02,1.522297e+01,
5.000000e-01,1024,1024,1024,OS2-fast-19,2.181671e-16,4.536940e-17,2.568958e+02,1.448820e+01,
5.000000e-01,1024,1024,1024,OS2-fast-20,2.185905e-16,4.549186e-17,2.583926e+02,1.365347e+01,
5.000000e-01,1024,1024,1024,OS2-accu-2,1.424150e+05,1.979698e-01,2.219712e+02,6.702258e+01,
5.000000e-01,1024,1024,1024,OS2-accu-3,1.620708e+04,1.319646e-02,2.300623e+02,5.417143e+01,
5.000000e-01,1024,1024,1024,OS2-accu-4,9.260364e+02,8.302998e-04,2.349522e+02,4.623155e+01,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.323340e+01,5.186650e-05,2.400269e+02,3.959466e+01,
5.000000e-01,1024,1024,1024,OS2-accu-6,3.169186e+00,3.246394e-06,2.427144e+02,3.551286e+01,
5.000000e-01,1024,1024,1024,OS2-accu-7,2.237095e-01,2.108297e-07,2.452860e+02,3.180687e+01,
5.000000e-01,1024,1024,1024,OS2-accu-8,1.352078e-02,1.957673e-08,2.465624e+02,2.880068e+01,
5.000000e-01,1024,1024,1024,OS2-accu-9,3.905016e-04,1.235064e-09,2.498603e+02,2.620264e+01,
5.000000e-01,1024,1024,1024,OS2-accu-10,5.075758e-05,7.713458e-11,2.504660e+02,2.446366e+01,
5.000000e-01,1024,1024,1024,OS2-accu-11,7.834582e-06,4.823831e-12,2.520605e+02,2.221718e+01,
5.000000e-01,1024,1024,1024,OS2-accu-12,4.346313e-07,3.053771e-13,2.537369e+02,2.092990e+01,
5.000000e-01,1024,1024,1024,OS2-accu-13,1.697952e-08,2.399088e-14,2.541853e+02,1.913392e+01,
5.000000e-01,1024,1024,1024,OS2-accu-14,1.125475e-09,1.394236e-15,2.550138e+02,1.796038e+01,
5.000000e-01,1024,1024,1024,OS2-accu-15,6.403499e-11,7.093988e-17,2.563936e+02,1.688537e+01,
5.000000e-01,1024,1024,1024,OS2-accu-16,1.459027e-12,4.609236e-17,2.556564e+02,1.600015e+01,
5.000000e-01,1024,1024,1024,OS2-accu-17,4.220137e-14,4.543892e-17,2.561075e+02,1.522579e+01,
5.000000e-01,1024,1024,1024,OS2-accu-18,5.386074e-16,4.545186e-17,2.560519e+02,1.450088e+01,
5.000000e-01,1024,1024,1024,OS2-accu-19,2.191288e-16,4.540600e-17,2.554732e+02,1.360777e+01,
5.000000e-01,1024,1024,1024,OS2-accu-20,2.205861e-16,4.541111e-17,2.566340e+02,1.305260e+01,
5.000000e-01,2048,2048,2048,INT8-GEMM,,,2.746056e+02,2.592780e+03,
5.000000e-01,2048,2048,2048,DGEMM,3.801892e-09,1.240304e-15,8.560137e+02,6.839678e+01,
5.000000e-01,2048,2048,2048,OS2-fast-2,1.112500e+06,7.110512e-01,3.150150e+02,2.238120e+02,
5.000000e-01,2048,2048,2048,OS2-fast-3,5.404253e+04,6.089621e-02,3.416155e+02,1.644435e+02,
5.000000e-01,2048,2048,2048,OS2-fast-4,1.429088e+04,3.881046e-03,3.547327e+02,1.374413e+02,
5.000000e-01,2048,2048,2048,OS2-fast-5,2.658027e+02,2.428282e-04,3.611032e+02,1.173185e+02,
5.000000e-01,2048,2048,2048,OS2-fast-6,1.682838e+02,1.516748e-05,3.654208e+02,1.017817e+02,
5.000000e-01,2048,2048,2048,OS2-fast-7,7.657444e-01,9.486671e-07,3.688715e+02,8.946651e+01,
5.000000e-01,2048,2048,2048,OS2-fast-8,2.666694e-01,5.932626e-08,3.765911e+02,8.051593e+01,
5.000000e-01,2048,2048,2048,OS2-fast-9,6.303068e-03,3.704637e-09,3.759925e+02,7.416693e+01,
5.000000e-01,2048,2048,2048,OS2-fast-10,3.530635e-04,2.394642e-10,3.771691e+02,6.654575e+01,
5.000000e-01,2048,2048,2048,OS2-fast-11,5.088182e-05,2.803394e-11,3.798297e+02,6.124032e+01,
5.000000e-01,2048,2048,2048,OS2-fast-12,1.398097e-06,1.809351e-12,3.833365e+02,5.722910e+01,
