phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,9.935582e+01,2.161407e-05,,,,,
5.000000e-01,1024,1024,1024,SGEMM,2.678591e-01,4.705876e-07,3.901323e+01,5.504501e-05,,,,,
5.000000e-01,1024,1024,1024,SGEMM-TF32,9.003984e+02,2.929069e-04,1.011357e+02,2.123368e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.103479e+05,6.299566e-01,1.619859e+01,1.325723e-04,3.058423e-05,4.264401e-05,2.007652e-05,1.473714e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,5.889219e+04,5.129641e-02,1.314652e+01,1.633500e-04,3.068995e-05,6.317014e-05,2.966253e-05,1.545420e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.390279e+03,3.283470e-03,1.107795e+01,1.938520e-04,3.109613e-05,8.395274e-05,3.942528e-05,1.504362e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.431117e+02,2.069412e-04,9.582116e+00,2.241137e-04,3.149545e-05,1.041316e-04,4.857356e-05,1.588419e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.549757e+01,1.288798e-05,8.168843e+00,2.628871e-04,3.529709e-05,1.267254e-04,5.968214e-05,1.641740e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,5.439144e-01,7.477716e-07,7.276086e+00,2.951427e-04,3.597313e-05,1.474163e-04,6.963068e-05,1.756568e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,4.454790e-02,3.212265e-08,6.550312e+00,3.278445e-04,3.876758e-05,1.688173e-04,7.956212e-05,1.619374e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,2.583767e-04,2.077999e-08,5.981161e+00,3.590413e-04,3.939184e-05,1.886710e-04,8.917336e-05,1.740809e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,7.591942e-06,2.065254e-08,5.492367e+00,3.909942e-04,4.008903e-05,2.098612e-04,9.891749e-05,1.786541e-05,
