phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.388914e+02,1.546160e-05,,,,,
5.000000e-01,1024,1024,1024,SGEMM,2.678591e-01,4.705876e-07,3.210539e+01,6.688858e-05,,,,,
5.000000e-01,1024,1024,1024,SGEMM-TF32,9.003984e+02,2.929069e-04,8.437317e+01,2.545221e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.103479e+05,6.299566e-01,2.001198e+01,1.073099e-04,2.736835e-05,3.222747e-05,1.663761e-05,1.337841e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,5.889219e+04,5.129641e-02,1.631622e+01,1.316165e-04,2.821667e-05,4.715216e-05,2.458596e-05,1.405972e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.390279e+03,3.283470e-03,1.379697e+01,1.556489e-04,2.984673e-05,6.220354e-05,3.253339e-05,1.349807e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.431117e+02,2.069412e-04,1.185606e+01,1.811296e-04,3.071359e-05,7.777777e-05,4.062899e-05,1.443440e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.549757e+01,1.288798e-05,1.014776e+01,2.116215e-04,3.664789e-05,9.316341e-05,4.885847e-05,1.530095e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,5.439144e-01,7.477716e-07,8.942029e+00,2.401562e-04,4.027411e-05,1.088635e-04,5.708141e-05,1.614410e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,4.454790e-02,3.212265e-08,8.096416e+00,2.652388e-04,4.314964e-05,1.240939e-04,6.515659e-05,1.510064e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,2.583767e-04,2.077999e-08,7.397700e+00,2.902907e-04,4.476982e-05,1.381002e-04,7.338041e-05,1.626031e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,7.591942e-06,2.065254e-08,6.767534e+00,3.173215e-04,4.647826e-05,1.539139e-04,8.191464e-05,1.711315e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,2.084069e-05,2.065390e-08,6.263592e+00,3.428518e-04,4.804907e-05,1.691621e-04,8.960992e-05,1.802506e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,2.979317e-05,2.065267e-08,5.730962e+00,3.747161e-04,5.515617e-05,1.855030e-04,9.861019e-05,1.739536e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,6.161708e-06,2.065259e-08,5.381604e+00,3.990416e-04,5.712864e-05,1.999444e-04,1.057673e-04,1.836911e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,3.839528e-05,2.065514e-08,5.039179e+00,4.261574e-04,5.926146e-05,2.155427e-04,1.140650e-04,1.940493e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,7.896953e-05,2.065975e-08,4.745449e+00,4.525354e-04,6.157119e-05,2.308319e-04,1.218374e-04,2.042828e-05,
5.000000e-01,1024,1024,1024,OS2-accu-2,1.293138e+05,1.979700e-01,1.580242e+01,1.358958e-04,5.754242e-05,3.127678e-05,1.632143e-05,1.316884e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,1.562708e+04,1.319513e-02,1.340106e+01,1.602473e-04,5.813345e-05,4.634129e-05,2.437862e-05,1.387664e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,8.929304e+02,8.301654e-04,1.153783e+01,1.861254e-04,6.068317e-05,6.175485e-05,3.259453e-05,1.352949e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.438883e+01,5.178463e-05,1.015845e+01,2.113987e-04,6.153981e-05,7.692657e-05,4.074323e-05,1.450548e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,3.440344e+00,3.179306e-06,8.874709e+00,2.419779e-04,6.776791e-05,9.217728e-05,4.896875e-05,1.536238e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.680375e-01,1.552971e-07,7.866609e+00,2.729872e-04,7.117652e-05,1.078478e-04,5.982056e-05,1.618992e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,9.539124e-03,2.257179e-08,7.308659e+00,2.938273e-04,7.409265e-05,1.222925e-04,6.464701e-05,1.509873e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,9.702100e-05,2.067560e-08,6.700665e+00,3.204881e-04,7.598415e-05,1.373889e-04,7.307001e-05,1.624781e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,9.966033e-07,2.064851e-08,6.196676e+00,3.465541e-04,7.742923e-05,1.528195e-04,8.145963e-05,1.702638e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,7.553648e-07,2.064851e-08,5.720260e+00,3.754172e-04,7.903128e-05,1.697433e-04,9.048274e-05,1.809516e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,5.533523e-06,2.064845e-08,5.307194e+00,4.046364e-04,8.621958e-05,1.849255e-04,9.815188e-05,1.742058e-05,
