phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt
5.00E-01,1024,1024,1024,INT8-GEMM,,,2.64E+02,1.49E+02
5.00E-01,1024,1024,1024,SGEMM,1.29E+00,4.71E-07,5.55E+02,7.01E+01
5.00E-01,1024,1024,1024,OS2-fast-2,9.83E+05,6.20E-01,2.59E+02,1.37E+01
5.00E-01,1024,1024,1024,OS2-fast-3,2.84E+05,5.03E-02,2.62E+02,1.05E+01
5.00E-01,1024,1024,1024,OS2-fast-4,6.45E+03,3.23E-03,2.64E+02,8.72E+00
5.00E-01,1024,1024,1024,OS2-fast-5,1.16E+03,2.03E-04,2.64E+02,7.41E+00
5.00E-01,1024,1024,1024,OS2-fast-6,4.76E+01,1.26E-05,2.66E+02,6.50E+00
5.00E-01,1024,1024,1024,OS2-fast-7,5.08E+00,7.32E-07,2.66E+02,5.80E+00
5.00E-01,1024,1024,1024,OS2-fast-8,7.02E-02,3.17E-08,2.66E+02,5.17E+00
5.00E-01,1024,1024,1024,OS2-fast-9,5.34E-04,2.08E-08,2.66E+02,4.71E+00
5.00E-01,1024,1024,1024,OS2-fast-10,8.73E-05,2.07E-08,2.66E+02,4.33E+00
5.00E-01,1024,1024,1024,OS2-fast-11,4.18E-05,2.07E-08,2.66E+02,3.95E+00
5.00E-01,1024,1024,1024,OS2-fast-12,1.13E-04,2.07E-08,2.66E+02,3.64E+00
5.00E-01,1024,1024,1024,OS2-fast-13,2.38E-05,2.07E-08,2.66E+02,3.40E+00
5.00E-01,1024,1024,1024,OS2-fast-14,1.40E-05,2.07E-08,2.67E+02,3.19E+00
5.00E-01,1024,1024,1024,OS2-fast-15,6.40E-05,2.07E-08,2.67E+02,3.01E+00
5.00E-01,1024,1024,1024,OS2-accu-2,2.46E+05,1.94E-01,2.63E+02,1.09E+01
5.00E-01,1024,1024,1024,OS2-accu-3,1.06E+04,1.29E-02,2.65E+02,8.91E+00
5.00E-01,1024,1024,1024,OS2-accu-4,1.93E+03,8.12E-04,2.66E+02,7.62E+00
5.00E-01,1024,1024,1024,OS2-accu-5,1.50E+02,5.07E-05,2.66E+02,6.65E+00
5.00E-01,1024,1024,1024,OS2-accu-6,7.21E+00,3.12E-06,2.66E+02,5.82E+00
5.00E-01,1024,1024,1024,OS2-accu-7,5.03E-01,1.49E-07,2.66E+02,5.22E+00
5.00E-01,1024,1024,1024,OS2-accu-8,8.76E-03,2.26E-08,2.67E+02,4.76E+00
5.00E-01,1024,1024,1024,OS2-accu-9,1.02E-04,2.07E-08,2.67E+02,4.38E+00
5.00E-01,1024,1024,1024,OS2-accu-10,8.94E-06,2.07E-08,2.67E+02,4.03E+00
5.00E-01,1024,1024,1024,OS2-accu-11,6.49E-06,2.07E-08,2.67E+02,3.74E+00
5.00E-01,1024,1024,1024,OS2-accu-12,2.34E-06,2.07E-08,2.68E+02,3.48E+00
5.00E-01,1024,1024,1024,OS2-accu-13,4.59E-06,2.07E-08,2.68E+02,3.26E+00
5.00E-01,1024,1024,1024,OS2-accu-14,4.95E-05,2.07E-08,2.68E+02,3.06E+00
5.00E-01,1024,1024,1024,OS2-accu-15,2.69E-05,2.07E-08,2.68E+02,2.91E+00
5.00E-01,2048,2048,2048,INT8-GEMM,,,4.07E+02,6.48E+02
5.00E-01,2048,2048,2048,SGEMM,2.32E+00,6.66E-07,7.44E+02,1.02E+02
