phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,2.317393e+01,9.266808e-05,,,,,
5.000000e-01,1024,1024,1024,CGEMMEx,5.033777e-01,6.656383e-07,4.762505e+01,1.803659e-04,,,,,
5.000000e-01,1024,1024,1024,CGEMM,5.033777e-01,6.656383e-07,4.878783e+01,1.760672e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,3.579697e+05,7.129672e-01,1.046510e+01,8.208172e-04,8.416919e-05,4.271417e-04,8.896111e-05,6.344253e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,4.627084e+04,6.119728e-02,8.287318e+00,1.036516e-03,8.465696e-05,6.022784e-04,1.324239e-04,6.607127e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.680001e+03,3.901842e-03,6.644310e+00,1.292826e-03,8.644610e-05,8.203267e-04,1.721924e-04,6.147004e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,1.130005e+02,2.438764e-04,5.602478e+00,1.533238e-03,8.425196e-05,1.018317e-03,2.134932e-04,6.703828e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.971064e+01,1.517244e-05,4.864184e+00,1.765956e-03,8.536791e-05,1.209402e-03,2.526334e-04,6.282544e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,2.497279e+00,8.890605e-07,4.251925e+00,2.020246e-03,9.155143e-05,1.417675e-03,2.985524e-04,6.273213e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,5.107389e-02,3.596638e-08,3.798971e+00,2.261122e-03,8.875394e-05,1.614599e-03,3.428836e-04,6.130256e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,4.253655e-04,2.080635e-08,3.428439e+00,2.505494e-03,1.019388e-04,1.804212e-03,3.863682e-04,6.267151e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,4.043382e-05,2.064832e-08,3.138452e+00,2.736997e-03,9.662990e-05,2.004853e-03,4.198786e-04,6.160745e-05,
