phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,8.102195e+01,2.650496e-05,,,,,
5.000000e-01,1024,1024,1024,CGEMM,1.721415e+00,5.034795e-07,1.427337e+01,6.018155e-04,,,,,
5.000000e-01,1024,1024,1024,CGEMM-TF32,8.728167e+02,2.930340e-04,6.500057e+01,1.321517e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,9.036423e+05,7.096435e-01,3.010719e+01,2.853117e-04,7.479773e-05,1.198944e-04,3.159453e-05,2.751328e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,1.237585e+05,6.077553e-02,2.312872e+01,3.713968e-04,7.995838e-05,1.813373e-04,4.765683e-05,3.140108e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,9.761260e+03,3.870409e-03,1.911967e+01,4.492721e-04,8.541710e-05,2.396633e-04,6.362611e-05,2.938794e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,8.424913e+02,2.424184e-04,1.612002e+01,5.328736e-04,8.919453e-05,2.996719e-04,7.953511e-05,3.320066e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,5.374855e+01,1.508842e-05,1.373400e+01,6.254502e-04,1.012709e-04,3.604299e-04,9.563561e-05,3.720096e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,3.556155e+00,8.837980e-07,1.206438e+01,7.120078e-04,1.088330e-04,4.184731e-04,1.119530e-04,4.150005e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,1.309621e-01,3.591438e-08,1.081264e+01,7.944342e-04,1.164069e-04,4.785455e-04,1.280793e-04,4.005093e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,1.513205e-03,2.078334e-08,9.634338e+00,8.915958e-04,1.216616e-04,5.430309e-04,1.493502e-04,4.396513e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.414652e-05,2.062918e-08,8.873497e+00,9.680438e-04,1.286290e-04,6.007645e-04,1.593407e-04,4.789084e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,5.764345e-05,2.064202e-08,8.123314e+00,1.057442e-03,1.379831e-04,6.582991e-04,1.773994e-04,5.221612e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,1.603838e-04,2.064116e-08,7.518994e+00,1.142431e-03,1.659370e-04,7.011005e-04,1.927522e-04,4.981010e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,9.580929e-05,2.064042e-08,7.657318e+00,1.121794e-03,1.594724e-04,6.858475e-04,1.936647e-04,5.187041e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,1.216540e-04,2.063845e-08,7.271398e+00,1.181332e-03,1.644146e-04,7.281386e-04,2.056194e-04,5.320123e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,9.969940e-05,2.063463e-08,6.782755e+00,1.266437e-03,1.743615e-04,7.858349e-04,2.183982e-04,5.756858e-05,
5.000000e-01,1024,1024,1024,OS2-accu-2,7.193466e+05,2.959848e-01,2.489173e+01,3.450919e-04,1.558949e-04,1.050095e-04,2.887166e-05,2.482319e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,4.365471e+04,2.057298e-02,1.789091e+01,4.801284e-04,1.868515e-04,1.798416e-04,4.986696e-05,3.161574e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,3.926183e+03,1.294776e-03,1.534404e+01,5.598223e-04,1.926860e-04,2.393466e-04,6.441459e-05,3.146416e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,2.403314e+02,8.086249e-05,1.333757e+01,6.440407e-04,1.956775e-04,3.013422e-04,8.103536e-05,3.356172e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,1.827721e+01,4.995014e-06,1.160329e+01,7.403019e-04,2.108245e-04,3.597195e-04,9.777331e-05,3.770645e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.103268e+00,2.814369e-07,1.035301e+01,8.297039e-04,2.200422e-04,4.214700e-04,1.147665e-04,4.157141e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,3.409705e-02,2.496971e-08,9.461197e+00,9.079120e-04,2.272656e-04,4.791348e-04,1.301845e-04,3.989670e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,4.875884e-04,2.067910e-08,8.696594e+00,9.877355e-04,2.315273e-04,5.362138e-04,1.446717e-04,4.360743e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,1.229445e-05,2.062529e-08,7.997882e+00,1.074026e-03,2.371359e-04,5.965558e-04,1.606761e-04,4.785374e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,5.193347e-06,2.062521e-08,7.865857e+00,1.092053e-03,2.279696e-04,6.113126e-04,1.710278e-04,4.985421e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,1.039120e-05,2.062541e-08,7.680046e+00,1.118474e-03,2.391893e-04,6.257633e-04,1.762680e-04,4.658882e-05,
5.000000e-01,1024,1024,1024,OS2-accu-13,8.795223e-06,2.062638e-08,7.354205e+00,1.168030e-03,2.404681e-04,6.583499e-04,1.896575e-04,4.882644e-05,
5.000000e-01,1024,1024,1024,OS2-accu-14,1.566839e-05,2.062620e-08,6.910033e+00,1.243111e-03,2.494902e-04,7.101658e-04,2.010641e-04,5.225491e-05,
5.000000e-01,1024,1024,1024,OS2-accu-15,8.375917e-06,2.062533e-08,6.519910e+00,1.317493e-03,2.561746e-04,7.599879e-04,2.145636e-04,5.651182e-05,
5.000000e-01,2048,2048,2048,INT8-GEMM,,,2.550551e+02,6.735749e-05,,,,,
5.000000e-01,2048,2048,2048,CGEMM,3.448343e+00,9.411008e-07,1.795154e+01,3.828056e-03,,,,,
5.000000e-01,2048,2048,2048,CGEMM-TF32,2.380470e+02,2.933818e-04,9.304774e+01,7.385400e-04,,,,,
5.000000e-01,2048,2048,2048,OS2-fast-2,2.467246e+05,1.000000e+00,8.230171e+01,8.349703e-04,1.861816e-04,4.455268e-04,9.218406e-05,7.682048e-05,
5.000000e-01,2048,2048,2048,OS2-fast-3,3.289756e+05,1.399056e-01,5.999501e+01,1.145420e-03,2.086647e-04,6.709000e-04,1.398056e-04,9.088922e-05,
5.000000e-01,2048,2048,2048,OS2-fast-4,1.948635e+04,9.153574e-03,5.003421e+01,1.373450e-03,2.171880e-04,8.579845e-04,1.861031e-04,7.801309e-05,
5.000000e-01,2048,2048,2048,OS2-fast-5,7.735503e+02,5.739352e-04,3.997959e+01,1.718864e-03,2.345530e-04,1.117683e-03,2.357175e-04,9.523847e-05,
5.000000e-01,2048,2048,2048,OS2-fast-6,7.635931e+01,3.581624e-05,3.364747e+01,2.042337e-03,2.784636e-04,1.337337e-03,2.810559e-04,1.104309e-04,
5.000000e-01,2048,2048,2048,OS2-fast-7,2.469984e+00,2.177874e-06,2.952398e+01,2.327582e-03,3.015716e-04,1.537850e-03,3.270528e-04,1.245981e-04,
5.000000e-01,2048,2048,2048,OS2-fast-8,3.934543e-01,9.131853e-08,2.691951e+01,2.552776e-03,3.220322e-04,1.711154e-03,3.723581e-04,1.132737e-04,
5.000000e-01,2048,2048,2048,OS2-fast-9,3.455773e-03,2.122965e-08,2.460281e+01,2.793155e-03,3.355110e-04,1.877212e-03,4.193103e-04,1.271791e-04,
