phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.177068e+02,1.824435e-05,,,,,
5.000000e-01,1024,1024,1024,CGEMMEx,1.721415e+00,5.036517e-07,2.353751e+01,3.649466e-04,,,,,
5.000000e-01,1024,1024,1024,CGEMM,1.721415e+00,5.036517e-07,2.362883e+01,3.635362e-04,,,,,
5.000000e-01,1024,1024,1024,CGEMM3m,1.721415e+00,5.036517e-07,2.361795e+01,3.637036e-04,,,,,
5.000000e-01,1024,1024,1024,CGEMM-TF32,8.742936e+02,2.930433e-04,4.233633e+01,2.028975e-04,,,,,
5.000000e-01,1024,1024,1024,CGEMM-BF16X9,1.721415e+00,5.036517e-07,2.354994e+01,3.647539e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,9.036423e+05,7.096435e-01,4.294699e+01,2.000125e-04,3.580424e-05,8.005850e-05,1.999527e-05,4.733390e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,1.237585e+05,6.077553e-02,3.265837e+01,2.630240e-04,3.897922e-05,1.198350e-04,2.971455e-05,5.751046e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,9.761260e+03,3.870409e-03,2.502677e+01,3.432298e-04,5.834317e-05,1.597198e-04,4.019110e-05,6.748598e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,8.424913e+02,2.424184e-04,2.125456e+01,4.041456e-04,5.866438e-05,2.000051e-04,5.014356e-05,7.794240e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,5.374855e+01,1.508842e-05,1.814286e+01,4.734610e-04,6.693256e-05,2.400425e-04,6.129748e-05,8.768550e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,3.556155e+00,8.837980e-07,1.603969e+01,5.355424e-04,7.029996e-05,2.794203e-04,7.038836e-05,9.792903e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,1.309621e-01,3.591438e-08,1.430640e+01,6.004260e-04,7.373505e-05,3.203273e-04,8.066686e-05,1.082094e-04,
5.000000e-01,1024,1024,1024,OS2-fast-9,1.513205e-03,2.078334e-08,1.284137e+01,6.689266e-04,8.178680e-05,3.608041e-04,9.091237e-05,1.178989e-04,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.414652e-05,2.062918e-08,1.159916e+01,7.405651e-04,8.950641e-05,4.024920e-04,1.032354e-04,1.278382e-04,
5.000000e-01,1024,1024,1024,OS2-fast-11,5.764345e-05,2.064202e-08,1.065756e+01,8.059947e-04,9.848881e-05,4.411265e-04,1.109400e-04,1.379071e-04,
5.000000e-01,1024,1024,1024,OS2-fast-12,1.603838e-04,2.064116e-08,9.847961e+00,8.722552e-04,1.052115e-04,4.790202e-04,1.227499e-04,1.477944e-04,
5.000000e-01,1024,1024,1024,OS2-fast-13,9.580929e-05,2.064042e-08,9.116840e+00,9.422053e-04,1.121567e-04,5.226853e-04,1.318695e-04,1.578919e-04,
5.000000e-01,1024,1024,1024,OS2-fast-14,1.216540e-04,2.063845e-08,8.512127e+00,1.009141e-03,1.195488e-04,5.603096e-04,1.438931e-04,1.678055e-04,
5.000000e-01,1024,1024,1024,OS2-fast-15,9.969940e-05,2.063463e-08,7.969403e+00,1.077864e-03,1.291325e-04,6.014129e-04,1.519858e-04,1.777501e-04,
5.000000e-01,1024,1024,1024,OS2-accu-2,7.193466e+05,2.959848e-01,3.291149e+01,2.610011e-04,9.744916e-05,7.925504e-05,2.003159e-05,4.739614e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,4.365471e+04,2.057298e-02,2.652157e+01,3.238849e-04,1.008559e-04,1.188481e-04,2.963127e-05,5.746220e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,3.926183e+03,1.294776e-03,2.117351e+01,4.056926e-04,1.225505e-04,1.580385e-04,3.992674e-05,6.758926e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,2.403314e+02,8.086249e-05,1.839581e+01,4.669506e-04,1.237998e-04,1.977752e-04,4.998909e-05,7.786974e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,1.827721e+01,4.995014e-06,1.598929e+01,5.372305e-04,1.308977e-04,2.392829e-04,6.151831e-05,8.781339e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.103268e+00,2.814369e-07,1.432843e+01,5.995027e-04,1.347243e-04,2.787518e-04,7.065115e-05,9.773473e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,3.409705e-02,2.496971e-08,1.289076e+01,6.663638e-04,1.395024e-04,3.199035e-04,8.106374e-05,1.082316e-04,
5.000000e-01,1024,1024,1024,OS2-accu-9,4.875884e-04,2.067910e-08,1.175445e+01,7.307816e-04,1.424490e-04,3.610961e-04,9.130094e-05,1.183089e-04,
5.000000e-01,1024,1024,1024,OS2-accu-10,1.229445e-05,2.062529e-08,1.074559e+01,7.993917e-04,1.490538e-04,4.015489e-04,1.033504e-04,1.278064e-04,
5.000000e-01,1024,1024,1024,OS2-accu-11,5.193347e-06,2.062521e-08,9.934918e+00,8.646206e-04,1.573582e-04,4.401289e-04,1.112305e-04,1.382678e-04,
5.000000e-01,1024,1024,1024,OS2-accu-12,1.039120e-05,2.062541e-08,9.185055e+00,9.352078e-04,1.695690e-04,4.774279e-04,1.224651e-04,1.480925e-04,
5.000000e-01,1024,1024,1024,OS2-accu-13,8.795223e-06,2.062638e-08,8.562649e+00,1.003187e-03,1.753879e-04,5.206842e-04,1.313715e-04,1.581055e-04,
5.000000e-01,1024,1024,1024,OS2-accu-14,1.566839e-05,2.062620e-08,8.016673e+00,1.071509e-03,1.839091e-04,5.588130e-04,1.433423e-04,1.677926e-04,
5.000000e-01,1024,1024,1024,OS2-accu-15,8.375917e-06,2.062533e-08,7.527591e+00,1.141127e-03,1.935603e-04,6.003882e-04,1.516473e-04,1.778157e-04,
5.000000e-01,2048,2048,2048,INT8-GEMM,,,2.519556e+02,6.818609e-05,,,,,
