phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,OS1-7,1.440947e-09,5.347448e-16,1.308413e+01,1.641289e-04,,,,,
5.000000e-01,1024,1024,1024,OS1-8,7.712279e-12,5.223551e-17,1.135635e+01,1.890998e-04,,,,,
5.000000e-01,1024,1024,1024,OS1-9,4.938151e-15,5.131284e-17,1.011568e+01,2.122925e-04,,,,,
5.000000e-01,1024,1024,1024,OS1-10,3.311835e-16,5.130876e-17,8.851285e+00,2.426183e-04,,,,,
5.000000e-01,2048,2048,2048,OS1-7,7.946491e-10,7.248460e-16,2.156789e+01,7.965486e-04,,,,,
5.000000e-01,2048,2048,2048,OS1-8,4.808258e-11,5.296510e-17,1.779880e+01,9.652265e-04,,,,,
5.000000e-01,2048,2048,2048,OS1-9,2.150460e-14,5.168297e-17,1.504489e+01,1.141907e-03,,,,,
5.000000e-01,2048,2048,2048,OS1-10,5.457657e-16,5.167844e-17,1.274133e+01,1.348357e-03,,,,,
5.000000e-01,4096,4096,4096,OS1-7,2.581075e-08,1.017885e-15,3.107187e+01,4.423259e-03,,,,,
5.000000e-01,4096,4096,4096,OS1-8,1.090881e-10,5.396942e-17,2.484176e+01,5.532578e-03,,,,,
5.000000e-01,4096,4096,4096,OS1-9,6.109026e-13,5.220123e-17,2.030692e+01,6.768083e-03,,,,,
5.000000e-01,4096,4096,4096,OS1-10,3.738894e-16,5.219613e-17,1.679231e+01,8.184636e-03,,,,,
5.000000e-01,8192,8192,8192,OS1-7,1.974520e-07,1.289384e-15,3.059651e+01,3.593586e-02,,,,,
5.000000e-01,8192,8192,8192,OS1-8,7.833417e-11,7.483267e-17,2.391180e+01,4.598197e-02,,,,,
5.000000e-01,8192,8192,8192,OS1-9,1.743884e-12,7.262293e-17,1.903293e+01,5.776892e-02,,,,,
5.000000e-01,8192,8192,8192,OS1-10,3.024385e-15,7.261602e-17,1.572153e+01,6.993669e-02,,,,,
5.000000e-01,16384,16384,16384,OS1-7,6.970494e-05,1.316208e-15,3.864435e+01,2.276165e-01,,,,,
5.000000e-01,16384,16384,16384,OS1-8,5.660118e-07,1.002699e-16,3.048203e+01,2.885665e-01,,,,,
5.000000e-01,16384,16384,16384,OS1-9,5.660118e-07,9.997255e-17,2.450629e+01,3.589321e-01,,,,,
5.000000e-01,16384,16384,16384,OS1-10,5.660118e-07,9.997254e-17,2.014929e+01,4.365461e-01,,,,,
