phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,OS1-7,1.440947e-09,5.347448e-16,5.711802e+00,3.759731e-04,,,,,
5.000000e-01,1024,1024,1024,OS1-8,7.712279e-12,5.223551e-17,4.794712e+00,4.478858e-04,,,,,
5.000000e-01,1024,1024,1024,OS1-9,4.938151e-15,5.131284e-17,4.058008e+00,5.291966e-04,,,,,
5.000000e-01,1024,1024,1024,OS1-10,3.311835e-16,5.130876e-17,3.470571e+00,6.187696e-04,,,,,
5.000000e-01,2048,2048,2048,OS1-7,7.946491e-10,7.248460e-16,7.523681e+00,2.283439e-03,,,,,
5.000000e-01,2048,2048,2048,OS1-8,4.808258e-11,5.296510e-17,6.049970e+00,2.839662e-03,,,,,
5.000000e-01,2048,2048,2048,OS1-9,2.150460e-14,5.168297e-17,4.928274e+00,3.485981e-03,,,,,
5.000000e-01,2048,2048,2048,OS1-10,5.457657e-16,5.167844e-17,4.112978e+00,4.176991e-03,,,,,
5.000000e-01,4096,4096,4096,OS1-7,2.581075e-08,1.017885e-15,9.819451e+00,1.399660e-02,,,,,
5.000000e-01,4096,4096,4096,OS1-8,1.090881e-10,5.396942e-17,7.841682e+00,1.752672e-02,,,,,
5.000000e-01,4096,4096,4096,OS1-9,6.109026e-13,5.220123e-17,6.367616e+00,2.158405e-02,,,,,
5.000000e-01,4096,4096,4096,OS1-10,3.738894e-16,5.219613e-17,5.293236e+00,2.596502e-02,,,,,
5.000000e-01,8192,8192,8192,OS1-7,1.974520e-07,1.289384e-15,1.025028e+01,1.072665e-01,,,,,
5.000000e-01,8192,8192,8192,OS1-8,7.833417e-11,7.483267e-17,8.064945e+00,1.363322e-01,,,,,
5.000000e-01,8192,8192,8192,OS1-9,1.743884e-12,7.262293e-17,6.499606e+00,1.691659e-01,,,,,
5.000000e-01,8192,8192,8192,OS1-10,3.024385e-15,7.261602e-17,5.366878e+00,2.048699e-01,,,,,
