phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,2.406162e+01,8.924935e-05,,,,,
5.000000e-01,1024,1024,1024,SGEMM,1.289617e+00,4.705767e-07,2.279434e+01,9.421126e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,9.829069e+05,6.195140e-01,3.484177e+00,6.163532e-04,8.401383e-05,2.222519e-04,9.262054e-05,6.064856e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,2.836403e+05,5.031800e-02,2.827525e+00,7.594923e-04,8.328511e-05,3.306672e-04,1.356244e-04,5.363262e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,6.449341e+03,3.225246e-03,2.356886e+00,9.111530e-04,8.209202e-05,4.383891e-04,1.806389e-04,5.412750e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,1.161547e+03,2.029865e-04,2.033761e+00,1.055917e-03,8.138133e-05,5.397413e-04,2.191518e-04,5.854016e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,4.755936e+01,1.263284e-05,1.784329e+00,1.203525e-03,8.768928e-05,6.475646e-04,2.615741e-04,5.442762e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,5.081562e+00,7.317763e-07,1.579411e+00,1.359674e-03,8.330881e-05,7.588621e-04,3.018305e-04,5.888567e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,7.019262e-02,3.172352e-08,1.432445e+00,1.499174e-03,8.177148e-05,8.583127e-04,3.476659e-04,5.616172e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,5.342403e-04,2.079872e-08,1.296672e+00,1.656150e-03,8.352320e-05,9.721469e-04,3.889193e-04,5.514040e-05,
