phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_32f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,8.227604e+01,2.610096e-05,,,,,
5.000000e-01,1024,1024,1024,SGEMM,2.107375e-01,2.450264e-07,1.280822e+01,1.676645e-04,,,,,
5.000000e-01,1024,1024,1024,SGEMM-TF32,8.993501e+02,2.929536e-04,4.339068e+01,4.949182e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.103479e+05,6.299566e-01,1.174391e+01,1.828594e-04,5.202154e-05,5.307339e-05,2.509086e-05,2.256208e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,5.889219e+04,5.129641e-02,9.116901e+00,2.355497e-04,6.154520e-05,8.055044e-05,3.815795e-05,2.453418e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,4.390279e+03,3.283470e-03,7.740962e+00,2.774182e-04,6.624792e-05,1.069089e-04,5.047662e-05,2.317807e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,2.431117e+02,2.069412e-04,6.664352e+00,3.222344e-04,6.745624e-05,1.339418e-04,6.397743e-05,2.588016e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.549757e+01,1.288798e-05,5.838218e+00,3.678320e-04,7.235729e-05,1.600539e-04,7.671646e-05,2.788496e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,5.439144e-01,7.477716e-07,5.153005e+00,4.167440e-04,7.510156e-05,1.889823e-04,8.971672e-05,3.196956e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,4.454790e-02,3.212265e-08,4.696060e+00,4.572948e-04,7.777539e-05,2.135315e-04,1.043871e-04,3.061564e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,2.583767e-04,2.077999e-08,4.179129e+00,5.138591e-04,8.071899e-05,2.453733e-04,1.203748e-04,3.419616e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,7.591942e-06,2.065254e-08,3.850667e+00,5.576914e-04,8.383614e-05,2.715843e-04,1.318470e-04,3.628816e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,2.084069e-05,2.065390e-08,3.635144e+00,5.907562e-04,8.670103e-05,2.942857e-04,1.405118e-04,3.872049e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,2.979317e-05,2.065267e-08,3.365830e+00,6.380249e-04,1.010919e-04,3.182904e-04,1.525845e-04,3.574925e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,6.161708e-06,2.065259e-08,3.142453e+00,6.833782e-04,1.056091e-04,3.439215e-04,1.648517e-04,3.866505e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,3.839528e-05,2.065514e-08,2.922104e+00,7.349101e-04,1.102253e-04,3.726742e-04,1.790990e-04,4.197682e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,7.896953e-05,2.065975e-08,2.707332e+00,7.932104e-04,1.154858e-04,4.027148e-04,1.974321e-04,4.641973e-05,
5.000000e-01,1024,1024,1024,OS2-accu-2,1.293138e+05,1.979700e-01,8.566780e+00,2.506757e-04,1.118782e-04,5.477932e-05,2.656426e-05,2.311008e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,1.562708e+04,1.319513e-02,7.364760e+00,2.915891e-04,1.184062e-04,7.984748e-05,3.815316e-05,2.444432e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,8.929304e+02,8.301654e-04,6.432689e+00,3.338392e-04,1.232259e-04,1.060302e-04,5.039633e-05,2.326826e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.438883e+01,5.178463e-05,5.642082e+00,3.806190e-04,1.245928e-04,1.337117e-04,6.331733e-05,2.590188e-05,
