phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,1024,1024,1024,INT8-GEMM,,,2.45E+01,8.78E-05,,,,
5.00E-01,1024,1024,1024,ZGEMMEx,2.64E-09,1.24E-15,3.89E+01,2.21E-04,,,,
5.00E-01,1024,1024,1024,ZGEMM,2.64E-09,1.24E-15,3.95E+01,2.17E-04,,,,
5.00E-01,1024,1024,1024,OS2-fast-2,3.30E+05,7.13E-01,9.77E+00,8.79E-04,8.51E-05,4.22E-04,8.82E-05,6.32E-05
5.00E-01,1024,1024,1024,OS2-fast-3,4.78E+04,6.12E-02,7.83E+00,1.10E-03,8.21E-05,6.15E-04,1.35E-04,6.29E-05
5.00E-01,1024,1024,1024,OS2-fast-4,5.01E+03,3.90E-03,6.36E+00,1.35E-03,8.41E-05,8.16E-04,1.77E-04,6.28E-05
5.00E-01,1024,1024,1024,OS2-fast-5,1.05E+02,2.44E-04,5.35E+00,1.60E-03,8.27E-05,1.04E-03,2.15E-04,6.40E-05
5.00E-01,1024,1024,1024,OS2-fast-6,2.00E+01,1.52E-05,4.67E+00,1.84E-03,8.66E-05,1.22E-03,2.62E-04,6.34E-05
5.00E-01,1024,1024,1024,OS2-fast-7,1.55E+00,9.53E-07,4.10E+00,2.10E-03,8.76E-05,1.44E-03,3.00E-04,6.31E-05
5.00E-01,1024,1024,1024,OS2-fast-8,2.32E-02,5.95E-08,3.69E+00,2.33E-03,8.99E-05,1.62E-03,3.46E-04,6.31E-05
5.00E-01,1024,1024,1024,OS2-fast-9,9.81E-03,3.72E-09,3.34E+00,2.57E-03,9.16E-05,1.82E-03,3.90E-04,6.39E-05
5.00E-01,1024,1024,1024,OS2-fast-10,7.01E-04,2.42E-10,3.05E+00,2.82E-03,9.65E-05,2.02E-03,4.35E-04,6.36E-05
5.00E-01,1024,1024,1024,OS2-fast-11,4.49E-05,2.82E-11,2.79E+00,3.08E-03,9.70E-05,2.23E-03,4.79E-04,6.42E-05
5.00E-01,1024,1024,1024,OS2-fast-12,3.91E-06,1.82E-12,2.59E+00,3.32E-03,1.01E-04,2.43E-03,5.21E-04,6.37E-05
5.00E-01,1024,1024,1024,OS2-fast-13,2.11E-07,1.13E-13,2.41E+00,3.57E-03,1.11E-04,2.64E-03,5.56E-04,6.32E-05
5.00E-01,1024,1024,1024,OS2-fast-14,1.77E-08,6.98E-15,2.24E+00,3.83E-03,1.12E-04,2.85E-03,5.99E-04,6.36E-05
5.00E-01,1024,1024,1024,OS2-fast-15,6.05E-10,3.40E-16,2.13E+00,4.03E-03,1.16E-04,3.00E-03,6.39E-04,6.34E-05
5.00E-01,1024,1024,1024,OS2-fast-16,1.46E-11,4.93E-17,2.00E+00,4.29E-03,1.20E-04,3.22E-03,6.85E-04,6.48E-05
5.00E-01,1024,1024,1024,OS2-fast-17,1.18E-12,4.57E-17,1.88E+00,4.57E-03,1.24E-04,3.44E-03,7.33E-04,6.55E-05
5.00E-01,1024,1024,1024,OS2-fast-18,8.30E-15,4.55E-17,1.78E+00,4.82E-03,1.27E-04,3.65E-03,7.78E-04,6.65E-05
5.00E-01,1024,1024,1024,OS2-fast-19,2.20E-16,4.55E-17,1.71E+00,5.03E-03,1.36E-04,3.81E-03,8.19E-04,6.56E-05
5.00E-01,1024,1024,1024,OS2-fast-20,2.21E-16,4.55E-17,1.62E+00,5.29E-03,1.39E-04,4.02E-03,8.63E-04,6.63E-05
5.00E-01,1024,1024,1024,OS2-accu-2,3.11E+05,2.95E-01,7.62E+00,1.13E-03,2.87E-04,4.77E-04,9.21E-05,6.22E-05
5.00E-01,1024,1024,1024,OS2-accu-3,2.98E+04,2.05E-02,6.28E+00,1.37E-03,2.84E-04,6.81E-04,1.35E-04,6.39E-05
5.00E-01,1024,1024,1024,OS2-accu-4,8.68E+02,1.29E-03,5.34E+00,1.61E-03,2.84E-04,8.81E-04,1.77E-04,6.37E-05
5.00E-01,1024,1024,1024,OS2-accu-5,1.04E+02,8.08E-05,4.63E+00,1.86E-03,2.85E-04,1.08E-03,2.21E-04,6.36E-05
5.00E-01,1024,1024,1024,OS2-accu-6,3.16E+00,5.05E-06,4.10E+00,2.10E-03,2.84E-04,1.28E-03,2.67E-04,6.34E-05
5.00E-01,1024,1024,1024,OS2-accu-7,1.82E-01,3.55E-07,3.65E+00,2.35E-03,2.86E-04,1.49E-03,3.07E-04,6.40E-05
5.00E-01,1024,1024,1024,OS2-accu-8,1.07E-02,2.97E-08,3.29E+00,2.61E-03,2.92E-04,1.70E-03,3.52E-04,6.22E-05
5.00E-01,1024,1024,1024,OS2-accu-9,1.55E-03,1.86E-09,3.04E+00,2.83E-03,2.94E-04,1.87E-03,3.96E-04,6.32E-05
5.00E-01,1024,1024,1024,OS2-accu-10,4.36E-04,1.16E-10,2.80E+00,3.07E-03,2.93E-04,2.07E-03,4.35E-04,6.13E-05
5.00E-01,1024,1024,1024,OS2-accu-11,2.06E-05,7.27E-12,2.58E+00,3.33E-03,2.98E-04,2.28E-03,4.85E-04,6.44E-05
5.00E-01,1024,1024,1024,OS2-accu-12,8.21E-07,4.55E-13,2.43E+00,3.54E-03,3.04E-04,2.45E-03,5.18E-04,6.25E-05
5.00E-01,1024,1024,1024,OS2-accu-13,6.85E-08,3.75E-14,2.26E+00,3.80E-03,3.10E-04,2.67E-03,5.58E-04,6.27E-05
5.00E-01,1024,1024,1024,OS2-accu-14,3.92E-09,2.23E-15,2.12E+00,4.06E-03,3.13E-04,2.87E-03,6.05E-04,6.36E-05
5.00E-01,1024,1024,1024,OS2-accu-15,1.49E-10,9.40E-17,2.00E+00,4.30E-03,3.16E-04,3.06E-03,6.51E-04,6.48E-05
5.00E-01,1024,1024,1024,OS2-accu-16,1.14E-11,4.69E-17,1.89E+00,4.54E-03,3.20E-04,3.26E-03,6.90E-04,6.45E-05
5.00E-01,1024,1024,1024,OS2-accu-17,1.29E-13,4.55E-17,1.79E+00,4.81E-03,3.26E-04,3.48E-03,7.33E-04,6.64E-05
