phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,1024,1024,1024,INT8-GEMM,,,1.02E+02,2.11E-05,,,,
5.00E-01,1024,1024,1024,GEMMEX,6.40E-09,9.39E-16,3.13E+01,2.75E-04,,,,
5.00E-01,1024,1024,1024,ZGEMM,6.40E-09,9.39E-16,3.13E+01,2.74E-04,,,,
5.00E-01,1024,1024,1024,ZGEMM3m,4.95E-09,1.28E-15,3.94E+01,2.18E-04,,,,
5.00E-01,1024,1024,1024,OS2-fast-2,1.08E+06,7.10E-01,4.41E+01,1.95E-04,4.44E-05,8.41E-05,2.09E-05,1.54E-05
5.00E-01,1024,1024,1024,OS2-fast-3,1.23E+05,6.08E-02,3.37E+01,2.55E-04,5.12E-05,1.26E-04,3.14E-05,1.64E-05
5.00E-01,1024,1024,1024,OS2-fast-4,1.17E+04,3.87E-03,2.74E+01,3.13E-04,5.64E-05,1.69E-04,4.21E-05,1.62E-05
5.00E-01,1024,1024,1024,OS2-fast-5,1.01E+03,2.42E-04,2.32E+01,3.71E-04,5.90E-05,2.12E-04,5.23E-05,1.73E-05
5.00E-01,1024,1024,1024,OS2-fast-6,6.22E+01,1.51E-05,2.01E+01,4.28E-04,6.22E-05,2.55E-04,6.35E-05,1.83E-05
5.00E-01,1024,1024,1024,OS2-fast-7,4.33E+00,9.47E-07,1.77E+01,4.85E-04,6.52E-05,2.97E-04,7.38E-05,1.92E-05
5.00E-01,1024,1024,1024,OS2-fast-8,2.82E-01,5.91E-08,1.58E+01,5.44E-04,6.79E-05,3.42E-04,8.39E-05,2.08E-05
5.00E-01,1024,1024,1024,OS2-fast-9,1.86E-02,3.70E-09,1.42E+01,6.03E-04,6.86E-05,3.88E-04,9.50E-05,2.27E-05
5.00E-01,1024,1024,1024,OS2-fast-10,1.11E-03,2.40E-10,1.30E+01,6.60E-04,7.15E-05,4.30E-04,1.06E-04,2.40E-05
5.00E-01,1024,1024,1024,OS2-fast-11,1.11E-04,2.81E-11,1.19E+01,7.19E-04,7.48E-05,4.73E-04,1.16E-04,2.59E-05
5.00E-01,1024,1024,1024,OS2-fast-12,6.15E-06,1.81E-12,1.10E+01,7.78E-04,7.78E-05,5.18E-04,1.27E-04,2.66E-05
5.00E-01,1024,1024,1024,OS2-fast-13,4.52E-07,1.13E-13,9.91E+00,8.67E-04,1.08E-04,5.65E-04,1.37E-04,2.80E-05
5.00E-01,1024,1024,1024,OS2-fast-14,2.14E-08,6.93E-15,9.40E+00,9.14E-04,1.01E-04,6.07E-04,1.48E-04,2.93E-05
5.00E-01,1024,1024,1024,OS2-fast-15,2.83E-09,3.38E-16,8.84E+00,9.72E-04,1.05E-04,6.49E-04,1.59E-04,3.07E-05
5.00E-01,1024,1024,1024,OS2-fast-16,1.15E-11,4.93E-17,8.32E+00,1.03E-03,1.10E-04,6.94E-04,1.69E-04,3.19E-05
5.00E-01,1024,1024,1024,OS2-fast-17,5.07E-13,4.56E-17,7.87E+00,1.09E-03,1.13E-04,7.37E-04,1.79E-04,3.34E-05
5.00E-01,1024,1024,1024,OS2-fast-18,1.60E-14,4.54E-17,7.45E+00,1.15E-03,1.18E-04,7.81E-04,1.91E-04,3.48E-05
5.00E-01,1024,1024,1024,OS2-fast-19,2.20E-16,4.55E-17,7.00E+00,1.23E-03,1.41E-04,8.20E-04,2.01E-04,3.63E-05
5.00E-01,1024,1024,1024,OS2-fast-20,2.21E-16,4.54E-17,6.65E+00,1.29E-03,1.47E-04,8.66E-04,2.12E-04,3.69E-05
5.00E-01,1024,1024,1024,OS2-accu-2,8.60E+05,2.96E-01,3.28E+01,2.62E-04,1.12E-04,8.39E-05,2.10E-05,1.54E-05
5.00E-01,1024,1024,1024,OS2-accu-3,4.61E+04,2.06E-02,2.64E+01,3.26E-04,1.22E-04,1.26E-04,3.16E-05,1.64E-05
5.00E-01,1024,1024,1024,OS2-accu-4,4.70E+03,1.29E-03,2.23E+01,3.85E-04,1.28E-04,1.68E-04,4.25E-05,1.64E-05
5.00E-01,1024,1024,1024,OS2-accu-5,2.86E+02,8.09E-05,1.94E+01,4.43E-04,1.32E-04,2.11E-04,5.29E-05,1.76E-05
5.00E-01,1024,1024,1024,OS2-accu-6,2.08E+01,5.06E-06,1.71E+01,5.02E-04,1.36E-04,2.55E-04,6.35E-05,1.84E-05
5.00E-01,1024,1024,1024,OS2-accu-7,1.31E+00,3.44E-07,1.54E+01,5.58E-04,1.38E-04,2.98E-04,7.38E-05,1.92E-05
5.00E-01,1024,1024,1024,OS2-accu-8,1.49E-01,2.95E-08,1.39E+01,6.18E-04,1.41E-04,3.41E-04,8.50E-05,2.09E-05
5.00E-01,1024,1024,1024,OS2-accu-9,6.44E-03,1.84E-09,1.27E+01,6.77E-04,1.43E-04,3.86E-04,9.52E-05,2.29E-05
