phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.379154e+02,1.557102e-05,,,,,
5.000000e-01,1024,1024,1024,ZGEMMEx,2.613372e-09,1.241038e-15,5.250713e+01,1.635956e-04,,,,,
5.000000e-01,1024,1024,1024,ZGEMM,2.613372e-09,1.241038e-15,5.274007e+01,1.628730e-04,,,,,
5.000000e-01,1024,1024,1024,ZGEMM3m,4.948454e-09,1.277578e-15,5.819679e+01,1.476015e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.080647e+06,7.096436e-01,4.948340e+01,1.735923e-04,5.253205e-05,6.303249e-05,2.002865e-05,1.493107e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,1.233530e+05,6.077492e-02,3.932347e+01,2.184430e-04,5.520611e-05,9.384596e-05,2.994654e-05,1.643860e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,1.167348e+04,3.870558e-03,3.275894e+01,2.622165e-04,5.753355e-05,1.255535e-04,4.032458e-05,1.575731e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,1.007714e+03,2.424499e-04,2.791332e+01,3.077360e-04,5.924227e-05,1.572919e-04,5.045066e-05,1.742515e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,6.219663e+01,1.514756e-05,2.428642e+01,3.536929e-04,6.199719e-05,1.886254e-04,6.060464e-05,1.889721e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,4.330131e+00,9.466377e-07,2.150836e+01,3.993766e-04,6.483834e-05,2.204146e-04,7.027867e-05,2.039661e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,2.819675e-01,5.912416e-08,1.929542e+01,4.451799e-04,6.773813e-05,2.515491e-04,8.100616e-05,2.156103e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,1.862019e-02,3.699788e-09,1.761976e+01,4.875170e-04,6.927059e-05,2.821300e-04,8.978674e-05,2.298312e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,1.106493e-03,2.397532e-10,1.610939e+01,5.332253e-04,7.231662e-05,3.125782e-04,1.000405e-04,2.471587e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,1.106659e-04,2.807319e-11,1.475757e+01,5.820699e-04,7.521709e-05,3.452188e-04,1.108343e-04,2.715841e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,6.146632e-06,1.805464e-12,1.372911e+01,6.256732e-04,7.787974e-05,3.765871e-04,1.210284e-04,2.665731e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,4.523114e-07,1.128256e-13,1.244326e+01,6.903282e-04,9.906478e-05,4.078699e-04,1.311259e-04,2.847998e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,2.137805e-08,6.932910e-15,1.161817e+01,7.393532e-04,1.037937e-04,4.395953e-04,1.418122e-04,3.025277e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,2.825624e-09,3.381565e-16,1.094228e+01,7.850224e-04,1.088338e-04,4.689589e-04,1.513237e-04,3.225303e-05,
5.000000e-01,1024,1024,1024,OS2-fast-16,1.146306e-11,4.930433e-17,1.034470e+01,8.303707e-04,1.137379e-04,4.995568e-04,1.615199e-04,3.200863e-05,
5.000000e-01,1024,1024,1024,OS2-fast-17,5.070378e-13,4.563863e-17,9.791462e+00,8.772883e-04,1.174812e-04,5.315552e-04,1.710074e-04,3.363862e-05,
5.000000e-01,1024,1024,1024,OS2-fast-18,1.604589e-14,4.544630e-17,9.242099e+00,9.294355e-04,1.230251e-04,5.645738e-04,1.821441e-04,3.565978e-05,
5.000000e-01,1024,1024,1024,OS2-fast-19,2.195534e-16,4.545149e-17,8.623602e+00,9.960959e-04,1.500732e-04,5.943009e-04,1.909167e-04,3.707702e-05,
5.000000e-01,1024,1024,1024,OS2-fast-20,2.205216e-16,4.540554e-17,8.238905e+00,1.042606e-03,1.557054e-04,6.237322e-04,2.026005e-04,3.709209e-05,
5.000000e-01,1024,1024,1024,OS2-accu-2,8.602520e+05,2.959848e-01,3.775103e+01,2.275418e-04,1.068068e-04,6.264823e-05,2.012524e-05,1.496430e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,4.607208e+04,2.057286e-02,3.164093e+01,2.714817e-04,1.086765e-04,9.335926e-05,2.993952e-05,1.643436e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,4.695437e+03,1.294881e-03,2.715821e+01,3.162924e-04,1.133245e-04,1.241743e-04,4.016848e-05,1.567182e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,2.855505e+02,8.092072e-05,2.371554e+01,3.622071e-04,1.151876e-04,1.562781e-04,5.038600e-05,1.727823e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,2.080769e+01,5.059818e-06,2.100943e+01,4.088610e-04,1.195027e-04,1.869744e-04,6.027811e-05,1.880300e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.309812e+00,3.436964e-07,1.888141e+01,4.549415e-04,1.216499e-04,2.190214e-04,7.058934e-05,2.039049e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,1.493024e-01,2.949606e-08,1.710507e+01,5.021864e-04,1.255267e-04,2.508751e-04,8.093452e-05,2.150666e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,6.438003e-03,1.844626e-09,1.572388e+01,5.462986e-04,1.273334e-04,2.813968e-04,9.112062e-05,2.291463e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,3.557787e-04,1.151576e-10,1.449751e+01,5.925112e-04,1.306774e-04,3.125904e-04,1.010216e-04,2.473128e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,3.412617e-05,7.200535e-12,1.346956e+01,6.377293e-04,1.320991e-04,3.436015e-04,1.114100e-04,2.698021e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,2.123910e-06,4.513704e-13,1.257728e+01,6.829723e-04,1.360690e-04,3.750185e-04,1.215932e-04,2.661252e-05,
5.000000e-01,1024,1024,1024,OS2-accu-13,5.525945e-08,3.759557e-14,1.151687e+01,7.458568e-04,1.567814e-04,4.057924e-04,1.310576e-04,2.843969e-05,
5.000000e-01,1024,1024,1024,OS2-accu-14,5.122194e-09,2.232668e-15,1.083360e+01,7.928976e-04,1.621944e-04,4.362043e-04,1.406140e-04,3.021633e-05,
5.000000e-01,1024,1024,1024,OS2-accu-15,4.935217e-10,9.410370e-17,1.021652e+01,8.407889e-04,1.661359e-04,4.668062e-04,1.518817e-04,3.220224e-05,
5.000000e-01,1024,1024,1024,OS2-accu-16,5.026538e-12,4.676894e-17,9.694608e+00,8.860528e-04,1.724631e-04,4.974319e-04,1.606240e-04,3.190267e-05,
5.000000e-01,1024,1024,1024,OS2-accu-17,8.454568e-14,4.549518e-17,9.197933e+00,9.338984e-04,1.757306e-04,5.299768e-04,1.709323e-04,3.354142e-05,
5.000000e-01,1024,1024,1024,OS2-accu-18,6.464139e-16,4.546995e-17,8.733080e+00,9.836089e-04,1.811031e-04,5.611010e-04,1.821645e-04,3.550328e-05,
5.000000e-01,1024,1024,1024,OS2-accu-19,2.206146e-16,4.544444e-17,8.172304e+00,1.051103e-03,2.076135e-04,5.914324e-04,1.911591e-04,3.710331e-05,
5.000000e-01,1024,1024,1024,OS2-accu-20,2.195539e-16,4.543970e-17,7.803211e+00,1.100820e-03,2.142528e-04,6.233001e-04,2.025284e-04,3.705719e-05,
5.000000e-01,2048,2048,2048,INT8-GEMM,,,4.687773e+02,3.664825e-05,,,,,
5.000000e-01,2048,2048,2048,ZGEMMEx,4.125561e-09,1.752937e-15,5.877706e+01,1.169155e-03,,,,,
5.000000e-01,2048,2048,2048,ZGEMM,4.125561e-09,1.752937e-15,5.888551e+01,1.167002e-03,,,,,
5.000000e-01,2048,2048,2048,ZGEMM3m,6.669526e-09,1.801743e-15,6.510108e+01,1.055581e-03,,,,,
5.000000e-01,2048,2048,2048,OS2-fast-2,2.374426e+05,1.000000e+00,1.656240e+02,4.149125e-04,1.304441e-04,1.768931e-04,4.404181e-05,4.020246e-05,
5.000000e-01,2048,2048,2048,OS2-fast-3,3.412187e+05,1.399059e-01,1.248144e+02,5.505734e-04,1.438183e-04,2.690129e-04,6.691987e-05,4.737164e-05,
5.000000e-01,2048,2048,2048,OS2-fast-4,1.877652e+04,9.153727e-03,1.026659e+02,6.693504e-04,1.541121e-04,3.579575e-04,8.977040e-05,4.380850e-05,
5.000000e-01,2048,2048,2048,OS2-fast-5,7.453372e+02,5.740101e-04,8.581728e+01,8.007650e-04,1.595938e-04,4.560944e-04,1.109816e-04,5.035949e-05,
5.000000e-01,2048,2048,2048,OS2-fast-6,8.198683e+01,3.587809e-05,7.371400e+01,9.322446e-04,1.704513e-04,5.448058e-04,1.352712e-04,5.788577e-05,
5.000000e-01,2048,2048,2048,OS2-fast-7,4.643194e+00,2.242357e-06,6.544440e+01,1.050044e-03,1.805408e-04,6.234958e-04,1.572723e-04,6.483825e-05,
5.000000e-01,2048,2048,2048,OS2-fast-8,1.774506e-01,1.400974e-07,5.867755e+01,1.171137e-03,1.914165e-04,7.129525e-04,1.792071e-04,6.372155e-05,
5.000000e-01,2048,2048,2048,OS2-fast-9,5.244850e-03,8.757575e-09,5.288356e+01,1.299449e-03,1.990645e-04,8.025627e-04,2.026059e-04,7.089272e-05,
5.000000e-01,2048,2048,2048,OS2-fast-10,6.171393e-04,5.472846e-10,4.825831e+01,1.423993e-03,2.104589e-04,8.868816e-04,2.242549e-04,7.824236e-05,
5.000000e-01,2048,2048,2048,OS2-fast-11,2.962271e-05,3.420474e-11,4.430488e+01,1.551059e-03,2.218594e-04,9.715140e-04,2.484015e-04,8.492773e-05,
5.000000e-01,2048,2048,2048,OS2-fast-12,4.061119e-06,2.138774e-12,4.107774e+01,1.672913e-03,2.335828e-04,1.062721e-03,2.702422e-04,8.194021e-05,
5.000000e-01,2048,2048,2048,OS2-fast-13,2.073742e-07,1.335488e-13,3.685317e+01,1.864683e-03,3.085872e-04,1.151180e-03,2.916892e-04,8.878469e-05,
5.000000e-01,2048,2048,2048,OS2-fast-14,1.099268e-08,1.024803e-14,3.431904e+01,2.002372e-03,3.267719e-04,1.239973e-03,3.152545e-04,9.596188e-05,
5.000000e-01,2048,2048,2048,OS2-fast-15,1.700509e-09,9.278077e-16,3.209304e+01,2.141258e-03,3.465435e-04,1.331462e-03,3.355037e-04,1.031221e-04,
5.000000e-01,2048,2048,2048,OS2-fast-16,4.657751e-11,5.923923e-17,3.028060e+01,2.269423e-03,3.670170e-04,1.417092e-03,3.605369e-04,1.000595e-04,
