phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,INT8-GEMM,,,1.186259e+02,1.810299e-05,,,,,
5.000000e-01,1024,1024,1024,ZGEMMEx,2.045064e-09,1.241055e-15,7.891684e-01,1.088479e-02,,,,,
5.000000e-01,1024,1024,1024,ZGEMM,2.045064e-09,1.241055e-15,7.923875e-01,1.084057e-02,,,,,
5.000000e-01,1024,1024,1024,ZGEMM3m,4.948454e-09,1.277578e-15,9.827385e-01,8.740814e-03,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-2,1.080647e+06,7.096436e-01,2.655328e+01,3.234980e-04,1.365984e-04,8.027899e-05,2.063280e-05,6.410084e-05,
5.000000e-01,1024,1024,1024,OS2-fast-3,1.233530e+05,6.077492e-02,2.018943e+01,4.254669e-04,1.790716e-04,1.198140e-04,3.037183e-05,7.408412e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,1.167348e+04,3.870558e-03,1.630903e+01,5.266982e-04,2.200732e-04,1.595006e-04,4.064030e-05,8.432935e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,1.007714e+03,2.424499e-04,1.365934e+01,6.288691e-04,2.612103e-04,2.003006e-04,5.093842e-05,9.427804e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,6.219663e+01,1.514756e-05,1.175101e+01,7.309952e-04,3.017510e-04,2.405422e-04,6.222034e-05,1.041416e-04,
5.000000e-01,1024,1024,1024,OS2-fast-7,4.330131e+00,9.466377e-07,1.031139e+01,8.330528e-04,3.452756e-04,2.796837e-04,7.154696e-05,1.143926e-04,
5.000000e-01,1024,1024,1024,OS2-fast-8,2.819675e-01,5.912416e-08,8.716439e+00,9.854867e-04,3.861838e-04,3.193741e-04,8.068747e-05,1.769745e-04,
5.000000e-01,1024,1024,1024,OS2-fast-9,1.862019e-02,3.699788e-09,7.823048e+00,1.098029e-03,4.289373e-04,3.623351e-04,9.190591e-05,1.925293e-04,
5.000000e-01,1024,1024,1024,OS2-fast-10,1.106493e-03,2.397532e-10,7.138725e+00,1.203287e-03,4.691902e-04,4.013936e-04,1.026702e-04,2.076997e-04,
5.000000e-01,1024,1024,1024,OS2-fast-11,1.106659e-04,2.807319e-11,6.558702e+00,1.309700e-03,5.116176e-04,4.409203e-04,1.112649e-04,2.234798e-04,
5.000000e-01,1024,1024,1024,OS2-fast-12,6.146632e-06,1.805464e-12,6.048394e+00,1.420201e-03,5.542424e-04,4.817853e-04,1.232396e-04,2.385600e-04,
5.000000e-01,1024,1024,1024,OS2-fast-13,4.523114e-07,1.128256e-13,5.601104e+00,1.533615e-03,6.073474e-04,5.190698e-04,1.308574e-04,2.539315e-04,
5.000000e-01,1024,1024,1024,OS2-fast-14,2.137805e-08,6.932910e-15,5.228293e+00,1.642971e-03,6.487899e-04,5.594045e-04,1.430714e-04,2.692865e-04,
5.000000e-01,1024,1024,1024,OS2-fast-15,2.825624e-09,3.381565e-16,4.896792e+00,1.754196e-03,6.925472e-04,6.016865e-04,1.523267e-04,2.851789e-04,
5.000000e-01,1024,1024,1024,OS2-fast-16,1.146306e-11,4.930433e-17,4.620185e+00,1.859219e-03,7.339635e-04,6.411781e-04,1.619179e-04,2.996862e-04,
5.000000e-01,1024,1024,1024,OS2-fast-17,5.070378e-13,4.563863e-17,4.358134e+00,1.971012e-03,7.769515e-04,6.846114e-04,1.715434e-04,3.153330e-04,
5.000000e-01,1024,1024,1024,OS2-fast-18,1.604589e-14,4.544630e-17,4.127903e+00,2.080944e-03,8.184160e-04,7.248197e-04,1.843397e-04,3.308343e-04,
