phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,Ozaki1-7,2.487068e-09,5.843125e-16,1.716607e+01,5.004019e-04,,,,,
5.000000e-01,1024,1024,1024,Ozaki1-8,6.228849e-11,7.701017e-17,1.457704e+01,5.892783e-04,,,,,
5.000000e-01,1024,1024,1024,Ozaki1-9,6.228849e-11,7.692085e-17,1.258125e+01,6.827569e-04,,,,,
5.000000e-01,1024,1024,1024,Ozaki1-10,6.228849e-11,7.692085e-17,1.083690e+01,7.926562e-04,,,,,
5.000000e-01,2048,2048,2048,Ozaki1-7,7.991177e-09,8.004457e-16,2.665425e+01,2.578181e-03,,,,,
5.000000e-01,2048,2048,2048,Ozaki1-8,6.496034e-11,7.719263e-17,2.184515e+01,3.145754e-03,,,,,
5.000000e-01,2048,2048,2048,Ozaki1-9,6.496034e-11,7.703413e-17,1.819978e+01,3.775842e-03,,,,,
5.000000e-01,2048,2048,2048,Ozaki1-10,6.496034e-11,7.703413e-17,1.541450e+01,4.458107e-03,,,,,
5.000000e-01,4096,4096,4096,Ozaki1-7,2.343529e-08,1.089226e-15,2.965828e+01,1.853634e-02,,,,,
5.000000e-01,4096,4096,4096,Ozaki1-8,1.464398e-09,7.771322e-17,2.361585e+01,2.327910e-02,,,,,
5.000000e-01,4096,4096,4096,Ozaki1-9,1.464398e-09,7.745474e-17,1.921258e+01,2.861436e-02,,,,,
5.000000e-01,4096,4096,4096,Ozaki1-10,1.464398e-09,7.745475e-17,1.575925e+01,3.488465e-02,,,,,
5.000000e-01,8192,8192,8192,Ozaki1-7,3.883281e-08,1.317405e-15,3.004194e+01,1.463969e-01,,,,,
5.000000e-01,8192,8192,8192,Ozaki1-8,2.769352e-09,1.002391e-16,2.355413e+01,1.867208e-01,,,,,
5.000000e-01,8192,8192,8192,Ozaki1-9,2.769352e-09,9.995653e-17,1.900919e+01,2.313642e-01,,,,,
5.000000e-01,8192,8192,8192,Ozaki1-10,2.769352e-09,9.995652e-17,1.570884e+01,2.799727e-01,,,,,
5.000000e-01,16384,16384,16384,Ozaki1-7,5.794314e-07,1.329987e-15,3.902647e+01,9.015515e-01,,,,,
5.000000e-01,16384,16384,16384,Ozaki1-8,7.620667e-08,1.227905e-16,3.069992e+01,1.146074e+00,,,,,
5.000000e-01,16384,16384,16384,Ozaki1-9,7.620667e-08,1.227612e-16,2.483291e+01,1.416844e+00,,,,,
5.000000e-01,16384,16384,16384,Ozaki1-10,7.620667e-08,1.227612e-16,2.049913e+01,1.716384e+00,,,,,
