phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling,
5.000000e-01,1024,1024,1024,Ozaki1-7,2.487068e-09,5.843125e-16,6.201581e+00,1.385120e-03,,,,,
5.000000e-01,1024,1024,1024,Ozaki1-8,6.228849e-11,7.701017e-17,5.141761e+00,1.670621e-03,,,,,
5.000000e-01,1024,1024,1024,Ozaki1-9,6.228849e-11,7.692085e-17,4.318244e+00,1.989219e-03,,,,,
5.000000e-01,1024,1024,1024,Ozaki1-10,6.228849e-11,7.692085e-17,3.674001e+00,2.338033e-03,,,,,
5.000000e-01,2048,2048,2048,Ozaki1-7,7.991177e-09,8.004457e-16,8.864186e+00,7.752486e-03,,,,,
5.000000e-01,2048,2048,2048,Ozaki1-8,6.496034e-11,7.719263e-17,7.179947e+00,9.571029e-03,,,,,
5.000000e-01,2048,2048,2048,Ozaki1-9,6.496034e-11,7.703413e-17,5.941931e+00,1.156518e-02,,,,,
5.000000e-01,2048,2048,2048,Ozaki1-10,6.496034e-11,7.703413e-17,4.976189e+00,1.380966e-02,,,,,
5.000000e-01,4096,4096,4096,Ozaki1-7,2.343529e-08,1.089226e-15,1.002783e+01,5.482300e-02,,,,,
5.000000e-01,4096,4096,4096,Ozaki1-8,1.464398e-09,7.771322e-17,7.974525e+00,6.893900e-02,,,,,
5.000000e-01,4096,4096,4096,Ozaki1-9,1.464398e-09,7.745474e-17,6.456257e+00,8.515085e-02,,,,,
5.000000e-01,4096,4096,4096,Ozaki1-10,1.464398e-09,7.745475e-17,5.355485e+00,1.026529e-01,,,,,
5.000000e-01,8192,8192,8192,Ozaki1-7,3.883281e-08,1.317405e-15,1.028462e+01,4.276336e-01,,,,,
5.000000e-01,8192,8192,8192,Ozaki1-8,2.769352e-09,1.002391e-16,8.033408e+00,5.474696e-01,,,,,
5.000000e-01,8192,8192,8192,Ozaki1-9,2.769352e-09,9.995653e-17,6.426418e+00,6.843698e-01,,,,,
5.000000e-01,8192,8192,8192,Ozaki1-10,2.769352e-09,9.995652e-17,5.300688e+00,8.297124e-01,,,,,
