phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
5.000000e-01,1024,1024,1024,CGEMM,2.107907e+00,5.038940e-07,5.465448e+01,1.571680e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-3,3.200710e+05,1.530178e-02,2.814822e+01,3.051680e-04,5.411300e-05,1.887905e-04,3.734800e-05,1.497300e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,7.560183e+03,4.836477e-04,2.238454e+01,3.837440e-04,5.763150e-05,2.501770e-04,4.951900e-05,1.572900e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,1.811734e+02,1.505352e-05,1.846059e+01,4.653120e-04,6.130850e-05,3.145650e-04,6.248750e-05,1.642300e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,1.067198e+01,8.514587e-07,1.569844e+01,5.471840e-04,7.150500e-05,3.756725e-04,7.391600e-05,1.699550e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,1.928834e-02,2.503908e-08,1.332715e+01,6.445440e-04,8.162150e-05,4.456910e-04,8.829750e-05,1.816000e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,3.753619e-03,2.080914e-08,1.188214e+01,7.229280e-04,9.284100e-05,5.023850e-04,9.944750e-05,1.853800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,2.739300e-03,2.071836e-08,1.054984e+01,8.142240e-04,1.008625e-04,5.699430e-04,1.141975e-04,1.940900e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,4.411652e-03,2.077310e-08,9.607224e+00,8.941120e-04,1.082255e-04,6.309325e-04,1.250520e-04,1.990650e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,1.119340e-03,2.070500e-08,8.719400e+00,9.851520e-04,1.186410e-04,6.963985e-04,1.400040e-04,2.045250e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,3.363522e-03,2.076673e-08,7.952465e+00,1.080160e-03,1.273605e-04,7.669035e-04,1.541790e-04,2.131400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,2.970843e+04,2.584909e-03,2.433133e+01,3.530400e-04,1.038850e-04,1.871745e-04,3.716800e-05,1.475000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,1.208366e+03,8.073943e-05,1.967064e+01,4.366880e-04,1.083540e-04,2.516540e-04,5.031700e-05,1.574750e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,2.183953e+01,3.704722e-06,1.671090e+01,5.140320e-04,1.138370e-04,3.128880e-04,6.225350e-05,1.634500e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,8.755177e-01,1.048508e-07,1.419017e+01,6.053440e-04,1.239570e-04,3.781190e-04,7.632800e-05,1.733250e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,2.924157e-02,2.112023e-08,1.247812e+01,6.884000e-04,1.342390e-04,4.385060e-04,8.766350e-05,1.783650e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,2.441052e-05,2.066629e-08,1.097379e+01,7.827680e-04,1.467095e-04,5.047580e-04,1.019200e-04,1.870600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,1.755018e-04,2.066428e-08,9.928816e+00,8.651520e-04,1.556665e-04,5.664810e-04,1.136690e-04,1.917150e-05,
