phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
5.000000e-01,1024,1024,1024,DGEMM,2.756879e-09,8.765315e-16,2.890754e+01,7.428800e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-9,9.652637e-05,4.701695e-11,5.244929e+00,4.094400e-04,6.194350e-05,2.301395e-04,9.081350e-05,1.629150e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.661800e-06,1.530628e-12,4.755615e+00,4.515680e-04,6.357800e-05,2.574425e-04,1.030910e-04,1.696600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,1.696944e-07,9.527469e-14,4.349105e+00,4.937760e-04,6.654550e-05,2.869810e-04,1.125015e-04,1.733200e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,6.934786e-09,2.869020e-15,4.012248e+00,5.352320e-04,6.982500e-05,3.120885e-04,1.233710e-04,1.785700e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,3.937664e-10,1.220529e-16,3.649998e+00,5.883520e-04,8.404300e-05,3.404190e-04,1.342125e-04,1.878550e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,3.792694e-13,4.584840e-17,3.427944e+00,6.264640e-04,8.566400e-05,3.659800e-04,1.447245e-04,1.901850e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,1.068244e-14,4.543650e-17,3.209952e+00,6.690080e-04,8.951100e-05,3.914555e-04,1.569365e-04,1.974150e-05,
5.000000e-01,1024,1024,1024,OS2-fast-16,2.196920e-16,4.541066e-17,3.012000e+00,7.129760e-04,9.322250e-05,4.213050e-04,1.671560e-04,2.043250e-05,
5.000000e-01,1024,1024,1024,OS2-fast-17,2.224837e-16,4.536453e-17,2.874472e+00,7.470880e-04,9.692150e-05,4.445530e-04,1.746335e-04,2.049450e-05,
5.000000e-01,1024,1024,1024,OS2-fast-18,2.219917e-16,4.530648e-17,2.692324e+00,7.976320e-04,1.052455e-04,4.717220e-04,1.878265e-04,2.102900e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,1.241069e-05,9.655853e-12,4.796402e+00,4.477280e-04,1.016510e-04,2.294520e-04,9.154750e-05,1.616550e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,4.382579e-07,3.824753e-13,4.352208e+00,4.934240e-04,1.048305e-04,2.575640e-04,1.040510e-04,1.681450e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,1.945131e-08,1.867633e-14,4.059945e+00,5.289440e-04,1.060460e-04,2.833005e-04,1.127815e-04,1.730200e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,1.489921e-09,6.337811e-16,3.718149e+00,5.775680e-04,1.095370e-04,3.133315e-04,1.261285e-04,1.778900e-05,
5.000000e-01,1024,1024,1024,OS2-accu-13,1.306030e-11,5.077495e-17,3.444041e+00,6.235360e-04,1.227885e-04,3.366305e-04,1.344115e-04,1.876300e-05,
5.000000e-01,1024,1024,1024,OS2-accu-14,9.953734e-14,4.545611e-17,3.217802e+00,6.673760e-04,1.245595e-04,3.652805e-04,1.481010e-04,1.907650e-05,
5.000000e-01,1024,1024,1024,OS2-accu-15,2.983118e-16,4.538563e-17,3.050958e+00,7.038720e-04,1.303380e-04,3.879915e-04,1.564165e-04,1.980900e-05,
5.000000e-01,1024,1024,1024,OS2-accu-16,2.187289e-16,4.541480e-17,2.857581e+00,7.515040e-04,1.341440e-04,4.183490e-04,1.683245e-04,2.036250e-05,
5.000000e-01,1024,1024,1024,OS2-accu-17,2.196460e-16,4.538256e-17,2.728003e+00,7.872000e-04,1.368405e-04,4.435220e-04,1.758375e-04,2.047600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-18,2.202007e-16,4.537548e-17,2.545329e+00,8.436960e-04,1.478960e-04,4.730765e-04,1.905130e-04,2.111150e-05,
5.000000e-01,1024,1024,2048,DGEMM,7.556995e-10,7.963696e-16,2.803796e+01,1.531840e-04,,,,,
5.000000e-01,1024,1024,2048,OS2-fast-9,7.587702e-05,5.750213e-11,8.685264e+00,4.945120e-04,1.039835e-04,2.731260e-04,9.084300e-05,1.625200e-05,
5.000000e-01,1024,1024,2048,OS2-fast-10,9.649563e-07,3.583962e-12,7.950345e+00,5.402240e-04,1.087725e-04,3.025590e-04,1.018270e-04,1.682800e-05,
5.000000e-01,1024,1024,2048,OS2-fast-11,6.807596e-09,1.120902e-13,7.317308e+00,5.869600e-04,1.151485e-04,3.328305e-04,1.119290e-04,1.715350e-05,
5.000000e-01,1024,1024,2048,OS2-fast-12,2.647218e-09,6.898884e-15,6.785184e+00,6.329920e-04,1.200785e-04,3.631730e-04,1.224420e-04,1.763150e-05,
5.000000e-01,1024,1024,2048,OS2-fast-13,2.388612e-11,1.454184e-16,6.105246e+00,7.034880e-04,1.477850e-04,3.940415e-04,1.330925e-04,1.863850e-05,
5.000000e-01,1024,1024,2048,OS2-fast-14,1.401646e-12,4.679651e-17,5.701203e+00,7.533440e-04,1.533835e-04,4.263175e-04,1.445080e-04,1.888050e-05,
5.000000e-01,1024,1024,2048,OS2-fast-15,2.679356e-15,4.546553e-17,5.359170e+00,8.014240e-04,1.604890e-04,4.560835e-04,1.555640e-04,1.961850e-05,
5.000000e-01,1024,1024,2048,OS2-fast-16,2.675872e-16,4.543857e-17,5.056615e+00,8.493760e-04,1.685265e-04,4.847905e-04,1.660085e-04,2.020650e-05,
5.000000e-01,1024,1024,2048,OS2-fast-17,2.675872e-16,4.544955e-17,4.779748e+00,8.985760e-04,1.760485e-04,5.159895e-04,1.757205e-04,2.041350e-05,
5.000000e-01,1024,1024,2048,OS2-fast-18,2.214922e-16,4.547233e-17,4.508414e+00,9.526560e-04,1.888335e-04,5.459370e-04,1.865465e-04,2.096500e-05,
5.000000e-01,1024,1024,2048,OS2-accu-9,1.302870e-05,1.432555e-11,7.881946e+00,5.449120e-04,1.537130e-04,2.714165e-04,9.208100e-05,1.650600e-05,
5.000000e-01,1024,1024,2048,OS2-accu-10,7.776438e-08,6.026851e-13,7.222802e+00,5.946400e-04,1.597680e-04,3.041365e-04,1.046850e-04,1.685050e-05,
5.000000e-01,1024,1024,2048,OS2-accu-11,2.403063e-08,2.790534e-14,6.705187e+00,6.405440e-04,1.672035e-04,3.338720e-04,1.125850e-04,1.731100e-05,
5.000000e-01,1024,1024,2048,OS2-accu-12,1.234106e-09,1.057389e-15,6.233697e+00,6.889920e-04,1.740105e-04,3.653750e-04,1.226810e-04,1.767300e-05,
5.000000e-01,1024,1024,2048,OS2-accu-13,3.717373e-12,5.646168e-17,5.693343e+00,7.543840e-04,1.984030e-04,3.929430e-04,1.336215e-04,1.867550e-05,
5.000000e-01,1024,1024,2048,OS2-accu-14,4.947264e-13,4.554566e-17,5.340193e+00,8.042720e-04,2.044285e-04,4.249315e-04,1.463205e-04,1.893650e-05,
