phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
5.000000e-01,1024,1024,1024,SGEMM,3.678775e-01,4.709767e-07,4.240687e+01,5.064000e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-3,7.615062e+04,5.167707e-02,1.527458e+01,1.405920e-04,3.004050e-05,5.888500e-05,2.811200e-05,1.356350e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,7.292936e+03,3.280882e-03,1.294413e+01,1.659040e-04,2.973750e-05,7.653450e-05,3.662350e-05,1.350850e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,4.735114e+02,2.053163e-04,1.100777e+01,1.950880e-04,3.009150e-05,9.583900e-05,4.591250e-05,1.392000e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,3.604755e+01,1.275715e-05,9.680327e+00,2.218400e-04,3.035200e-05,1.145485e-04,5.388000e-05,1.384600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,7.745990e-01,7.391253e-07,8.495868e+00,2.527680e-04,3.092300e-05,1.340130e-04,6.369950e-05,1.455900e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,3.536763e-02,3.191745e-08,7.428477e+00,2.890880e-04,3.755100e-05,1.531170e-04,7.335650e-05,1.490850e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,1.753836e-04,2.077727e-08,6.725009e+00,3.193280e-04,3.824650e-05,1.731025e-04,8.312450e-05,1.518450e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.704592e-06,2.065915e-08,6.151415e+00,3.491040e-04,4.099550e-05,1.916265e-04,9.167900e-05,1.551400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,3.703898e-05,2.067043e-08,5.673249e+00,3.785280e-04,4.169550e-05,2.105830e-04,1.007975e-04,1.585800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,4.244817e-05,2.066945e-08,5.201229e+00,4.128800e-04,4.456650e-05,2.306325e-04,1.112030e-04,1.605650e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,2.575842e+04,1.308727e-02,1.217836e+01,1.763360e-04,6.723250e-05,5.766950e-05,2.780000e-05,1.352250e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,1.594803e+03,8.208152e-04,1.051369e+01,2.042560e-04,6.751550e-05,7.671800e-05,3.700500e-05,1.352900e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.183582e+02,5.129938e-05,9.196144e+00,2.335200e-04,6.802100e-05,9.577200e-05,4.608800e-05,1.393300e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,3.952623e+00,3.145366e-06,8.148730e+00,2.635360e-04,6.826450e-05,1.152590e-04,5.543100e-05,1.424400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.262639e-01,1.543651e-07,7.358025e+00,2.918560e-04,6.857400e-05,1.340305e-04,6.474250e-05,1.456500e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,7.576910e-03,2.258030e-08,6.541462e+00,3.282880e-04,7.552000e-05,1.533135e-04,7.400200e-05,1.488650e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,8.431978e-05,2.067936e-08,6.037685e+00,3.556800e-04,7.587750e-05,1.722490e-04,8.307200e-05,1.508000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,2.314331e-07,2.065597e-08,5.534980e+00,3.879840e-04,7.902150e-05,1.912370e-04,9.203500e-05,1.551250e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,1.850863e-06,2.065603e-08,5.133787e+00,4.183040e-04,7.939850e-05,2.108425e-04,1.023170e-04,1.580950e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,9.320391e-07,2.065612e-08,4.793148e+00,4.480320e-04,8.181300e-05,2.294040e-04,1.111470e-04,1.605150e-05,
5.000000e-01,1024,1024,2048,SGEMM,8.332559e-01,6.683647e-07,4.800348e+01,8.947200e-05,,,,,
5.000000e-01,1024,1024,2048,OS2-fast-3,1.283594e+05,1.179063e-01,2.734394e+01,1.570720e-04,4.210600e-05,6.433600e-05,2.733450e-05,1.349600e-05,
5.000000e-01,1024,1024,2048,OS2-fast-4,2.747820e+03,7.693031e-03,2.285530e+01,1.879200e-04,4.296200e-05,8.534850e-05,3.665500e-05,1.353650e-05,
5.000000e-01,1024,1024,2048,OS2-fast-5,6.999404e+02,4.824620e-04,1.946877e+01,2.206080e-04,4.362300e-05,1.073085e-04,4.598500e-05,1.388900e-05,
5.000000e-01,1024,1024,2048,OS2-fast-6,2.768576e+00,3.008667e-05,1.692851e+01,2.537120e-04,4.618100e-05,1.284300e-04,5.486100e-05,1.414600e-05,
5.000000e-01,1024,1024,2048,OS2-fast-7,5.508985e-01,1.818541e-06,1.496379e+01,2.870240e-04,4.726300e-05,1.508100e-04,6.416800e-05,1.463950e-05,
5.000000e-01,1024,1024,2048,OS2-fast-8,5.206766e-02,7.395413e-08,1.291362e+01,3.325920e-04,6.284750e-05,1.715630e-04,7.365150e-05,1.488900e-05,
5.000000e-01,1024,1024,2048,OS2-fast-9,5.501366e-04,2.112321e-08,1.151342e+01,3.730400e-04,7.035550e-05,1.938215e-04,8.341550e-05,1.517050e-05,
5.000000e-01,1024,1024,2048,OS2-fast-10,7.589011e-06,2.068375e-08,1.045961e+01,4.106240e-04,7.799050e-05,2.144290e-04,9.226100e-05,1.557650e-05,
5.000000e-01,1024,1024,2048,OS2-fast-11,1.724154e-05,2.068558e-08,9.476980e+00,4.532000e-04,8.655600e-05,2.375125e-04,1.024665e-04,1.581700e-05,
5.000000e-01,1024,1024,2048,OS2-fast-12,1.007547e-05,2.068381e-08,8.752950e+00,4.906880e-04,9.272050e-05,2.587055e-04,1.123650e-04,1.651550e-05,
5.000000e-01,1024,1024,2048,OS2-accu-3,4.354493e+04,2.055339e-02,2.098792e+01,2.046400e-04,8.794900e-05,6.488850e-05,2.751700e-05,1.355250e-05,
5.000000e-01,1024,1024,2048,OS2-accu-4,2.230949e+02,1.292899e-03,1.832199e+01,2.344160e-04,8.831000e-05,8.597650e-05,3.685700e-05,1.364650e-05,
5.000000e-01,1024,1024,2048,OS2-accu-5,3.891573e+01,8.080413e-05,1.615329e+01,2.658880e-04,8.885900e-05,1.074145e-04,4.565050e-05,1.391750e-05,
5.000000e-01,1024,1024,2048,OS2-accu-6,6.079435e+00,4.988478e-06,1.434947e+01,2.993120e-04,9.160900e-05,1.286350e-04,5.491250e-05,1.419050e-05,
5.000000e-01,1024,1024,2048,OS2-accu-7,2.178404e-01,2.872919e-07,1.291114e+01,3.326560e-04,9.229450e-05,1.507610e-04,6.483450e-05,1.458450e-05,
