phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
5.000000e-01,1024,1024,1024,CGEMM,7.871571e+00,6.661397e-07,4.988579e+01,1.721920e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-3,1.379550e+06,1.185063e-01,4.621027e+01,1.858880e-04,4.425600e-05,8.966300e-05,3.020750e-05,1.377600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,5.957982e+04,7.711045e-03,3.806785e+01,2.256480e-04,4.771200e-05,1.186390e-04,3.782250e-05,1.406400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,7.560183e+03,4.836477e-04,3.203287e+01,2.681600e-04,4.995100e-05,1.490710e-04,4.707200e-05,1.479950e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,4.464307e+02,3.017516e-05,2.698929e+01,3.182720e-04,5.294350e-05,1.813590e-04,6.036750e-05,1.574400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,1.727064e+00,1.828405e-06,2.378060e+01,3.612160e-04,5.571100e-05,2.108630e-04,6.964700e-05,1.635200e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,9.493178e-01,7.418444e-08,2.066637e+01,4.156480e-04,6.868750e-05,2.410860e-04,8.116800e-05,1.689600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,2.846920e-02,2.112645e-08,1.860840e+01,4.616160e-04,7.212750e-05,2.730210e-04,9.158400e-05,1.774400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,4.811643e-04,2.067766e-08,1.698851e+01,5.056320e-04,7.580750e-05,3.017260e-04,1.015360e-04,1.888000e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,5.669658e-04,2.068015e-08,1.567003e+01,5.481760e-04,7.955200e-05,3.311005e-04,1.106555e-04,1.940800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,2.106792e-04,2.067832e-08,1.438715e+01,5.970560e-04,8.342300e-05,3.622220e-04,1.231360e-04,2.052750e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,3.741014e+05,2.057366e-02,3.611644e+01,2.378400e-04,9.627100e-05,9.009550e-05,3.009500e-05,1.379200e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,1.041644e+04,1.293649e-03,3.059268e+01,2.807840e-04,9.819100e-05,1.203030e-04,4.025500e-05,1.438400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.208366e+03,8.073943e-05,2.635079e+01,3.259840e-04,1.020310e-04,1.509430e-04,5.027200e-05,1.507200e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,7.011728e+01,4.991334e-06,2.319197e+01,3.703840e-04,1.051675e-04,1.811985e-04,6.065600e-05,1.580800e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,8.243706e-01,3.083282e-07,2.103314e+01,4.084000e-04,1.087190e-04,2.093420e-04,6.792000e-05,1.628800e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,1.947641e-02,2.499554e-08,1.827397e+01,4.700640e-04,1.223510e-04,2.413600e-04,8.166400e-05,1.712000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,2.579228e-03,2.071798e-08,1.658852e+01,5.178240e-04,1.273590e-04,2.721730e-04,9.246400e-05,1.792000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,3.807155e-06,2.066186e-08,1.529677e+01,5.615520e-04,1.311990e-04,3.018690e-04,1.019025e-04,1.881550e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,2.524887e-05,2.066179e-08,1.412372e+01,6.081920e-04,1.348470e-04,3.325400e-04,1.131840e-04,1.958400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,3.022172e-05,2.066186e-08,1.311328e+01,6.550560e-04,1.397430e-04,3.651960e-04,1.220465e-04,2.051200e-05,
5.000000e-01,1024,1024,2048,CGEMM,1.522346e+00,7.113424e-07,4.949944e+01,3.470720e-04,,,,,
5.000000e-01,1024,1024,2048,OS2-fast-3,3.010904e+06,1.398778e-01,5.984516e+01,2.870720e-04,7.521550e-05,1.592780e-04,3.080000e-05,1.393550e-05,
5.000000e-01,1024,1024,2048,OS2-fast-4,2.506879e+04,9.145630e-03,4.797988e+01,3.580640e-04,8.225500e-05,2.119020e-04,4.060800e-05,1.475200e-05,
5.000000e-01,1024,1024,2048,OS2-fast-5,6.075800e+03,5.731966e-04,4.013838e+01,4.280160e-04,8.857550e-05,2.645265e-04,5.137550e-05,1.524800e-05,
5.000000e-01,1024,1024,2048,OS2-fast-6,5.258506e+02,3.578564e-05,3.433118e+01,5.004160e-04,9.375900e-05,3.199495e-04,6.183800e-05,1.617600e-05,
5.000000e-01,1024,1024,2048,OS2-fast-7,1.039560e+01,2.175900e-06,3.034026e+01,5.662400e-04,9.958350e-05,3.689250e-04,7.260600e-05,1.688000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-8,6.498257e-01,9.136772e-08,2.626184e+01,6.541760e-04,1.239830e-04,4.213240e-04,8.286400e-05,1.756800e-05,
5.000000e-01,1024,1024,2048,OS2-fast-9,2.512085e-02,2.122859e-08,2.366947e+01,7.258240e-04,1.319990e-04,4.731165e-04,9.312000e-05,1.824000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-10,6.880658e-04,2.067559e-08,2.135312e+01,8.045600e-04,1.397430e-04,5.341560e-04,1.035015e-04,1.900800e-05,
5.000000e-01,1024,1024,2048,OS2-fast-11,9.504209e-04,2.073742e-08,1.970169e+01,8.720000e-04,1.467825e-04,5.828260e-04,1.136310e-04,1.979200e-05,
5.000000e-01,1024,1024,2048,OS2-fast-12,2.973787e-03,2.072509e-08,1.820395e+01,9.437440e-04,1.538705e-04,6.349230e-04,1.245910e-04,2.073600e-05,
5.000000e-01,1024,1024,2048,OS2-accu-3,7.158373e+04,3.602264e-02,4.583547e+01,3.748160e-04,1.626070e-04,1.589585e-04,3.086350e-05,1.398400e-05,
5.000000e-01,1024,1024,2048,OS2-accu-4,1.504283e+04,2.277768e-03,3.885723e+01,4.421280e-04,1.683350e-04,2.106225e-04,4.115150e-05,1.462400e-05,
5.000000e-01,1024,1024,2048,OS2-accu-5,1.718464e+03,1.423492e-04,3.357122e+01,5.117440e-04,1.741260e-04,2.623010e-04,5.135950e-05,1.526400e-05,
5.000000e-01,1024,1024,2048,OS2-accu-6,2.366100e+01,8.875351e-06,2.959516e+01,5.804960e-04,1.791190e-04,3.156775e-04,6.123200e-05,1.604800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-7,7.362806e-01,4.969574e-07,2.639094e+01,6.509760e-04,1.841420e-04,3.699015e-04,7.217600e-05,1.670350e-05,
5.000000e-01,1024,1024,2048,OS2-accu-8,6.813388e-02,2.686874e-08,2.326635e+01,7.384000e-04,2.093420e-04,4.214700e-04,8.227200e-05,1.734400e-05,
5.000000e-01,1024,1024,2048,OS2-accu-9,2.073444e-03,2.073933e-08,2.120427e+01,8.102080e-04,2.176780e-04,4.740935e-04,9.243200e-05,1.804800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-10,6.401127e-05,2.066059e-08,1.934600e+01,8.880320e-04,2.256140e-04,5.312755e-04,1.029435e-04,1.900800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-11,6.538584e-05,2.066039e-08,1.799406e+01,9.547520e-04,2.326540e-04,5.804435e-04,1.126555e-04,1.956750e-05,
5.000000e-01,1024,1024,2048,OS2-accu-12,5.007799e-05,2.066025e-08,1.673355e+01,1.026672e-03,2.399500e-04,6.334520e-04,1.226235e-04,2.060800e-05,
5.000000e-01,1024,1024,4096,CGEMM,2.389194e-01,7.536319e-07,5.175657e+01,6.638720e-04,,,,,
5.000000e-01,1024,1024,4096,OS2-fast-3,6.266489e+04,2.910105e-01,8.927019e+01,3.848960e-04,1.419025e-04,1.898860e-04,3.123150e-05,1.404800e-05,
5.000000e-01,1024,1024,4096,OS2-fast-4,4.614274e+03,2.018511e-02,7.338312e+01,4.682240e-04,1.545270e-04,2.515500e-04,3.955200e-05,1.443200e-05,
5.000000e-01,1024,1024,4096,OS2-fast-5,3.976984e+02,1.270583e-03,6.140931e+01,5.595200e-04,1.664945e-04,3.184135e-04,5.132700e-05,1.528000e-05,
5.000000e-01,1024,1024,4096,OS2-fast-6,3.052670e+01,7.933842e-05,5.312529e+01,6.467680e-04,1.772470e-04,3.828445e-04,6.260750e-05,1.600000e-05,
5.000000e-01,1024,1024,4096,OS2-fast-7,3.121415e+00,4.896799e-06,4.704751e+01,7.303200e-04,1.885590e-04,4.449405e-04,7.252750e-05,1.670400e-05,
5.000000e-01,1024,1024,4096,OS2-fast-8,2.531408e-01,2.487680e-07,4.044682e+01,8.495040e-04,2.339505e-04,5.069085e-04,8.342400e-05,1.740800e-05,
5.000000e-01,1024,1024,4096,OS2-fast-9,1.471402e-03,2.259616e-08,3.658467e+01,9.391840e-04,2.496140e-04,5.711945e-04,9.219000e-05,1.825550e-05,
5.000000e-01,1024,1024,4096,OS2-fast-10,1.991726e-04,2.070086e-08,3.318319e+01,1.035456e-03,2.640615e-04,6.397220e-04,1.043500e-04,1.891200e-05,
5.000000e-01,1024,1024,4096,OS2-fast-11,9.350813e-05,2.071561e-08,3.066169e+01,1.120608e-03,2.782050e-04,6.980260e-04,1.149270e-04,1.951950e-05,
5.000000e-01,1024,1024,4096,OS2-fast-12,2.069543e-04,2.070176e-08,2.854899e+01,1.203536e-03,2.930375e-04,7.561395e-04,1.248790e-04,2.044800e-05,
5.000000e-01,1024,1024,4096,OS2-accu-3,1.988672e+04,4.106860e-02,6.865137e+01,5.004960e-04,2.569095e-04,1.911990e-04,3.056000e-05,1.398400e-05,
5.000000e-01,1024,1024,4096,OS2-accu-4,8.250767e+02,2.603426e-03,5.885129e+01,5.838400e-04,2.669100e-04,2.535020e-04,4.129550e-05,1.467200e-05,
5.000000e-01,1024,1024,4096,OS2-accu-5,4.896666e+01,1.626641e-04,5.124648e+01,6.704800e-04,2.769900e-04,3.176615e-04,5.204750e-05,1.539200e-05,
5.000000e-01,1024,1024,4096,OS2-accu-6,3.416567e+00,1.011636e-05,4.554385e+01,7.544320e-04,2.885895e-04,3.798690e-04,6.203100e-05,1.601600e-05,
5.000000e-01,1024,1024,4096,OS2-accu-7,3.403857e-01,5.707862e-07,4.083755e+01,8.413760e-04,2.998855e-04,4.440915e-04,7.286350e-05,1.675200e-05,
5.000000e-01,1024,1024,4096,OS2-accu-8,1.774045e-02,4.397723e-08,3.569620e+01,9.625600e-04,3.472775e-04,5.069245e-04,8.265600e-05,1.744000e-05,
5.000000e-01,1024,1024,4096,OS2-accu-9,1.451162e-04,2.085951e-08,3.258602e+01,1.054432e-03,3.635010e-04,5.719635e-04,9.294400e-05,1.832000e-05,
5.000000e-01,1024,1024,4096,OS2-accu-10,6.178092e-06,2.065124e-08,3.005744e+01,1.143136e-03,3.779330e-04,6.338840e-04,1.036150e-04,1.886350e-05,
5.000000e-01,1024,1024,4096,OS2-accu-11,3.328458e-06,2.065073e-08,2.789012e+01,1.231968e-03,3.931810e-04,6.969065e-04,1.149740e-04,1.955200e-05,
5.000000e-01,1024,1024,4096,OS2-accu-12,1.003948e-05,2.065013e-08,2.590794e+01,1.326224e-03,4.086370e-04,7.623300e-04,1.256635e-04,2.057600e-05,
5.000000e-01,1024,1024,8192,CGEMM,6.652035e-01,1.065680e-06,5.269769e+01,1.304032e-03,,,,,
5.000000e-01,1024,1024,8192,OS2-fast-3,6.593357e+04,3.001997e-01,1.185505e+02,5.796640e-04,2.675015e-04,2.579020e-04,3.268800e-05,1.403200e-05,
5.000000e-01,1024,1024,8192,OS2-fast-4,1.493157e+04,2.091070e-02,9.650744e+01,7.120640e-04,3.023975e-04,3.431650e-04,4.343950e-05,1.472000e-05,
5.000000e-01,1024,1024,8192,OS2-fast-5,7.919941e+02,1.316045e-03,8.263526e+01,8.316000e-04,3.247815e-04,4.296120e-04,5.403100e-05,1.547150e-05,
5.000000e-01,1024,1024,8192,OS2-fast-6,4.955821e+01,8.220824e-05,7.232167e+01,9.501920e-04,3.424770e-04,5.171790e-04,6.600000e-05,1.619150e-05,
5.000000e-01,1024,1024,8192,OS2-fast-7,2.793231e+00,5.078514e-06,6.439907e+01,1.067088e-03,3.621570e-04,6.018350e-04,7.747100e-05,1.696000e-05,
5.000000e-01,1024,1024,8192,OS2-fast-8,3.727005e-02,2.595214e-07,5.498825e+01,1.249712e-03,4.510685e-04,6.850025e-04,8.753550e-05,1.767900e-05,
5.000000e-01,1024,1024,8192,OS2-fast-9,5.238777e-03,2.271679e-08,4.996530e+01,1.375344e-03,4.806040e-04,7.712420e-04,9.843150e-05,1.832000e-05,
