phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
5.000000e-01,1024,1024,1024,ZGEMM,9.402526e-09,1.240992e-15,5.379468e+01,1.596800e-04,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-9,7.986070e-02,7.389588e-09,1.829389e+01,4.695520e-04,7.948700e-05,2.714050e-04,9.078300e-05,1.900800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,8.787121e-03,4.612140e-10,1.707876e+01,5.029600e-04,8.265550e-05,2.987330e-04,9.521400e-05,1.945600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,3.367796e-04,2.882381e-11,1.563990e+01,5.492320e-04,8.639900e-05,3.293570e-04,1.052460e-04,2.089600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,3.482055e-05,1.804050e-12,1.411221e+01,6.086880e-04,9.076700e-05,3.638520e-04,1.234545e-04,2.208000e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,3.122360e-07,1.123946e-13,1.318510e+01,6.514880e-04,9.425500e-05,3.930035e-04,1.329590e-04,2.305600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,1.510674e-07,9.070029e-15,1.240259e+01,6.925920e-04,9.753500e-05,4.210520e-04,1.423185e-04,2.393600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,1.610431e-08,7.667551e-16,1.160551e+01,7.401600e-04,1.009110e-04,4.530835e-04,1.527820e-04,2.478400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-16,1.737043e-11,5.667077e-17,1.061597e+01,8.091520e-04,1.324140e-04,4.814190e-04,1.600295e-04,2.556750e-05,
5.000000e-01,1024,1024,1024,OS2-fast-17,2.978405e-12,4.566338e-17,1.004116e+01,8.554720e-04,1.375190e-04,5.130985e-04,1.693440e-04,2.649550e-05,
5.000000e-01,1024,1024,1024,OS2-fast-18,8.435389e-15,4.548146e-17,9.505337e+00,9.036960e-04,1.427665e-04,5.420270e-04,1.841575e-04,2.708800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-19,2.731730e-16,4.549831e-17,9.004577e+00,9.539520e-04,1.479990e-04,5.741060e-04,1.957260e-04,2.830350e-05,
5.000000e-01,1024,1024,1024,OS2-fast-20,2.731730e-16,4.549938e-17,8.604390e+00,9.983200e-04,1.541585e-04,6.025060e-04,2.038540e-04,2.913600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,2.671724e-02,1.842360e-09,1.628955e+01,5.273280e-04,1.378225e-04,2.707960e-04,9.199900e-05,1.913600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,7.895619e-04,1.150455e-10,1.499472e+01,5.728640e-04,1.422545e-04,3.008925e-04,1.016305e-04,1.976000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,1.161914e-04,7.192822e-12,1.384009e+01,6.206560e-04,1.459665e-04,3.328130e-04,1.126065e-04,2.120000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,4.574803e-06,4.508835e-13,1.289284e+01,6.662560e-04,1.494865e-04,3.640765e-04,1.224305e-04,2.201600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-13,3.335836e-07,3.754980e-14,1.211297e+01,7.091520e-04,1.531820e-04,3.917715e-04,1.322555e-04,2.280000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-14,3.852850e-08,2.233171e-15,1.139587e+01,7.537760e-04,1.567505e-04,4.219310e-04,1.413590e-04,2.387200e-05,
5.000000e-01,1024,1024,1024,OS2-accu-15,3.207642e-10,9.411798e-17,1.074580e+01,7.993760e-04,1.596460e-04,4.526500e-04,1.543655e-04,2.486400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-16,7.380576e-12,4.683298e-17,9.856811e+00,8.714720e-04,1.915660e-04,4.848275e-04,1.633740e-04,2.574350e-05,
5.000000e-01,1024,1024,1024,OS2-accu-17,2.556392e-14,4.552314e-17,9.383230e+00,9.154560e-04,1.948140e-04,5.121395e-04,1.731345e-04,2.654400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-18,1.228326e-15,4.545327e-17,8.905104e+00,9.646080e-04,2.006860e-04,5.447145e-04,1.835345e-04,2.719950e-05,
5.000000e-01,1024,1024,1024,OS2-accu-19,2.213878e-16,4.548210e-17,8.528800e+00,1.007168e-03,2.044300e-04,5.719145e-04,1.939505e-04,2.823900e-05,
5.000000e-01,1024,1024,1024,OS2-accu-20,2.207215e-16,4.549892e-17,8.140452e+00,1.055216e-03,2.129420e-04,6.022180e-04,2.020935e-04,2.935950e-05,
5.000000e-01,1024,1024,2048,ZGEMM,1.087641e-08,1.753641e-15,5.638512e+01,3.046880e-04,,,,,
5.000000e-01,1024,1024,2048,OS2-fast-9,8.981621e-02,8.763003e-09,2.311210e+01,7.433280e-04,1.463505e-04,4.755960e-04,9.353500e-05,1.924800e-05,
5.000000e-01,1024,1024,2048,OS2-fast-10,9.672314e-04,5.516236e-10,2.107815e+01,8.150560e-04,1.528945e-04,5.305375e-04,1.027190e-04,2.024000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-11,2.239549e-04,6.796991e-11,1.934879e+01,8.879040e-04,1.605585e-04,5.829380e-04,1.134870e-04,2.158350e-05,
5.000000e-01,1024,1024,2048,OS2-fast-12,2.694692e-06,4.272566e-12,1.785166e+01,9.623680e-04,1.675500e-04,6.379285e-04,1.239185e-04,2.201550e-05,
5.000000e-01,1024,1024,2048,OS2-fast-13,8.381987e-07,2.669539e-13,1.671297e+01,1.027936e-03,1.752145e-04,6.850015e-04,1.357580e-04,2.313550e-05,
5.000000e-01,1024,1024,2048,OS2-fast-14,1.688182e-07,1.659555e-14,1.565427e+01,1.097456e-03,1.818380e-04,7.380405e-04,1.461270e-04,2.392000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-15,7.925010e-09,9.269833e-16,1.471867e+01,1.167216e-03,1.873100e-04,7.913200e-04,1.551670e-04,2.489500e-05,
5.000000e-01,1024,1024,2048,OS2-fast-16,1.366113e-10,5.925528e-17,1.316764e+01,1.304704e-03,2.504770e-04,8.529035e-04,1.657110e-04,2.560000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-17,8.855035e-12,4.604985e-17,1.253756e+01,1.370272e-03,2.598210e-04,8.973835e-04,1.771340e-04,2.659100e-05,
5.000000e-01,1024,1024,2048,OS2-fast-18,1.389106e-14,4.548442e-17,1.190916e+01,1.442576e-03,2.696135e-04,9.497490e-04,1.864630e-04,2.696000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-19,4.579728e-16,4.545253e-17,1.131171e+01,1.518768e-03,2.805415e-04,1.004310e-03,1.966705e-04,2.827150e-05,
5.000000e-01,1024,1024,2048,OS2-fast-20,2.204666e-16,4.543115e-17,1.068230e+01,1.608256e-03,2.912135e-04,1.070005e-03,2.090390e-04,2.910350e-05,
5.000000e-01,1024,1024,2048,OS2-accu-9,3.552680e-02,2.475982e-09,2.066040e+01,8.315360e-04,2.350540e-04,4.761550e-04,9.291100e-05,1.908800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-10,5.139701e-04,1.545683e-10,1.904270e+01,9.021760e-04,2.418695e-04,5.290510e-04,1.031025e-04,2.016000e-05,
5.000000e-01,1024,1024,2048,OS2-accu-11,3.157615e-05,9.665745e-12,1.762949e+01,9.744960e-04,2.489415e-04,5.820740e-04,1.141420e-04,2.147150e-05,
5.000000e-01,1024,1024,2048,OS2-accu-12,2.829204e-06,6.044415e-13,1.643214e+01,1.045504e-03,2.546540e-04,6.356725e-04,1.245265e-04,2.204800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-13,8.136100e-07,6.628601e-14,1.538797e+01,1.116448e-03,2.638695e-04,6.864090e-04,1.355830e-04,2.316800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-14,2.381385e-08,4.029443e-15,1.447540e+01,1.186832e-03,2.703815e-04,7.370165e-04,1.459510e-04,2.384000e-05,
5.000000e-01,1024,1024,2048,OS2-accu-15,9.817895e-10,1.760408e-16,1.362392e+01,1.261008e-03,2.756935e-04,7.940235e-04,1.566550e-04,2.489600e-05,
5.000000e-01,1024,1024,2048,OS2-accu-16,6.598356e-11,4.736419e-17,1.236061e+01,1.389888e-03,3.409245e-04,8.461985e-04,1.678225e-04,2.560000e-05,
5.000000e-01,1024,1024,2048,OS2-accu-17,3.031829e-14,4.548776e-17,1.178369e+01,1.457936e-03,3.486050e-04,8.976075e-04,1.765095e-04,2.660800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-18,4.476874e-15,4.545311e-17,1.119671e+01,1.534368e-03,3.597570e-04,9.521030e-04,1.871825e-04,2.707150e-05,
5.000000e-01,1024,1024,2048,OS2-accu-19,2.206377e-16,4.548445e-17,1.067051e+01,1.610032e-03,3.678360e-04,1.007637e-03,1.975025e-04,2.814400e-05,
5.000000e-01,1024,1024,2048,OS2-accu-20,2.203078e-16,4.548209e-17,1.019591e+01,1.684976e-03,3.793560e-04,1.056566e-03,2.096940e-04,2.892750e-05,
5.000000e-01,1024,1024,4096,ZGEMM,5.554940e-10,2.481416e-15,5.850498e+01,5.872960e-04,,,,,
5.000000e-01,1024,1024,4096,OS2-fast-9,7.602863e-03,1.939827e-08,3.529201e+01,9.735840e-04,2.770050e-04,5.748570e-04,9.393550e-05,1.927950e-05,
5.000000e-01,1024,1024,4096,OS2-fast-10,3.796372e-04,1.212548e-09,3.243492e+01,1.059344e-03,2.898690e-04,6.351610e-04,1.051190e-04,2.019150e-05,
5.000000e-01,1024,1024,4096,OS2-fast-11,3.357185e-05,7.580275e-11,2.993801e+01,1.147696e-03,3.035970e-04,6.988240e-04,1.151820e-04,2.124750e-05,
5.000000e-01,1024,1024,4096,OS2-fast-12,1.794409e-06,4.737310e-12,2.766841e+01,1.241840e-03,3.171810e-04,7.681670e-04,1.263990e-04,2.187100e-05,
5.000000e-01,1024,1024,4096,OS2-fast-13,9.783275e-08,2.957470e-13,2.596056e+01,1.323536e-03,3.318210e-04,8.224860e-04,1.367170e-04,2.260800e-05,
