phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,ZGEMM,1.666133e-09,1.243343e-15,7.884794e-01,1.089430e-02,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,1.695205e-03,8.051621e-09,1.107384e+01,7.756960e-04,1.153730e-04,3.682920e-04,8.972500e-05,1.928945e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-10,1.677346e-04,5.032782e-10,1.016685e+01,8.448960e-04,1.178730e-04,4.088025e-04,1.002260e-04,2.083690e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-11,3.739557e-05,3.614068e-11,9.324885e+00,9.211840e-04,1.259230e-04,4.510080e-04,1.106990e-04,2.236730e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-12,1.904821e-06,3.938772e-12,8.638448e+00,9.943840e-04,1.320800e-04,4.921845e-04,1.213350e-04,2.389870e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-13,7.252028e-08,2.456578e-13,8.041564e+00,1.068192e-03,1.397540e-04,5.340125e-04,1.299600e-04,2.545820e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-14,3.121841e-09,1.523397e-14,7.516674e+00,1.142784e-03,1.464170e-04,5.747340e-04,1.418680e-04,2.701960e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-15,3.101019e-10,8.400402e-16,7.065764e+00,1.215712e-03,1.546280e-04,6.155590e-04,1.510475e-04,2.852300e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-16,1.562270e-11,5.713188e-17,6.608699e+00,1.299792e-03,1.726660e-04,6.549440e-04,1.615620e-04,3.008490e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-17,9.012459e-13,4.592536e-17,6.270026e+00,1.370000e-03,1.782420e-04,6.965740e-04,1.693225e-04,3.157825e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-18,1.738871e-14,4.545477e-17,5.938772e+00,1.446416e-03,1.861770e-04,7.365775e-04,1.825995e-04,3.311010e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-19,3.408124e-16,4.547721e-17,5.649548e+00,1.520464e-03,1.957350e-04,7.768925e-04,1.907395e-04,3.466305e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-20,2.200681e-16,4.547923e-17,5.383082e+00,1.595728e-03,2.042415e-04,8.177755e-04,2.027660e-04,3.614935e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-9,8.520300e-04,1.850629e-09,1.019969e+01,8.421760e-04,1.801610e-04,3.683560e-04,9.108750e-05,1.929300e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-10,6.122615e-05,1.157274e-10,9.382082e+00,9.155680e-04,1.860715e-04,4.091720e-04,1.015210e-04,2.082990e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-11,4.523273e-06,7.226647e-12,8.659627e+00,9.919520e-04,1.969375e-04,4.501305e-04,1.116620e-04,2.235525e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-12,1.195743e-07,4.513495e-13,8.019582e+00,1.071120e-03,2.088850e-04,4.919450e-04,1.216645e-04,2.390325e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-13,2.136846e-08,3.058193e-14,7.479707e+00,1.148432e-03,2.200765e-04,5.328150e-04,1.319335e-04,2.544215e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-14,1.124402e-09,1.798880e-15,6.987140e+00,1.229392e-03,2.336375e-04,5.741055e-04,1.417940e-04,2.702310e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-15,4.038752e-11,7.966488e-17,6.567951e+00,1.307856e-03,2.460555e-04,6.149995e-04,1.522675e-04,2.852195e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-16,1.198618e-12,4.663789e-17,6.198789e+00,1.385744e-03,2.578875e-04,6.556815e-04,1.616400e-04,3.008795e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-17,1.914010e-14,4.548521e-17,5.883839e+00,1.459920e-03,2.672805e-04,6.963975e-04,1.709180e-04,3.156870e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-18,2.196825e-16,4.548306e-17,5.575678e+00,1.540608e-03,2.794130e-04,7.372675e-04,1.833020e-04,3.311310e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-19,2.206696e-16,4.546496e-17,5.329220e+00,1.611856e-03,2.870130e-04,7.762365e-04,1.920495e-04,3.466660e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-20,2.201693e-16,4.547482e-17,5.091816e+00,1.687008e-03,2.946070e-04,8.188500e-04,2.028685e-04,3.616390e-04,
-1.000000e+00,1024,1024,1024,Oz1-6,9.278939e-08,5.622126e-14,7.626441e+00,1.126336e-03,,,,,
-1.000000e+00,1024,1024,1024,Oz1-7,3.495507e-10,2.263175e-16,6.204950e+00,1.384368e-03,,,,,
-1.000000e+00,1024,1024,1024,Oz1-8,3.000821e-11,7.881656e-17,5.133836e+00,1.673200e-03,,,,,
-1.000000e+00,1024,1024,1024,Oz1-9,3.000821e-11,7.881044e-17,4.310831e+00,1.992640e-03,,,,,
-1.000000e+00,1024,1024,2048,ZGEMM,1.980612e-08,1.754725e-15,7.936054e-01,2.164787e-02,,,,,
-1.000000e+00,1024,1024,2048,OS2-fast-9,4.441551e-02,1.765656e-08,1.566386e+01,1.096784e-03,2.561500e-04,5.483725e-04,8.959000e-05,1.928395e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-10,3.691190e-03,1.105333e-09,1.426577e+01,1.204272e-03,2.769795e-04,6.099485e-04,9.933800e-05,2.082290e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-11,6.069068e-04,6.897190e-11,1.310432e+01,1.311008e-03,2.970870e-04,6.702730e-04,1.094820e-04,2.237330e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-12,3.849044e-05,4.310542e-12,1.212459e+01,1.416944e-03,3.177360e-04,7.306365e-04,1.193495e-04,2.390370e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-13,1.267590e-06,2.692188e-13,1.130290e+01,1.519952e-03,3.340525e-04,7.911365e-04,1.304935e-04,2.542910e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-14,1.614122e-07,1.673332e-14,1.058124e+01,1.623616e-03,3.533730e-04,8.523115e-04,1.387585e-04,2.696950e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-15,1.668632e-08,1.985292e-15,9.940581e+00,1.728256e-03,3.695590e-04,9.123240e-04,1.508600e-04,2.853045e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-16,1.456367e-10,8.614329e-17,9.354945e+00,1.836448e-03,3.907340e-04,9.741315e-04,1.609885e-04,3.004185e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-17,6.311928e-12,4.608584e-17,8.852244e+00,1.940736e-03,4.123850e-04,1.032244e-03,1.696045e-04,3.157270e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-18,1.006186e-13,4.548734e-17,8.426726e+00,2.038736e-03,4.245375e-04,1.094961e-03,1.784175e-04,3.309460e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-19,6.997493e-15,4.548253e-17,8.024256e+00,2.140992e-03,4.431580e-04,1.154302e-03,1.875620e-04,3.461200e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-20,3.228623e-15,4.547192e-17,7.649968e+00,2.245744e-03,4.625600e-04,1.214052e-03,1.970840e-04,3.616640e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-9,1.417352e-02,2.207032e-09,1.373792e+01,1.250544e-03,4.091840e-04,5.482135e-04,9.099750e-05,1.928850e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-10,1.964410e-04,1.379419e-10,1.265026e+01,1.358064e-03,4.300085e-04,6.101600e-04,9.969850e-05,2.083590e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-11,7.267179e-05,8.622768e-12,1.172003e+01,1.465856e-03,4.532470e-04,6.697215e-04,1.101715e-04,2.237740e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-12,7.366449e-07,5.386634e-13,1.092911e+01,1.571936e-03,4.722385e-04,7.313050e-04,1.194515e-04,2.392725e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-13,4.088891e-07,4.451353e-14,1.025385e+01,1.675456e-03,4.891200e-04,7.906725e-04,1.314340e-04,2.543960e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-14,6.832872e-09,3.403497e-15,9.652393e+00,1.779856e-03,5.082510e-04,8.532230e-04,1.392020e-04,2.698610e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-15,4.789283e-10,1.356246e-16,9.114569e+00,1.884880e-03,5.253540e-04,9.124010e-04,1.521835e-04,2.852650e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-16,1.320058e-11,4.720621e-17,8.618133e+00,1.993456e-03,5.459080e-04,9.754850e-04,1.610755e-04,3.005430e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-17,2.462689e-13,4.551234e-17,8.212049e+00,2.092032e-03,5.628700e-04,1.032514e-03,1.703720e-04,3.157125e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-18,7.269673e-15,4.549193e-17,7.835644e+00,2.192528e-03,5.774720e-04,1.095452e-03,1.781205e-04,3.310160e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-19,2.203921e-16,4.546143e-17,7.486434e+00,2.294800e-03,5.964030e-04,1.153488e-03,1.891000e-04,3.460645e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-20,2.196905e-16,4.545934e-17,7.164488e+00,2.397920e-03,6.131545e-04,1.216434e-03,1.976385e-04,3.617240e-04,
-1.000000e+00,1024,1024,2048,Oz1-6,8.502212e-07,6.250516e-14,9.059354e+00,1.896368e-03,,,,,
-1.000000e+00,1024,1024,2048,Oz1-7,3.651957e-09,2.514583e-16,7.215619e+00,2.380928e-03,,,,,
-1.000000e+00,1024,1024,2048,Oz1-8,2.835408e-10,7.873645e-17,5.783284e+00,2.970608e-03,,,,,
-1.000000e+00,1024,1024,2048,Oz1-9,2.835408e-10,7.872348e-17,4.794967e+00,3.582896e-03,,,,,
-1.000000e+00,1024,1024,4096,ZGEMM,6.071793e-10,2.480241e-15,7.943349e-01,4.325598e-02,,,,,
