phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,CGEMM,6.054807e-01,5.050718e-07,5.467674e+01,1.571040e-04,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-3,1.255045e+05,1.292289e-01,3.766458e+01,2.280640e-04,3.827450e-05,1.243955e-04,3.663600e-05,1.614300e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-4,8.200689e+03,8.422223e-03,2.980960e+01,2.881600e-04,4.413700e-05,1.652795e-04,4.876000e-05,1.659400e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-5,4.449301e+02,5.277563e-04,2.467578e+01,3.481120e-04,4.979450e-05,2.073215e-04,6.110900e-05,1.718600e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-6,7.924748e+00,3.292202e-05,2.101503e+01,4.087520e-04,5.547350e-05,2.487875e-04,7.328000e-05,1.786400e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-7,1.743473e+00,1.994558e-06,1.833388e+01,4.685280e-04,5.876400e-05,2.913030e-04,8.589550e-05,1.868050e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-8,9.909999e-02,7.831622e-08,1.607398e+01,5.344000e-04,7.019250e-05,3.336965e-04,9.863500e-05,1.943000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-9,6.082617e-04,2.115537e-08,1.443395e+01,5.951200e-04,7.404250e-05,3.762635e-04,1.108685e-04,2.005750e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-10,4.818837e-05,2.067944e-08,1.316183e+01,6.526400e-04,7.507550e-05,4.203400e-04,1.230605e-04,2.077550e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-11,1.013085e-04,2.069317e-08,1.205991e+01,7.122720e-04,7.863750e-05,4.629800e-04,1.352630e-04,2.155550e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-12,1.078788e-04,2.074019e-08,1.115251e+01,7.702240e-04,8.222550e-05,5.037340e-04,1.476440e-04,2.210300e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-3,8.021840e+03,1.680762e-02,2.886092e+01,2.976320e-04,1.078570e-04,1.240180e-04,3.651150e-05,1.598500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-4,6.268838e+02,1.055196e-03,2.474174e+01,3.471840e-04,1.118440e-04,1.609085e-04,4.601750e-05,1.582500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-5,3.967107e+01,6.592975e-05,2.052494e+01,4.185120e-04,1.197930e-04,2.076160e-04,6.124900e-05,1.721300e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-6,1.897078e+00,4.051679e-06,1.774780e+01,4.840000e-04,1.303595e-04,2.492545e-04,7.388000e-05,1.779500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-7,9.786678e-02,1.953002e-07,1.626340e+01,5.281760e-04,1.330505e-04,2.837745e-04,8.086000e-05,1.799700e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-8,3.560974e-03,2.262919e-08,1.405237e+01,6.112800e-04,1.457805e-04,3.344750e-04,9.869400e-05,1.933400e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-9,1.083805e-04,2.071018e-08,1.289935e+01,6.659200e-04,1.467005e-04,3.758580e-04,1.101935e-04,2.004350e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-10,5.297851e-06,2.066173e-08,1.179236e+01,7.284320e-04,1.507845e-04,4.202875e-04,1.240445e-04,2.073850e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-11,2.178130e-06,2.066163e-08,1.092911e+01,7.859680e-04,1.550085e-04,4.621260e-04,1.349745e-04,2.149050e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-12,3.996317e-06,2.066124e-08,1.012620e+01,8.482880e-04,1.578465e-04,5.055280e-04,1.489860e-04,2.219000e-05,
-1.000000e+00,1024,1024,1024,BF16x9,4.465708e-01,1.546972e-07,1.163569e+02,7.382400e-05,,,,,
