phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,ZGEMM,1.937064e-09,9.404790e-16,3.081746e+01,2.787360e-04,,,,,
-1.000000e+00,1024,1024,1024,ZGEMM3m,8.795918e-10,1.280131e-15,3.914765e+01,2.194240e-04,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,1.695205e-03,8.051621e-09,1.214503e+01,7.072800e-04,8.240950e-05,4.331830e-04,1.460355e-04,2.469000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-10,1.677346e-04,5.032782e-10,1.100799e+01,7.803360e-04,8.421500e-05,4.857945e-04,1.632565e-04,2.560300e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-11,3.739557e-05,3.614068e-11,1.016224e+01,8.452800e-04,8.651750e-05,5.302805e-04,1.800760e-04,2.648000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-12,1.904821e-06,3.938772e-12,9.359838e+00,9.177440e-04,9.035500e-05,5.796790e-04,1.967570e-04,2.729300e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-13,7.252028e-08,2.456578e-13,8.744538e+00,9.823200e-04,9.372750e-05,6.291545e-04,2.117390e-04,2.788750e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-14,3.121841e-09,1.523397e-14,8.182386e+00,1.049808e-03,9.749650e-05,6.752200e-04,2.275480e-04,2.842750e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-15,3.101019e-10,8.400402e-16,7.909351e+00,1.086048e-03,9.931050e-05,7.029870e-04,2.378695e-04,2.868200e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-16,1.562270e-11,5.713188e-17,7.036500e+00,1.220768e-03,1.292440e-04,7.799350e-04,2.608385e-04,2.994750e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-17,9.012459e-13,4.592536e-17,6.686064e+00,1.284752e-03,1.339630e-04,8.209810e-04,2.783795e-04,3.030550e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-18,1.738871e-14,4.545477e-17,6.352074e+00,1.352304e-03,1.389715e-04,8.682025e-04,2.935070e-04,3.186050e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-19,3.408124e-16,4.547721e-17,6.019879e+00,1.426928e-03,1.433590e-04,9.197615e-04,3.109015e-04,3.236400e-05,
