phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,DGEMM,1.517648e-01,1.415008e-02,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-12,5.556151e-01,3.865056e-03,5.025770e-04,2.315426e-03,4.088010e-04,6.266570e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-13,5.103569e-01,4.207808e-03,5.638730e-04,2.517955e-03,4.462880e-04,6.663850e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-14,4.799970e-01,4.473952e-03,5.988160e-04,2.682515e-03,4.769450e-04,7.068970e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-15,4.481842e-01,4.791520e-03,6.450570e-04,2.876724e-03,5.106250e-04,7.492970e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-16,4.165381e-01,5.155552e-03,6.851360e-04,3.110148e-03,5.570250e-04,7.905290e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-12,5.075469e-01,4.231104e-03,8.734730e-04,2.310322e-03,4.101440e-04,6.266250e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-13,4.701970e-01,4.567200e-03,9.217770e-04,2.518276e-03,4.479840e-04,6.675850e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-14,4.447595e-01,4.828416e-03,9.595850e-04,2.675459e-03,4.775840e-04,7.035690e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-15,4.158463e-01,5.164128e-03,1.012210e-03,2.877267e-03,5.108320e-04,7.487690e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-16,3.888971e-01,5.521984e-03,1.048914e-03,3.112866e-03,5.581290e-04,7.896170e-04,
-1.000000e+00,1024,1024,1024,Oz1-6,1.268311e+00,1.693184e-03,,,,,
-1.000000e+00,1024,1024,1024,Oz1-7,1.027308e+00,2.090400e-03,,,,,
-1.000000e+00,1024,1024,1024,Oz1-8,8.478908e-01,2.532736e-03,,,,,
-1.000000e+00,1024,1024,1024,Oz1-9,7.115849e-01,3.017888e-03,,,,,
-1.000000e+00,2048,2048,2048,DGEMM,1.519967e-01,1.130279e-01,,,,,
-1.000000e+00,2048,2048,2048,OS2-fast-12,1.003238e+00,1.712442e-02,2.084451e-03,9.599644e-03,2.948452e-03,2.483155e-03,
-1.000000e+00,2048,2048,2048,OS2-fast-13,9.288424e-01,1.849600e-02,2.292228e-03,1.037366e-02,3.188179e-03,2.642596e-03,
-1.000000e+00,2048,2048,2048,OS2-fast-14,8.599952e-01,1.997670e-02,2.529892e-03,1.119434e-02,3.438005e-03,2.803044e-03,
-1.000000e+00,2048,2048,2048,OS2-fast-15,7.999054e-01,2.147738e-02,2.836916e-03,1.202798e-02,3.615108e-03,2.970980e-03,
-1.000000e+00,2048,2048,2048,OS2-fast-16,7.570775e-01,2.269235e-02,3.100500e-03,1.274631e-02,3.696309e-03,3.133332e-03,
-1.000000e+00,2048,2048,2048,OS2-accu-12,9.275810e-01,1.852115e-02,3.470901e-03,9.606380e-03,2.946661e-03,2.481172e-03,
-1.000000e+00,2048,2048,2048,OS2-accu-13,8.631198e-01,1.990438e-02,3.690324e-03,1.037470e-02,3.187043e-03,2.641076e-03,
-1.000000e+00,2048,2048,2048,OS2-accu-14,8.047736e-01,2.134746e-02,3.929429e-03,1.116310e-02,3.439908e-03,2.794435e-03,
-1.000000e+00,2048,2048,2048,OS2-accu-15,7.530222e-01,2.281456e-02,4.248870e-03,1.196797e-02,3.619797e-03,2.969556e-03,
-1.000000e+00,2048,2048,2048,OS2-accu-16,7.135047e-01,2.407814e-02,4.518854e-03,1.272866e-02,3.699941e-03,3.129316e-03,
-1.000000e+00,2048,2048,2048,Oz1-6,2.053931e+00,8.364384e-03,,,,,
-1.000000e+00,2048,2048,2048,Oz1-7,1.624071e+00,1.057827e-02,,,,,
-1.000000e+00,2048,2048,2048,Oz1-8,9.099785e-01,1.887942e-02,,,,,
-1.000000e+00,2048,2048,2048,Oz1-9,7.512792e-01,2.286749e-02,,,,,
-1.000000e+00,4096,4096,4096,DGEMM,1.558605e-01,8.818077e-01,,,,,
-1.000000e+00,4096,4096,4096,OS2-fast-12,1.238016e+00,1.110155e-01,1.175384e-02,7.319709e-02,1.230264e-02,1.447434e-02,
-1.000000e+00,4096,4096,4096,OS2-fast-13,9.439785e-01,1.455954e-01,1.295368e-02,1.012631e-01,1.617541e-02,1.512786e-02,
-1.000000e+00,4096,4096,4096,OS2-fast-14,8.663698e-01,1.586378e-01,1.403054e-02,1.109798e-01,1.736411e-02,1.628752e-02,
-1.000000e+00,4096,4096,4096,OS2-fast-15,8.195548e-01,1.676995e-01,1.517609e-02,1.168786e-01,1.858490e-02,1.714106e-02,
-1.000000e+00,4096,4096,4096,OS2-fast-16,7.628512e-01,1.801648e-01,1.635464e-02,1.255702e-01,1.982961e-02,1.807360e-02,
-1.000000e+00,4096,4096,4096,OS2-accu-12,9.544792e-01,1.439937e-01,2.075690e-02,9.396677e-02,1.489763e-02,1.438280e-02,
