phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,DGEMM,4.119636e-01,5.212800e-03,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-12,2.330735e+00,9.213760e-04,2.234240e-04,3.470250e-04,1.111850e-04,2.348010e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-13,2.177869e+00,9.860480e-04,2.310250e-04,3.725620e-04,1.263850e-04,2.498890e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-14,2.062730e+00,1.041088e-03,2.390890e-04,4.016490e-04,1.303200e-04,2.651530e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-15,1.931969e+00,1.111552e-03,2.463530e-04,4.404980e-04,1.394240e-04,2.799050e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-16,1.817683e+00,1.181440e-03,2.671370e-04,4.604330e-04,1.531850e-04,2.954570e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-12,2.054646e+00,1.045184e-03,3.511700e-04,3.440810e-04,1.097600e-04,2.345610e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-13,1.950159e+00,1.101184e-03,3.524660e-04,3.691850e-04,1.247360e-04,2.498410e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-14,1.842284e+00,1.165664e-03,3.646730e-04,4.024500e-04,1.302090e-04,2.650250e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-15,1.738346e+00,1.235360e-03,3.684330e-04,4.412820e-04,1.404000e-04,2.800330e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-16,1.640162e+00,1.309312e-03,3.873930e-04,4.639230e-04,1.566090e-04,2.954410e-04,
-1.000000e+00,1024,1024,1024,Oz1-6,2.886527e+00,7.439680e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-7,2.379494e+00,9.024960e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-8,1.998299e+00,1.074656e-03,,,,,
-1.000000e+00,1024,1024,1024,Oz1-9,1.703011e+00,1.260992e-03,,,,,
-1.000000e+00,2048,2048,2048,DGEMM,4.123854e-01,4.165974e-02,,,,,
-1.000000e+00,2048,2048,2048,OS2-fast-12,4.168220e+00,4.121632e-03,8.984030e-04,1.875367e-03,4.229120e-04,9.191710e-04,
-1.000000e+00,2048,2048,2048,OS2-fast-13,3.887664e+00,4.419072e-03,9.429470e-04,2.036711e-03,4.530420e-04,9.799870e-04,
-1.000000e+00,2048,2048,2048,OS2-fast-14,3.642643e+00,4.716320e-03,9.911870e-04,2.179848e-03,4.997140e-04,1.041124e-03,
-1.000000e+00,2048,2048,2048,OS2-fast-15,3.439716e+00,4.994560e-03,1.023732e-03,2.322504e-03,5.399230e-04,1.097988e-03,
-1.000000e+00,2048,2048,2048,OS2-fast-16,3.241367e+00,5.300192e-03,1.087923e-03,2.494041e-03,5.552350e-04,1.158964e-03,
-1.000000e+00,2048,2048,2048,OS2-accu-12,3.677929e+00,4.671072e-03,1.447605e-03,1.875238e-03,4.218750e-04,9.188030e-04,
-1.000000e+00,2048,2048,2048,OS2-accu-13,3.464801e+00,4.958400e-03,1.486821e-03,2.032791e-03,4.514080e-04,9.797480e-04,
-1.000000e+00,2048,2048,2048,OS2-accu-14,3.267924e+00,5.257120e-03,1.528406e-03,2.179895e-03,5.015870e-04,1.040900e-03,
-1.000000e+00,2048,2048,2048,OS2-accu-15,3.106838e+00,5.529696e-03,1.563493e-03,2.326809e-03,5.383860e-04,1.097700e-03,
-1.000000e+00,2048,2048,2048,OS2-accu-16,2.948496e+00,5.826656e-03,1.607382e-03,2.500856e-03,5.550900e-04,1.158980e-03,
-1.000000e+00,2048,2048,2048,Oz1-6,4.210917e+00,4.079840e-03,,,,,
-1.000000e+00,2048,2048,2048,Oz1-7,3.441833e+00,4.991488e-03,,,,,
-1.000000e+00,2048,2048,2048,Oz1-8,2.887412e+00,5.949920e-03,,,,,
-1.000000e+00,2048,2048,2048,Oz1-9,2.426733e+00,7.079424e-03,,,,,
-1.000000e+00,4096,4096,4096,DGEMM,4.223590e-01,3.254079e-01,,,,,
-1.000000e+00,4096,4096,4096,OS2-fast-12,5.888082e+00,2.334189e-02,4.245902e-03,1.121810e-02,4.204640e-03,3.681469e-03,
-1.000000e+00,4096,4096,4096,OS2-fast-13,5.280563e+00,2.602733e-02,4.628815e-03,1.283147e-02,4.566032e-03,3.925390e-03,
-1.000000e+00,4096,4096,4096,OS2-fast-14,4.894918e+00,2.807789e-02,5.029857e-03,1.381741e-02,4.887922e-03,4.319182e-03,
-1.000000e+00,4096,4096,4096,OS2-fast-15,4.569576e+00,3.007696e-02,5.536402e-03,1.465559e-02,5.261731e-03,4.571072e-03,
-1.000000e+00,4096,4096,4096,OS2-fast-16,4.379000e+00,3.138592e-02,5.655699e-03,1.544692e-02,5.415843e-03,4.823952e-03,
