phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,DGEMM,4.450190e+01,4.825600e-05,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,5.220245e+00,4.113760e-04,6.121550e-05,2.397580e-04,8.604750e-05,1.585600e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-10,4.709394e+00,4.560000e-04,6.503900e-05,2.686855e-04,9.739100e-05,1.668750e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-11,4.358992e+00,4.926560e-04,6.881500e-05,2.931975e-04,1.055510e-04,1.756800e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-12,3.987692e+00,5.385280e-04,7.316700e-05,3.225565e-04,1.167195e-04,1.825600e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-13,3.593802e+00,5.975520e-04,8.678300e-05,3.535485e-04,1.293915e-04,1.947200e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-14,3.328152e+00,6.452480e-04,9.123150e-05,3.843650e-04,1.411990e-04,2.032000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-15,3.132196e+00,6.856160e-04,9.473550e-05,4.098525e-04,1.505115e-04,2.166350e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-16,2.940405e+00,7.303360e-04,9.915150e-05,4.373560e-04,1.615185e-04,2.316800e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-17,2.856182e+00,7.518720e-04,1.026715e-04,4.537240e-04,1.638385e-04,2.369600e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-18,2.698169e+00,7.959040e-04,1.085910e-04,4.803315e-04,1.738710e-04,2.484800e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-19,2.555603e+00,8.403040e-04,1.172310e-04,5.066990e-04,1.825275e-04,2.555200e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-20,2.440988e+00,8.797600e-04,1.200310e-04,5.328595e-04,1.924635e-04,2.654300e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-9,4.838070e+00,4.438720e-04,9.489500e-05,2.392790e-04,8.636750e-05,1.584000e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-10,4.414331e+00,4.864800e-04,9.961550e-05,2.669100e-04,9.604700e-05,1.664000e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-11,4.071399e+00,5.274560e-04,1.037115e-04,2.935030e-04,1.055990e-04,1.732800e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-12,3.757495e+00,5.715200e-04,1.080150e-04,3.216770e-04,1.160315e-04,1.830400e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-13,3.445898e+00,6.232000e-04,1.211350e-04,3.488610e-04,1.258230e-04,1.945600e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-14,3.170597e+00,6.773120e-04,1.253750e-04,3.827325e-04,1.402065e-04,2.030400e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-15,3.022037e+00,7.106080e-04,1.295670e-04,4.048290e-04,1.461265e-04,2.169600e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-16,2.803503e+00,7.660000e-04,1.344310e-04,4.388760e-04,1.610070e-04,2.316750e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-17,2.659251e+00,8.075520e-04,1.381745e-04,4.655805e-04,1.701265e-04,2.420800e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-18,2.516787e+00,8.532640e-04,1.451665e-04,4.935320e-04,1.810385e-04,2.500800e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-19,2.392473e+00,8.976000e-04,1.517590e-04,5.198195e-04,1.907505e-04,2.588800e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-20,2.284013e+00,9.402240e-04,1.549110e-04,5.485880e-04,2.015180e-04,2.694350e-05,
-1.000000e+00,1024,1024,1024,Oz1-6,1.511461e+01,1.420800e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-7,1.322863e+01,1.623360e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-8,1.142862e+01,1.879040e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-9,1.019117e+01,2.107200e-04,,,,,
-1.000000e+00,1024,1024,2048,DGEMM,5.214364e+01,8.236800e-05,,,,,
-1.000000e+00,1024,1024,2048,OS2-fast-9,8.380751e+00,5.124800e-04,1.112315e-04,2.851825e-04,9.177450e-05,1.609600e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-10,7.624707e+00,5.632960e-04,1.189270e-04,3.173100e-04,1.016160e-04,1.691200e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-11,6.953386e+00,6.176800e-04,1.275670e-04,3.504795e-04,1.134700e-04,1.769600e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-12,6.433444e+00,6.676000e-04,1.347830e-04,3.818840e-04,1.234225e-04,1.854350e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-13,5.826560e+00,7.371360e-04,1.596940e-04,4.144600e-04,1.342240e-04,1.961600e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-14,5.450356e+00,7.880160e-04,1.679190e-04,4.458195e-04,1.444480e-04,2.049600e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-15,5.132217e+00,8.368640e-04,1.743990e-04,4.777565e-04,1.550080e-04,2.147200e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-16,4.945566e+00,8.684480e-04,1.833100e-04,5.002695e-04,1.546220e-04,2.230400e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-17,4.591466e+00,9.354240e-04,1.901905e-04,5.386050e-04,1.742080e-04,2.347150e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-18,4.353337e+00,9.865920e-04,2.017905e-04,5.694380e-04,1.825430e-04,2.454400e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-19,4.107910e+00,1.045536e-03,2.182385e-04,6.004155e-04,1.930560e-04,2.580800e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-20,3.889242e+00,1.104320e-03,2.248620e-04,6.375935e-04,2.074225e-04,2.643200e-05,
