phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
5.000000e-01,1024,1024,1024,DGEMM,2.756879e-09,8.765315e-16,4.413605e+01,4.865600e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-9,5.465733e-03,3.144399e-09,7.888664e+00,2.722240e-04,4.995200e-05,1.277915e-04,7.137600e-05,1.521600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.690812e-04,2.142583e-10,6.992692e+00,3.071040e-04,5.192000e-05,1.471830e-04,8.385600e-05,1.648000e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,4.456593e-05,2.269263e-11,6.529688e+00,3.288800e-04,5.329550e-05,1.596945e-04,9.051200e-05,1.686400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,2.661800e-06,1.530285e-12,6.013878e+00,3.570880e-04,5.513550e-05,1.766065e-04,1.001750e-04,1.740800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-13,1.696944e-07,9.551687e-14,5.612047e+00,3.826560e-04,5.644700e-05,1.917585e-04,1.088630e-04,1.798400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-14,1.134047e-08,5.859329e-15,5.276269e+00,4.070080e-04,5.854350e-05,2.056795e-04,1.166230e-04,1.848000e-05,
5.000000e-01,1024,1024,1024,OS2-fast-15,7.645727e-10,2.749305e-16,4.953963e+00,4.334880e-04,5.913550e-05,2.217580e-04,1.253595e-04,1.913550e-05,
5.000000e-01,1024,1024,1024,OS2-fast-16,8.074306e-12,4.858253e-17,4.583156e+00,4.685600e-04,7.187200e-05,2.355660e-04,1.338390e-04,1.944000e-05,
5.000000e-01,1024,1024,1024,OS2-fast-17,1.293970e-13,4.551100e-17,4.334638e+00,4.954240e-04,7.455950e-05,2.508935e-04,1.419035e-04,2.036800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-18,5.110841e-16,4.536987e-17,4.141117e+00,5.185760e-04,7.569600e-05,2.636460e-04,1.494225e-04,2.086400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-19,2.201452e-16,4.541940e-17,3.909178e+00,5.493440e-04,7.889500e-05,2.811660e-04,1.600955e-04,2.148800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-20,2.211866e-16,4.541899e-17,3.738656e+00,5.744000e-04,8.185600e-05,2.943015e-04,1.677265e-04,2.195200e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,1.194455e-03,1.234489e-09,6.912026e+00,3.106880e-04,8.073550e-05,1.315025e-04,7.491100e-05,1.576000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,7.073146e-05,7.716693e-11,6.570604e+00,3.268320e-04,8.281500e-05,1.421120e-04,7.951950e-05,1.612800e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,6.420557e-06,4.824047e-12,5.906951e+00,3.635520e-04,8.411150e-05,1.616305e-04,9.268700e-05,1.705600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,3.684799e-07,3.041149e-13,5.551923e+00,3.868000e-04,8.571100e-05,1.755985e-04,9.935950e-05,1.740800e-05,
5.000000e-01,1024,1024,1024,OS2-accu-13,3.607184e-08,2.374903e-14,5.225123e+00,4.109920e-04,8.705550e-05,1.904945e-04,1.082715e-04,1.799950e-05,
5.000000e-01,1024,1024,1024,OS2-accu-14,3.784941e-09,1.374828e-15,4.897206e+00,4.385120e-04,8.955100e-05,2.062700e-04,1.164310e-04,1.864000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-15,9.399680e-11,7.078943e-17,4.644212e+00,4.624000e-04,9.003150e-05,2.205580e-04,1.252630e-04,1.902400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-16,5.540734e-13,4.606214e-17,4.281814e+00,5.015360e-04,1.034235e-04,2.356465e-04,1.344630e-04,1.955200e-05,
5.000000e-01,1024,1024,1024,OS2-accu-17,1.149021e-14,4.541392e-17,4.091754e+00,5.248320e-04,1.060150e-04,2.484780e-04,1.421110e-04,2.033600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-18,2.983118e-16,4.536032e-17,3.852182e+00,5.574720e-04,1.082070e-04,2.675980e-04,1.525115e-04,2.102350e-05,
5.000000e-01,1024,1024,1024,OS2-accu-19,2.192217e-16,4.539976e-17,3.710234e+00,5.788000e-04,1.107350e-04,2.793890e-04,1.595510e-04,2.147200e-05,
5.000000e-01,1024,1024,1024,OS2-accu-20,2.179481e-16,4.538465e-17,3.502093e+00,6.132000e-04,1.186875e-04,2.955815e-04,1.688145e-04,2.195200e-05,
5.000000e-01,1024,1024,2048,DGEMM,7.581235e-10,1.242672e-15,5.138504e+01,8.358400e-05,,,,,
5.000000e-01,1024,1024,2048,OS2-fast-9,2.406846e-03,7.364186e-09,1.049150e+01,4.093760e-04,8.383950e-05,2.219185e-04,7.950300e-05,1.601600e-05,
