phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
5.000000e-01,1024,1024,1024,SGEMM,3.678775e-01,4.709767e-07,3.437074e+01,6.248000e-05,,,,,
5.000000e-01,1024,1024,1024,OS2-fast-3,7.615062e+04,5.167707e-02,1.852557e+01,1.159200e-04,2.623950e-05,4.393600e-05,2.452800e-05,1.315200e-05,
5.000000e-01,1024,1024,1024,OS2-fast-4,7.292936e+03,3.280882e-03,1.530593e+01,1.403040e-04,2.737600e-05,5.883100e-05,3.283150e-05,1.320000e-05,
5.000000e-01,1024,1024,1024,OS2-fast-5,4.735114e+02,2.053163e-04,1.292046e+01,1.662080e-04,2.969500e-05,7.343950e-05,4.195200e-05,1.339200e-05,
5.000000e-01,1024,1024,1024,OS2-fast-6,3.604755e+01,1.275715e-05,1.123913e+01,1.910720e-04,3.238400e-05,8.731150e-05,4.943950e-05,1.366400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-7,7.745990e-01,7.391253e-07,9.856630e+00,2.178720e-04,3.643150e-05,1.019355e-04,5.777600e-05,1.398350e-05,
5.000000e-01,1024,1024,1024,OS2-fast-8,3.536763e-02,3.191745e-08,8.651394e+00,2.482240e-04,4.380750e-05,1.165750e-04,6.611150e-05,1.425600e-05,
5.000000e-01,1024,1024,1024,OS2-fast-9,1.753836e-04,2.077727e-08,7.765432e+00,2.765440e-04,4.585550e-05,1.323510e-04,7.532750e-05,1.497550e-05,
5.000000e-01,1024,1024,1024,OS2-fast-10,2.704592e-06,2.065915e-08,7.204773e+00,2.980640e-04,4.782300e-05,1.455670e-04,8.209550e-05,1.532800e-05,
5.000000e-01,1024,1024,1024,OS2-fast-11,3.703898e-05,2.067043e-08,6.608781e+00,3.249440e-04,4.951950e-05,1.608305e-04,9.119900e-05,1.558400e-05,
5.000000e-01,1024,1024,1024,OS2-fast-12,4.244817e-05,2.066945e-08,6.123071e+00,3.507200e-04,5.116750e-05,1.755985e-04,1.001590e-04,1.612800e-05,
5.000000e-01,1024,1024,1024,OS2-accu-3,2.575842e+04,1.308727e-02,1.462545e+01,1.468320e-04,5.692800e-05,4.406400e-05,2.483200e-05,1.310400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-4,1.594803e+03,8.208152e-04,1.260497e+01,1.703680e-04,5.791950e-05,5.852700e-05,3.275200e-05,1.312000e-05,
5.000000e-01,1024,1024,1024,OS2-accu-5,1.183582e+02,5.129938e-05,1.097896e+01,1.956000e-04,6.038350e-05,7.292700e-05,4.099200e-05,1.324800e-05,
5.000000e-01,1024,1024,1024,OS2-accu-6,3.952623e+00,3.145366e-06,9.779069e+00,2.196000e-04,6.284700e-05,8.695900e-05,4.915200e-05,1.366400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-7,1.262639e-01,1.543651e-07,8.663680e+00,2.478720e-04,6.708700e-05,1.017600e-04,5.779200e-05,1.385550e-05,
5.000000e-01,1024,1024,1024,OS2-accu-8,7.576910e-03,2.258030e-08,7.674847e+00,2.798080e-04,7.470300e-05,1.167680e-04,6.599950e-05,1.430400e-05,
5.000000e-01,1024,1024,1024,OS2-accu-9,8.431978e-05,2.067936e-08,7.006564e+00,3.064960e-04,7.673600e-05,1.318710e-04,7.452750e-05,1.500800e-05,
5.000000e-01,1024,1024,1024,OS2-accu-10,2.314331e-07,2.065597e-08,6.473940e+00,3.317120e-04,7.886300e-05,1.459825e-04,8.446350e-05,1.532750e-05,
5.000000e-01,1024,1024,1024,OS2-accu-11,1.850863e-06,2.065603e-08,5.995878e+00,3.581600e-04,8.078350e-05,1.617425e-04,9.223900e-05,1.569600e-05,
5.000000e-01,1024,1024,1024,OS2-accu-12,9.320391e-07,2.065612e-08,5.623098e+00,3.819040e-04,8.217600e-05,1.759185e-04,9.979100e-05,1.608000e-05,
5.000000e-01,1024,1024,2048,SGEMM,1.633116e-01,3.780715e-07,4.196927e+01,1.023360e-04,,,,,
5.000000e-01,1024,1024,2048,OS2-fast-3,1.283594e+05,1.179063e-01,2.487817e+01,1.726400e-04,5.092750e-05,7.340750e-05,2.643150e-05,1.342400e-05,
5.000000e-01,1024,1024,2048,OS2-fast-4,2.747820e+03,7.693031e-03,2.022875e+01,2.123200e-04,5.779150e-05,9.825500e-05,3.528000e-05,1.326400e-05,
5.000000e-01,1024,1024,2048,OS2-fast-5,6.999404e+02,4.824620e-04,1.734303e+01,2.476480e-04,6.040000e-05,1.216795e-04,4.372700e-05,1.344000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-6,2.768576e+00,3.008667e-05,1.503924e+01,2.855840e-04,6.231900e-05,1.474070e-04,5.292800e-05,1.392000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-7,5.508985e-01,1.818541e-06,1.351843e+01,3.177120e-04,6.351950e-05,1.701105e-04,6.132800e-05,1.438350e-05,
5.000000e-01,1024,1024,2048,OS2-fast-8,5.206766e-02,7.395413e-08,1.177762e+01,3.646720e-04,7.622300e-05,1.951030e-04,7.086300e-05,1.480000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-9,5.501366e-04,2.112321e-08,1.074602e+01,3.996800e-04,7.873550e-05,2.185265e-04,7.916750e-05,1.526350e-05,
5.000000e-01,1024,1024,2048,OS2-fast-10,7.589011e-06,2.068375e-08,9.827760e+00,4.370240e-04,8.135950e-05,2.433590e-04,8.703950e-05,1.536000e-05,
5.000000e-01,1024,1024,2048,OS2-fast-11,1.724154e-05,2.068558e-08,8.990403e+00,4.777280e-04,8.495950e-05,2.704300e-04,9.803100e-05,1.587200e-05,
5.000000e-01,1024,1024,2048,OS2-fast-12,1.007547e-05,2.068381e-08,8.397268e+00,5.114720e-04,8.815950e-05,2.925895e-04,1.061590e-04,1.628800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-3,4.354493e+04,2.055339e-02,1.991361e+01,2.156800e-04,9.491150e-05,7.324700e-05,2.640000e-05,1.331150e-05,
5.000000e-01,1024,1024,2048,OS2-accu-4,2.230949e+02,1.292899e-03,1.665232e+01,2.579200e-04,1.020790e-04,9.889500e-05,3.560000e-05,1.339200e-05,
5.000000e-01,1024,1024,2048,OS2-accu-5,3.891573e+01,8.080413e-05,1.471202e+01,2.919360e-04,1.046710e-04,1.217580e-04,4.443200e-05,1.350400e-05,
5.000000e-01,1024,1024,2048,OS2-accu-6,6.079435e+00,4.988478e-06,1.311168e+01,3.275680e-04,1.064315e-04,1.464155e-04,5.342400e-05,1.409600e-05,
5.000000e-01,1024,1024,2048,OS2-accu-7,2.178404e-01,2.872919e-07,1.182587e+01,3.631840e-04,1.080950e-04,1.701905e-04,6.220750e-05,1.446400e-05,
5.000000e-01,1024,1024,2048,OS2-accu-8,1.405746e-03,2.498805e-08,1.049068e+01,4.094080e-04,1.200310e-04,1.959025e-04,7.118400e-05,1.491150e-05,
5.000000e-01,1024,1024,2048,OS2-accu-9,2.907737e-04,2.072351e-08,9.659774e+00,4.446240e-04,1.225270e-04,2.197095e-04,7.935950e-05,1.527950e-05,
5.000000e-01,1024,1024,2048,OS2-accu-10,2.628021e-06,2.066924e-08,8.873313e+00,4.840320e-04,1.262070e-04,2.451010e-04,8.945500e-05,1.555200e-05,
5.000000e-01,1024,1024,2048,OS2-accu-11,5.964920e-07,2.066830e-08,8.272534e+00,5.191840e-04,1.294710e-04,2.686210e-04,9.756700e-05,1.580800e-05,
5.000000e-01,1024,1024,2048,OS2-accu-12,5.252170e-07,2.066830e-08,7.724761e+00,5.560000e-04,1.323190e-04,2.926540e-04,1.070395e-04,1.641600e-05,
5.000000e-01,1024,1024,4096,SGEMM,7.352994e-02,5.328946e-07,4.608334e+01,1.864000e-04,,,,,
5.000000e-01,1024,1024,4096,OS2-fast-3,1.087187e+05,1.381288e-01,3.649700e+01,2.353600e-04,1.019830e-04,8.559950e-05,2.652800e-05,1.339150e-05,
5.000000e-01,1024,1024,4096,OS2-fast-4,2.405512e+03,9.025032e-03,3.126068e+01,2.747840e-04,1.037110e-04,1.138075e-04,3.569500e-05,1.368000e-05,
5.000000e-01,1024,1024,4096,OS2-fast-5,1.685705e+02,5.664256e-04,2.749096e+01,3.124640e-04,1.049915e-04,1.415665e-04,4.407950e-05,1.371200e-05,
5.000000e-01,1024,1024,4096,OS2-fast-6,4.598501e+01,3.536890e-05,2.427084e+01,3.539200e-04,1.079995e-04,1.703185e-04,5.363100e-05,1.414350e-05,
5.000000e-01,1024,1024,4096,OS2-fast-7,1.631710e+00,2.151982e-06,2.173478e+01,3.952160e-04,1.117590e-04,1.981900e-04,6.283150e-05,1.440000e-05,
5.000000e-01,1024,1024,4096,OS2-fast-8,5.426217e-02,9.010189e-08,1.879866e+01,4.569440e-04,1.373590e-04,2.263180e-04,7.129550e-05,1.497550e-05,
5.000000e-01,1024,1024,4096,OS2-fast-9,1.154775e-03,2.122689e-08,1.709998e+01,5.023360e-04,1.432310e-04,2.552615e-04,8.031950e-05,1.510400e-05,
5.000000e-01,1024,1024,4096,OS2-fast-10,3.569432e-05,2.068604e-08,1.570579e+01,5.469280e-04,1.498230e-04,2.836295e-04,8.929550e-05,1.539150e-05,
5.000000e-01,1024,1024,4096,OS2-fast-11,3.311202e-04,2.074690e-08,1.451473e+01,5.918080e-04,1.565590e-04,3.127495e-04,9.851150e-05,1.576000e-05,
5.000000e-01,1024,1024,4096,OS2-fast-12,6.939031e-05,2.073206e-08,1.354332e+01,6.342560e-04,1.632470e-04,3.388615e-04,1.073755e-04,1.635200e-05,
5.000000e-01,1024,1024,4096,OS2-accu-3,3.665205e+04,3.564653e-02,2.889043e+01,2.973280e-04,1.644150e-04,8.505500e-05,2.656000e-05,1.334400e-05,
5.000000e-01,1024,1024,4096,OS2-accu-4,6.899538e+02,2.258146e-03,2.542243e+01,3.378880e-04,1.665430e-04,1.137115e-04,3.583900e-05,1.364800e-05,
5.000000e-01,1024,1024,4096,OS2-accu-5,1.129812e+02,1.410693e-04,2.281547e+01,3.764960e-04,1.692945e-04,1.409590e-04,4.436800e-05,1.377600e-05,
5.000000e-01,1024,1024,4096,OS2-accu-6,9.537354e+00,8.759182e-06,2.054301e+01,4.181440e-04,1.724150e-04,1.702230e-04,5.363150e-05,1.420800e-05,
5.000000e-01,1024,1024,4096,OS2-accu-7,5.512105e-01,4.907708e-07,1.874026e+01,4.583680e-04,1.752310e-04,1.980630e-04,6.291150e-05,1.457600e-05,
5.000000e-01,1024,1024,4096,OS2-accu-8,7.179665e-03,2.669758e-08,1.653233e+01,5.195840e-04,1.996630e-04,2.253260e-04,7.156800e-05,1.491200e-05,
5.000000e-01,1024,1024,4096,OS2-accu-9,1.059347e-04,2.074986e-08,1.519632e+01,5.652640e-04,2.054220e-04,2.550700e-04,8.057550e-05,1.526400e-05,
