phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,CGEMM,1.269819e+00,6.661813e-07,6.862121e+01,1.251790e-04,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-3,3.449531e+05,1.299290e-01,1.922748e+01,4.467530e-04,5.391500e-05,3.100330e-04,4.769500e-05,1.828500e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-4,1.561904e+04,8.462329e-03,1.505363e+01,5.706220e-04,5.868500e-05,4.133080e-04,6.340950e-05,1.835000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-5,2.100002e+03,5.319749e-04,1.236075e+01,6.949365e-04,6.222950e-05,5.177325e-04,7.960450e-05,1.839500e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-6,9.333022e+01,3.316583e-05,1.050422e+01,8.177600e-04,6.392000e-05,6.217320e-04,9.585450e-05,1.861500e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-7,5.812408e+00,2.008983e-06,9.124978e+00,9.413650e-04,6.714500e-05,7.251115e-04,1.118050e-04,1.889000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-8,1.547627e-01,7.903724e-08,8.002365e+00,1.073424e-03,7.505900e-05,8.309740e-04,1.277250e-04,2.142500e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-9,4.267158e-03,2.114433e-08,7.155571e+00,1.200454e-03,8.320450e-05,9.336555e-04,1.437645e-04,2.204000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-10,1.156279e-04,2.066237e-08,6.460890e+00,1.329528e-03,8.907450e-05,1.039755e-03,1.609840e-04,2.244450e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-11,1.363544e-04,2.067510e-08,5.926083e+00,1.449513e-03,9.106000e-05,1.142640e-03,1.752405e-04,2.267000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-12,2.574982e-04,2.072398e-08,5.458598e+00,1.573652e-03,9.294400e-05,1.246598e-03,1.939550e-04,2.317500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-3,1.705785e+04,1.689101e-02,1.496903e+01,5.738470e-04,1.711840e-04,3.189790e-04,4.822950e-05,1.830500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-4,3.647927e+03,1.064269e-03,1.233262e+01,6.965215e-04,1.720840e-04,4.230935e-04,6.428950e-05,1.842500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-5,2.058689e+02,6.637770e-05,1.045544e+01,8.215760e-04,1.776290e-04,5.256875e-04,8.066450e-05,1.860050e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-6,6.626622e+00,4.088942e-06,9.067468e+00,9.473355e-04,1.809640e-04,6.346620e-04,9.582000e-05,1.877500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-7,7.360110e-01,1.970888e-07,8.025467e+00,1.070334e-03,1.846740e-04,7.352815e-04,1.120530e-04,1.904000e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-8,2.055797e-02,2.276780e-08,7.126394e+00,1.205369e-03,1.954640e-04,8.416250e-04,1.284515e-04,2.155000e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-9,9.531103e-04,2.069361e-08,6.455814e+00,1.330573e-03,2.025640e-04,9.441165e-04,1.439595e-04,2.212500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-10,2.831724e-05,2.064683e-08,5.894308e+00,1.457327e-03,2.077990e-04,1.049770e-03,1.605855e-04,2.255500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-11,5.201165e-06,2.064681e-08,5.442706e+00,1.578247e-03,2.101640e-04,1.152534e-03,1.749795e-04,2.285450e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-12,6.140657e-06,2.064670e-08,5.037150e+00,1.705316e-03,2.143740e-04,1.257173e-03,1.931335e-04,2.332950e-05,
-1.000000e+00,1024,1024,2048,CGEMM,1.990800e+01,9.434114e-07,7.173852e+01,2.394790e-04,,,,,
-1.000000e+00,1024,1024,2048,OS2-fast-3,5.854940e+06,2.425340e-01,2.571964e+01,6.679670e-04,8.424450e-05,5.004425e-04,4.788500e-05,1.837000e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-4,5.868319e+05,1.814433e-02,2.010762e+01,8.543960e-04,8.574000e-05,6.688520e-04,6.361500e-05,1.835950e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-5,9.575738e+03,1.168130e-03,1.642773e+01,1.045784e-03,9.516400e-05,8.357450e-04,7.979400e-05,1.850000e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-6,5.955260e+02,7.294831e-05,1.391034e+01,1.235043e-03,9.968950e-05,1.003189e-03,9.555900e-05,1.875950e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-7,6.784018e+01,4.502217e-06,1.205742e+01,1.424838e-03,1.059440e-04,1.170034e-03,1.117640e-04,1.897450e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-8,2.396188e+00,2.232098e-07,1.051801e+01,1.633377e-03,1.302640e-04,1.338038e-03,1.271345e-04,2.161950e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-9,4.739020e-02,2.246034e-08,9.395423e+00,1.828536e-03,1.396290e-04,1.504784e-03,1.441380e-04,2.212000e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-10,3.061484e-03,2.070884e-08,8.504362e+00,2.020124e-03,1.461945e-04,1.674532e-03,1.594250e-04,2.253500e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-11,5.627592e-03,2.072773e-08,7.757064e+00,2.214738e-03,1.567790e-04,1.841511e-03,1.760235e-04,2.284500e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-12,6.957553e-03,2.071361e-08,7.134992e+00,2.407833e-03,1.650140e-04,2.006699e-03,1.959000e-04,2.343500e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-3,4.819606e+05,3.066003e-02,1.993162e+01,8.619405e-04,2.698830e-04,5.074675e-04,4.826450e-05,1.842500e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-4,3.891607e+04,1.936226e-03,1.635408e+01,1.050494e-03,2.743485e-04,6.760115e-04,6.407950e-05,1.847450e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-5,2.655250e+02,1.211050e-04,1.379196e+01,1.245644e-03,2.844235e-04,8.441265e-04,7.994500e-05,1.869500e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-6,1.376323e+02,7.505078e-06,1.197932e+01,1.434127e-03,2.894785e-04,1.010726e-03,9.598400e-05,1.873900e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-7,1.064066e+01,4.069813e-07,1.059209e+01,1.621952e-03,2.954985e-04,1.177565e-03,1.120550e-04,1.933950e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-8,7.926823e-02,2.573955e-08,9.367940e+00,1.833901e-03,3.199330e-04,1.347089e-03,1.280740e-04,2.152050e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-9,4.940053e-03,2.071746e-08,8.487157e+00,2.024220e-03,3.287530e-04,1.510652e-03,1.445640e-04,2.219000e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-10,8.015562e-05,2.064555e-08,7.747899e+00,2.217358e-03,3.343335e-04,1.683191e-03,1.594255e-04,2.260450e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-11,1.466536e-04,2.064547e-08,7.128318e+00,2.410087e-03,3.467230e-04,1.846976e-03,1.768495e-04,2.282000e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-12,2.871520e-05,2.064537e-08,6.587216e+00,2.608062e-03,3.538185e-04,2.017544e-03,1.952895e-04,2.330000e-05,
-1.000000e+00,1024,1024,4096,CGEMM,8.285945e-01,1.330615e-06,8.609780e+01,3.990780e-04,,,,,
-1.000000e+00,1024,1024,4096,OS2-fast-3,3.911032e+05,3.048110e-01,3.082213e+01,1.114775e-03,1.416000e-04,8.891255e-04,4.862550e-05,1.836500e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-4,2.837337e+04,2.111943e-02,2.384929e+01,1.440702e-03,1.540545e-04,1.185494e-03,6.500400e-05,1.857000e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-5,8.298649e+02,1.327727e-03,1.939173e+01,1.771876e-03,1.722140e-04,1.482877e-03,8.141000e-05,1.871450e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-6,6.731283e+01,8.296376e-05,1.631440e+01,2.106099e-03,1.913790e-04,1.780037e-03,9.715350e-05,1.949000e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-7,3.969810e+00,5.122122e-06,1.398658e+01,2.456622e-03,2.151835e-04,2.091104e-03,1.125540e-04,1.916450e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-8,1.350561e-01,2.617661e-07,1.167313e+01,2.943490e-03,2.754085e-04,2.498854e-03,1.304100e-04,2.188000e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-9,4.785808e-03,2.287837e-08,9.755824e+00,3.521972e-03,2.954640e-04,3.038600e-03,1.460340e-04,2.395000e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-10,2.529531e-04,2.071163e-08,8.709086e+00,3.945275e-03,3.174380e-04,3.422052e-03,1.614230e-04,2.487500e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-11,7.638376e-04,2.073375e-08,7.826842e+00,4.389988e-03,3.375485e-04,3.829725e-03,1.783620e-04,2.515450e-05,
-1.000000e+00,1024,1024,4096,OS2-fast-12,1.807285e-03,2.090003e-08,6.674044e+00,5.148263e-03,3.660980e-04,4.546506e-03,1.934800e-04,2.560950e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-3,5.361323e+04,4.198608e-02,2.367192e+01,1.451498e-03,4.708420e-04,8.956700e-04,4.867450e-05,1.850950e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-4,4.456048e+03,2.657324e-03,1.932673e+01,1.777835e-03,4.832580e-04,1.192704e-03,6.510950e-05,1.860450e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-5,2.463797e+02,1.659651e-04,1.628532e+01,2.109859e-03,5.020475e-04,1.490033e-03,8.148400e-05,1.873400e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-6,1.468821e+01,1.031649e-05,1.409071e+01,2.438468e-03,5.177875e-04,1.786142e-03,9.774400e-05,1.991500e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-7,6.934025e-01,5.844771e-07,1.220607e+01,2.814971e-03,5.381975e-04,2.126820e-03,1.133140e-04,1.964950e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-8,1.067297e-02,2.789392e-08,1.008493e+01,3.407038e-03,6.040280e-04,2.633612e-03,1.302830e-04,2.201550e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-9,4.615777e-04,2.078979e-08,8.914200e+00,3.854495e-03,6.219670e-04,3.044168e-03,1.463895e-04,2.417450e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-10,3.677217e-06,2.065302e-08,7.927094e+00,4.334468e-03,6.429720e-04,3.488184e-03,1.613780e-04,2.492000e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-11,5.074472e-06,2.065253e-08,6.859909e+00,5.008775e-03,6.668710e-04,4.121510e-03,1.794045e-04,2.515000e-05,
-1.000000e+00,1024,1024,4096,OS2-accu-12,7.690449e-06,2.065206e-08,6.267369e+00,5.482323e-03,6.920710e-04,4.552872e-03,1.935000e-04,2.571000e-05,
-1.000000e+00,1024,1024,8192,CGEMM,3.318496e+00,1.881872e-06,8.702016e+01,7.896960e-04,,,,,
-1.000000e+00,1024,1024,8192,OS2-fast-3,5.207639e+05,6.015240e-01,3.365896e+01,2.041640e-03,2.947085e-04,1.664037e-03,4.878500e-05,1.855000e-05,
-1.000000e+00,1024,1024,8192,OS2-fast-4,2.197501e+04,4.942010e-02,2.397886e+01,2.865836e-03,3.530180e-04,2.409918e-03,6.542850e-05,2.019500e-05,
-1.000000e+00,1024,1024,8192,OS2-fast-5,4.426892e+03,3.137069e-03,1.772841e+01,3.876235e-03,3.808780e-04,3.373847e-03,8.209950e-05,2.050450e-05,
-1.000000e+00,1024,1024,8192,OS2-fast-6,3.775475e+01,1.961317e-04,1.401873e+01,4.901975e-03,4.193680e-04,4.343549e-03,9.854450e-05,2.165450e-05,
-1.000000e+00,1024,1024,8192,OS2-fast-7,5.560249e+00,1.219562e-05,1.194922e+01,5.750961e-03,4.592130e-04,5.135269e-03,1.149030e-04,2.357450e-05,
