phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,ZGEMM,8.739411e-10,1.241123e-15,6.310560e+01,1.361200e-04,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,7.715840e-03,8.114461e-09,7.093878e+00,1.210894e-03,8.571950e-05,9.356445e-04,1.482190e-04,2.405950e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-10,7.934359e-04,5.069442e-10,6.425970e+00,1.336753e-03,9.119000e-05,1.038254e-03,1.652795e-04,2.469950e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-11,8.282936e-05,3.628562e-11,5.887416e+00,1.459033e-03,9.598950e-05,1.141376e-03,1.783300e-04,2.537000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-12,7.403964e-06,3.959985e-12,5.436162e+00,1.580147e-03,9.838000e-05,1.247934e-03,1.897385e-04,2.597450e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-13,6.621924e-07,2.474308e-13,5.043762e+00,1.703081e-03,1.036745e-04,1.348568e-03,2.059195e-04,2.623950e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-14,2.534897e-08,1.535844e-14,4.692822e+00,1.830441e-03,1.068995e-04,1.455443e-03,2.215780e-04,2.958450e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-15,1.272543e-09,8.453200e-16,4.386749e+00,1.958155e-03,1.129845e-04,1.557698e-03,2.388165e-04,3.057000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-16,1.052346e-10,5.728735e-17,4.075551e+00,2.107674e-03,1.364045e-04,1.666363e-03,2.559455e-04,3.157450e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-17,3.090259e-12,4.591205e-17,3.851326e+00,2.230384e-03,1.398145e-04,1.768931e-03,2.707900e-04,3.257450e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-18,4.758756e-14,4.544338e-17,3.643998e+00,2.357283e-03,1.456690e-04,1.871819e-03,2.880555e-04,3.333950e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-19,2.932440e-16,4.544987e-17,3.456487e+00,2.485163e-03,1.524295e-04,1.977344e-03,3.031730e-04,3.340000e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-20,2.203867e-16,4.548208e-17,3.272148e+00,2.625167e-03,1.720395e-04,2.080528e-03,3.208240e-04,3.405500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-9,4.036005e-03,1.848346e-09,6.394920e+00,1.343244e-03,2.080890e-04,9.446500e-04,1.490000e-04,2.418950e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-10,1.143512e-04,1.155645e-10,5.856888e+00,1.466638e-03,2.128885e-04,1.045790e-03,1.650945e-04,2.471000e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-11,6.332189e-06,7.223127e-12,5.404762e+00,1.589327e-03,2.189085e-04,1.147589e-03,1.779455e-04,2.536500e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-12,6.952451e-07,4.514992e-13,5.024320e+00,1.709671e-03,2.213390e-04,1.255030e-03,1.902580e-04,2.570950e-05,
