phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,DGEMM,5.962900e-01,3.601408e-03,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,1.909214e+00,1.124800e-03,9.893100e-05,4.549735e-04,3.452665e-04,1.587195e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-10,2.206186e+00,9.733920e-04,1.024610e-04,3.964675e-04,2.813595e-04,1.620965e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-11,1.981483e+00,1.083776e-03,1.091205e-04,4.450095e-04,3.141290e-04,1.729850e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-12,1.738617e+00,1.235168e-03,1.066995e-04,4.801575e-04,3.454125e-04,1.832420e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-13,1.709323e+00,1.256336e-03,1.170615e-04,5.257895e-04,3.871010e-04,1.937930e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-14,1.636402e+00,1.312320e-03,1.240290e-04,5.598000e-04,3.964170e-04,2.041400e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-15,1.386919e+00,1.548384e-03,1.247190e-04,7.039675e-04,4.829090e-04,2.149945e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-16,1.415948e+00,1.516640e-03,1.383615e-04,6.510780e-04,4.582530e-04,2.251775e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-17,1.297931e+00,1.654544e-03,1.409035e-04,6.864990e-04,4.817885e-04,2.349370e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-18,1.176430e+00,1.825424e-03,1.425070e-04,8.512260e-04,5.754510e-04,2.482710e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-19,1.189241e+00,1.805760e-03,1.474870e-04,7.997755e-04,5.468425e-04,2.560370e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-20,1.124309e+00,1.910048e-03,1.505275e-04,7.981235e-04,6.296590e-04,2.658815e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-9,2.321142e+00,9.251840e-04,1.305740e-04,3.583275e-04,2.521900e-04,1.518990e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-10,2.137940e+00,1.004464e-03,1.319470e-04,3.956345e-04,2.780635e-04,1.618510e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-11,1.945410e+00,1.103872e-03,1.416165e-04,4.395865e-04,3.096750e-04,1.726260e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-12,1.742770e+00,1.232224e-03,1.433435e-04,5.139620e-04,3.571100e-04,1.845540e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-13,1.706432e+00,1.258464e-03,1.513075e-04,5.179290e-04,3.594235e-04,1.938910e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-14,1.266396e+00,1.695744e-03,1.557305e-04,7.101950e-04,5.566730e-04,2.145910e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-15,1.382890e+00,1.552896e-03,1.648855e-04,6.495325e-04,4.377940e-04,2.135585e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-16,1.407057e+00,1.526224e-03,1.829565e-04,6.395445e-04,4.502180e-04,2.246980e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-17,1.197282e+00,1.793632e-03,1.861105e-04,7.966235e-04,5.896385e-04,2.371605e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-18,1.231016e+00,1.744480e-03,1.889955e-04,7.186960e-04,5.142060e-04,2.458875e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-19,1.215036e+00,1.767424e-03,1.915565e-04,7.586835e-04,5.328625e-04,2.561095e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-20,1.149026e+00,1.868960e-03,2.110670e-04,7.985685e-04,5.638325e-04,2.659130e-04,
-1.000000e+00,1024,1024,1024,Oz1-6,5.892946e+00,3.644160e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-7,5.160632e+00,4.161280e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-8,4.293044e+00,5.002240e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-9,3.622220e+00,5.928640e-04,,,,,
-1.000000e+00,1024,1024,2048,DGEMM,5.968960e-01,7.195504e-03,,,,,
-1.000000e+00,1024,1024,2048,OS2-fast-9,4.128252e+00,1.040384e-03,1.749815e-04,4.311460e-04,2.544640e-04,1.519845e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-10,3.684567e+00,1.165664e-03,1.789090e-04,4.804690e-04,2.853500e-04,1.622835e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-11,2.820381e+00,1.522832e-03,1.802105e-04,6.541320e-04,4.437585e-04,1.826785e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-12,3.240096e+00,1.325568e-03,1.902695e-04,5.780085e-04,3.432725e-04,1.832780e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-13,3.034952e+00,1.415168e-03,1.962500e-04,6.263700e-04,3.686875e-04,1.933430e-04,
