phi,m,n,k,function,err_max,err_med,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,1024,1024,1024,DGEMM,1.294299e-09,8.780822e-16,7.332138e-01,2.928864e-03,,,,,
-1.000000e+00,1024,1024,1024,OS2-fast-9,1.459608e-04,6.040787e-11,3.848427e+00,5.580160e-04,7.665800e-05,3.057660e-04,7.316650e-05,9.758200e-05,
-1.000000e+00,1024,1024,1024,OS2-fast-10,2.119951e-05,3.089561e-12,3.455657e+00,6.214400e-04,8.035500e-05,3.444475e-04,8.317500e-05,1.057375e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-11,4.455641e-07,1.180659e-13,3.197106e+00,6.716960e-04,8.513400e-05,3.749695e-04,8.953300e-05,1.135020e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-12,1.685253e-08,7.245437e-15,2.933785e+00,7.319840e-04,9.374000e-05,4.101775e-04,9.869400e-05,1.210660e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-13,4.680289e-10,1.443309e-16,2.724901e+00,7.880960e-04,1.023760e-04,4.444790e-04,1.063575e-04,1.290210e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-14,7.604191e-12,4.669018e-17,2.521326e+00,8.517280e-04,1.114630e-04,4.797795e-04,1.176605e-04,1.364145e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-15,1.867559e-14,4.549820e-17,2.359126e+00,9.102880e-04,1.188370e-04,5.142340e-04,1.239150e-04,1.441995e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-16,1.166168e-15,4.543635e-17,2.216753e+00,9.687520e-04,1.276580e-04,5.469485e-04,1.359345e-04,1.516880e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-17,2.188587e-16,4.541841e-17,2.085162e+00,1.029888e-03,1.358685e-04,5.851220e-04,1.415745e-04,1.599085e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-18,1.045548e-15,4.537841e-17,1.972456e+00,1.088736e-03,1.428515e-04,6.170480e-04,1.533020e-04,1.678885e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-19,4.289294e-16,4.539600e-17,1.873581e+00,1.146192e-03,1.493280e-04,6.521830e-04,1.592780e-04,1.751365e-04,
-1.000000e+00,1024,1024,1024,OS2-fast-20,1.350478e-15,4.540880e-17,1.783127e+00,1.204336e-03,1.598735e-04,6.849360e-04,1.669690e-04,1.824800e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-9,3.084392e-05,7.557317e-12,3.457349e+00,6.211360e-04,1.354180e-04,3.072690e-04,7.417050e-05,9.778750e-05,
-1.000000e+00,1024,1024,1024,OS2-accu-10,1.338354e-06,4.518676e-13,3.160444e+00,6.794880e-04,1.399160e-04,3.407270e-04,8.790050e-05,1.058320e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-11,4.205901e-09,1.465203e-14,2.941178e+00,7.301440e-04,1.432975e-04,3.790380e-04,8.991600e-05,1.135620e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-12,1.428842e-09,7.600019e-16,2.737573e+00,7.844480e-04,1.475455e-04,4.118340e-04,9.890100e-05,1.213360e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-13,2.068484e-11,4.910302e-17,2.534083e+00,8.474400e-04,1.609750e-04,4.435760e-04,1.066085e-04,1.287000e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-14,1.066550e-13,4.544781e-17,2.343514e+00,9.163520e-04,1.707280e-04,4.816185e-04,1.180315e-04,1.367250e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-15,3.844265e-16,4.539335e-17,2.224284e+00,9.654720e-04,1.781370e-04,5.129425e-04,1.240770e-04,1.439485e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-16,2.189642e-16,4.535213e-17,2.075874e+00,1.034496e-03,1.858065e-04,5.500155e-04,1.372780e-04,1.521285e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-17,2.194061e-16,4.544306e-17,1.968695e+00,1.090816e-03,1.983295e-04,5.832185e-04,1.410485e-04,1.596530e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-18,2.191225e-16,4.546941e-17,1.844334e+00,1.164368e-03,2.112490e-04,6.234885e-04,1.535085e-04,1.674475e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-19,2.201220e-16,4.540458e-17,1.769679e+00,1.213488e-03,2.223550e-04,6.504225e-04,1.579285e-04,1.752020e-04,
-1.000000e+00,1024,1024,1024,OS2-accu-20,2.185489e-16,4.547071e-17,1.675941e+00,1.281360e-03,2.315425e-04,6.881985e-04,1.670665e-04,1.825560e-04,
-1.000000e+00,1024,1024,1024,Oz1-6,2.391343e-07,5.516790e-14,7.190492e+00,2.986560e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-7,1.928055e-10,2.158526e-16,5.902794e+00,3.638080e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-8,2.901638e-13,5.413039e-17,4.906336e+00,4.376960e-04,,,,,
-1.000000e+00,1024,1024,1024,Oz1-9,8.049318e-15,5.381004e-17,4.117487e+00,5.215520e-04,,,,,
-1.000000e+00,1024,1024,2048,DGEMM,8.295641e-10,1.239973e-15,7.354114e-01,5.840224e-03,,,,,
-1.000000e+00,1024,1024,2048,OS2-fast-9,7.433170e-05,8.566515e-11,5.328003e+00,8.061120e-04,1.554700e-04,4.734135e-04,7.346750e-05,9.801300e-05,
-1.000000e+00,1024,1024,2048,OS2-fast-10,1.358756e-06,3.954764e-12,4.853465e+00,8.849280e-04,1.707985e-04,5.200210e-04,8.255950e-05,1.057775e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-11,9.234165e-08,2.426023e-13,4.408169e+00,9.743200e-04,1.882310e-04,5.737415e-04,9.204600e-05,1.141275e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-12,5.809225e-09,7.597572e-15,4.073932e+00,1.054256e-03,2.053830e-04,6.250160e-04,9.773200e-05,1.213415e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-13,1.947367e-10,3.690787e-16,3.740948e+00,1.148096e-03,2.267880e-04,6.781965e-04,1.068110e-04,1.292460e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-14,3.790021e-12,4.689781e-17,3.476018e+00,1.235600e-03,2.480320e-04,7.300430e-04,1.143430e-04,1.369255e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-15,3.085677e-14,4.545866e-17,3.248290e+00,1.322224e-03,2.651850e-04,7.824580e-04,1.226245e-04,1.445700e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-16,7.625755e-16,4.543714e-17,3.048463e+00,1.408896e-03,2.831335e-04,8.368150e-04,1.321545e-04,1.522140e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-17,4.914566e-16,4.545591e-17,2.889510e+00,1.486400e-03,2.966285e-04,8.862520e-04,1.381025e-04,1.597985e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-18,5.930188e-16,4.542460e-17,2.723629e+00,1.576928e-03,3.150125e-04,9.417155e-04,1.501650e-04,1.676180e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-19,2.206328e-16,4.542056e-17,2.573637e+00,1.668832e-03,3.345390e-04,9.936950e-04,1.590010e-04,1.750770e-04,
-1.000000e+00,1024,1024,2048,OS2-fast-20,8.784803e-16,4.538879e-17,2.447643e+00,1.754736e-03,3.527280e-04,1.044863e-03,1.678575e-04,1.827560e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-9,1.035020e-05,1.444464e-11,4.604935e+00,9.326880e-04,2.831980e-04,4.685790e-04,7.577250e-05,9.840350e-05,
-1.000000e+00,1024,1024,2048,OS2-accu-10,6.743154e-08,4.938072e-13,4.189068e+00,1.025280e-03,3.046440e-04,5.252900e-04,8.261500e-05,1.061180e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-11,1.846511e-08,2.811275e-14,3.879798e+00,1.107008e-03,3.225970e-04,5.730280e-04,9.236200e-05,1.140380e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-12,3.581868e-10,8.427461e-16,3.586743e+00,1.197456e-03,3.431400e-04,6.289190e-04,9.782550e-05,1.216320e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-13,4.281560e-12,5.492644e-17,3.336674e+00,1.287200e-03,3.633425e-04,6.777950e-04,1.081595e-04,1.294420e-04,
-1.000000e+00,1024,1024,2048,OS2-accu-14,5.426829e-14,4.547044e-17,3.134939e+00,1.370032e-03,3.814010e-04,7.305170e-04,1.142535e-04,1.369660e-04,
