phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization
-1.00E+00,1024,1024,1024,CGEMM,2.36E+01,3.65E-04,,,,
-1.00E+00,1024,1024,1024,OS2-fast-3,3.83E+01,2.24E-04,3.34E-05,1.06E-04,2.36E-05,5.57E-05
-1.00E+00,1024,1024,1024,OS2-fast-4,2.86E+01,3.00E-04,5.32E-05,1.43E-04,3.24E-05,6.59E-05
-1.00E+00,1024,1024,1024,OS2-fast-5,2.41E+01,3.56E-04,5.52E-05,1.80E-04,3.97E-05,7.63E-05
-1.00E+00,1024,1024,1024,OS2-fast-6,2.06E+01,4.18E-04,5.77E-05,2.17E-04,4.81E-05,8.63E-05
-1.00E+00,1024,1024,1024,OS2-fast-7,1.79E+01,4.80E-04,6.19E-05,2.55E-04,5.68E-05,9.60E-05
-1.00E+00,1024,1024,1024,OS2-fast-8,1.58E+01,5.44E-04,7.20E-05,2.92E-04,6.64E-05,1.06E-04
-1.00E+00,1024,1024,1024,OS2-fast-9,1.42E+01,6.06E-04,7.67E-05,3.30E-04,7.44E-05,1.16E-04
-1.00E+00,1024,1024,1024,OS2-fast-10,1.28E+01,6.69E-04,8.52E-05,3.66E-04,8.27E-05,1.26E-04
-1.00E+00,1024,1024,1024,OS2-fast-11,1.17E+01,7.36E-04,9.39E-05,4.04E-04,9.15E-05,1.36E-04
-1.00E+00,1024,1024,1024,OS2-fast-12,1.08E+01,7.98E-04,1.02E-04,4.40E-04,1.00E-04,1.46E-04
-1.00E+00,1024,1024,1024,OS2-accu-3,3.09E+01,2.78E-04,8.81E-05,1.06E-04,2.36E-05,5.57E-05
-1.00E+00,1024,1024,1024,OS2-accu-4,2.41E+01,3.56E-04,1.10E-04,1.42E-04,3.29E-05,6.58E-05
-1.00E+00,1024,1024,1024,OS2-accu-5,2.08E+01,4.13E-04,1.12E-04,1.78E-04,4.04E-05,7.64E-05
-1.00E+00,1024,1024,1024,OS2-accu-6,1.80E+01,4.77E-04,1.15E-04,2.16E-04,4.94E-05,8.63E-05
-1.00E+00,1024,1024,1024,OS2-accu-7,1.61E+01,5.32E-04,1.17E-04,2.54E-04,5.83E-05,9.60E-05
-1.00E+00,1024,1024,1024,OS2-accu-8,1.42E+01,6.06E-04,1.31E-04,2.92E-04,6.76E-05,1.06E-04
-1.00E+00,1024,1024,1024,OS2-accu-9,1.29E+01,6.68E-04,1.37E-04,3.29E-04,7.53E-05,1.16E-04
-1.00E+00,1024,1024,1024,OS2-accu-10,1.19E+01,7.22E-04,1.41E-04,3.66E-04,8.29E-05,1.26E-04
-1.00E+00,1024,1024,1024,OS2-accu-11,1.09E+01,7.90E-04,1.50E-04,4.02E-04,9.22E-05,1.36E-04
-1.00E+00,1024,1024,1024,OS2-accu-12,1.01E+01,8.54E-04,1.58E-04,4.39E-04,1.01E-04,1.46E-04
-1.00E+00,1024,1024,1024,BF16x9,2.37E+01,3.63E-04,,,,
-1.00E+00,1024,1024,2048,CGEMM,2.39E+01,7.19E-04,,,,
-1.00E+00,1024,1024,2048,OS2-fast-3,4.98E+01,3.45E-04,8.95E-05,1.69E-04,2.50E-05,5.55E-05
-1.00E+00,1024,1024,2048,OS2-fast-4,4.05E+01,4.24E-04,9.34E-05,2.27E-04,3.24E-05,6.56E-05
-1.00E+00,1024,1024,2048,OS2-fast-5,3.30E+01,5.20E-04,1.12E-04,2.85E-04,4.14E-05,7.60E-05
-1.00E+00,1024,1024,2048,OS2-fast-6,2.81E+01,6.12E-04,1.30E-04,3.40E-04,4.86E-05,8.60E-05
-1.00E+00,1024,1024,2048,OS2-fast-7,2.44E+01,7.04E-04,1.48E-04,3.97E-04,5.79E-05,9.60E-05
-1.00E+00,1024,1024,2048,OS2-fast-8,2.14E+01,8.01E-04,1.69E-04,4.53E-04,6.64E-05,1.06E-04
-1.00E+00,1024,1024,2048,OS2-fast-9,1.93E+01,8.91E-04,1.82E-04,5.11E-04,7.52E-05,1.16E-04
-1.00E+00,1024,1024,2048,OS2-fast-10,1.75E+01,9.83E-04,1.98E-04,5.69E-04,8.42E-05,1.26E-04
-1.00E+00,1024,1024,2048,OS2-fast-11,1.60E+01,1.07E-03,2.17E-04,6.24E-04,8.96E-05,1.36E-04
-1.00E+00,1024,1024,2048,OS2-fast-12,1.47E+01,1.17E-03,2.35E-04,6.80E-04,9.81E-05,1.46E-04
-1.00E+00,1024,1024,2048,OS2-accu-3,3.87E+01,4.44E-04,1.88E-04,1.69E-04,2.52E-05,5.58E-05
-1.00E+00,1024,1024,2048,OS2-accu-4,3.23E+01,5.31E-04,2.00E-04,2.27E-04,3.29E-05,6.57E-05
-1.00E+00,1024,1024,2048,OS2-accu-5,2.73E+01,6.28E-04,2.20E-04,2.85E-04,4.19E-05,7.61E-05
-1.00E+00,1024,1024,2048,OS2-accu-6,2.38E+01,7.23E-04,2.41E-04,3.41E-04,4.91E-05,8.62E-05
-1.00E+00,1024,1024,2048,OS2-accu-7,2.08E+01,8.28E-04,2.70E-04,3.98E-04,5.85E-05,9.62E-05
-1.00E+00,1024,1024,2048,OS2-accu-8,1.85E+01,9.28E-04,2.94E-04,4.54E-04,6.66E-05,1.06E-04
-1.00E+00,1024,1024,2048,OS2-accu-9,1.68E+01,1.02E-03,3.11E-04,5.11E-04,7.59E-05,1.16E-04
-1.00E+00,1024,1024,2048,OS2-accu-10,1.54E+01,1.11E-03,3.28E-04,5.69E-04,8.46E-05,1.26E-04
-1.00E+00,1024,1024,2048,OS2-accu-11,1.43E+01,1.21E-03,3.50E-04,6.23E-04,9.11E-05,1.36E-04
-1.00E+00,1024,1024,2048,OS2-accu-12,1.33E+01,1.30E-03,3.65E-04,6.82E-04,9.77E-05,1.46E-04
-1.00E+00,1024,1024,2048,BF16x9,2.22E+01,7.74E-04,,,,
-1.00E+00,1024,1024,4096,CGEMM,2.11E+01,1.63E-03,,,,
-1.00E+00,1024,1024,4096,OS2-fast-3,6.17E+01,5.57E-04,1.80E-04,2.92E-04,2.49E-05,5.56E-05
-1.00E+00,1024,1024,4096,OS2-fast-4,4.85E+01,7.09E-04,2.16E-04,3.88E-04,3.27E-05,6.61E-05
-1.00E+00,1024,1024,4096,OS2-fast-5,3.94E+01,8.71E-04,2.63E-04,4.85E-04,4.11E-05,7.61E-05
-1.00E+00,1024,1024,4096,OS2-fast-6,3.35E+01,1.02E-03,3.02E-04,5.83E-04,4.86E-05,8.62E-05
-1.00E+00,1024,1024,4096,OS2-fast-7,2.92E+01,1.18E-03,3.41E-04,6.79E-04,5.67E-05,9.63E-05
-1.00E+00,1024,1024,4096,OS2-fast-8,2.60E+01,1.32E-03,3.69E-04,7.74E-04,6.64E-05,1.06E-04
-1.00E+00,1024,1024,4096,OS2-fast-9,2.33E+01,1.48E-03,4.09E-04,8.73E-04,7.35E-05,1.17E-04
-1.00E+00,1024,1024,4096,OS2-fast-10,2.11E+01,1.63E-03,4.47E-04,9.70E-04,8.18E-05,1.26E-04
-1.00E+00,1024,1024,4096,OS2-fast-11,1.92E+01,1.79E-03,4.88E-04,1.07E-03,8.89E-05,1.36E-04
-1.00E+00,1024,1024,4096,OS2-fast-12,1.78E+01,1.93E-03,5.16E-04,1.16E-03,9.74E-05,1.46E-04
-1.00E+00,1024,1024,4096,OS2-accu-3,4.37E+01,7.86E-04,4.09E-04,2.92E-04,2.51E-05,5.58E-05
-1.00E+00,1024,1024,4096,OS2-accu-4,3.64E+01,9.43E-04,4.50E-04,3.88E-04,3.29E-05,6.61E-05
-1.00E+00,1024,1024,4096,OS2-accu-5,3.14E+01,1.10E-03,4.86E-04,4.86E-04,4.12E-05,7.65E-05
-1.00E+00,1024,1024,4096,OS2-accu-6,2.76E+01,1.25E-03,5.22E-04,5.82E-04,4.93E-05,8.62E-05
-1.00E+00,1024,1024,4096,OS2-accu-7,2.46E+01,1.40E-03,5.58E-04,6.80E-04,5.68E-05,9.64E-05
-1.00E+00,1024,1024,4096,OS2-accu-8,2.22E+01,1.55E-03,5.95E-04,7.74E-04,6.70E-05,1.06E-04
-1.00E+00,1024,1024,4096,OS2-accu-9,2.02E+01,1.70E-03,6.35E-04,8.73E-04,7.37E-05,1.17E-04
-1.00E+00,1024,1024,4096,OS2-accu-10,1.85E+01,1.86E-03,6.77E-04,9.68E-04,8.23E-05,1.26E-04
-1.00E+00,1024,1024,4096,OS2-accu-11,1.71E+01,2.01E-03,7.14E-04,1.07E-03,8.89E-05,1.36E-04
-1.00E+00,1024,1024,4096,OS2-accu-12,1.59E+01,2.16E-03,7.45E-04,1.16E-03,9.92E-05,1.46E-04
-1.00E+00,1024,1024,4096,BF16x9,2.16E+01,1.59E-03,,,,
-1.00E+00,1024,1024,8192,CGEMM,2.24E+01,3.07E-03,,,,
-1.00E+00,1024,1024,8192,OS2-fast-3,6.31E+01,1.09E-03,4.70E-04,5.32E-04,2.48E-05,5.60E-05
-1.00E+00,1024,1024,8192,OS2-fast-4,5.06E+01,1.36E-03,5.43E-04,7.10E-04,3.28E-05,6.63E-05
-1.00E+00,1024,1024,8192,OS2-fast-5,4.12E+01,1.67E-03,6.57E-04,8.88E-04,4.15E-05,7.66E-05
-1.00E+00,1024,1024,8192,OS2-fast-6,3.55E+01,1.94E-03,7.31E-04,1.06E-03,5.09E-05,8.63E-05
-1.00E+00,1024,1024,8192,OS2-fast-7,3.10E+01,2.21E-03,8.12E-04,1.24E-03,5.76E-05,9.62E-05
-1.00E+00,1024,1024,8192,OS2-fast-8,2.80E+01,2.46E-03,8.58E-04,1.42E-03,6.69E-05,1.07E-04
-1.00E+00,1024,1024,8192,OS2-fast-9,2.51E+01,2.73E-03,9.41E-04,1.59E-03,7.50E-05,1.16E-04
-1.00E+00,1024,1024,8192,OS2-fast-10,2.28E+01,3.01E-03,1.02E-03,1.78E-03,8.23E-05,1.27E-04
-1.00E+00,1024,1024,8192,OS2-fast-11,2.10E+01,3.28E-03,1.09E-03,1.95E-03,9.11E-05,1.36E-04
-1.00E+00,1024,1024,8192,OS2-fast-12,1.93E+01,3.55E-03,1.17E-03,2.13E-03,9.89E-05,1.47E-04
-1.00E+00,1024,1024,8192,OS2-accu-3,4.65E+01,1.48E-03,8.60E-04,5.33E-04,2.48E-05,5.61E-05
-1.00E+00,1024,1024,8192,OS2-accu-4,3.93E+01,1.75E-03,9.32E-04,7.10E-04,3.26E-05,6.64E-05
-1.00E+00,1024,1024,8192,OS2-accu-5,3.40E+01,2.02E-03,1.01E-03,8.88E-04,4.17E-05,7.64E-05
-1.00E+00,1024,1024,8192,OS2-accu-6,3.00E+01,2.29E-03,1.08E-03,1.07E-03,5.03E-05,8.64E-05
-1.00E+00,1024,1024,8192,OS2-accu-7,2.68E+01,2.56E-03,1.16E-03,1.24E-03,5.89E-05,9.63E-05
-1.00E+00,1024,1024,8192,OS2-accu-8,2.43E+01,2.83E-03,1.24E-03,1.42E-03,6.64E-05,1.07E-04
-1.00E+00,1024,1024,8192,OS2-accu-9,2.21E+01,3.11E-03,1.31E-03,1.60E-03,7.55E-05,1.17E-04
-1.00E+00,1024,1024,8192,OS2-accu-10,2.03E+01,3.38E-03,1.39E-03,1.78E-03,8.18E-05,1.27E-04
-1.00E+00,1024,1024,8192,OS2-accu-11,1.88E+01,3.65E-03,1.46E-03,1.96E-03,9.16E-05,1.37E-04
-1.00E+00,1024,1024,8192,OS2-accu-12,1.75E+01,3.92E-03,1.53E-03,2.14E-03,9.85E-05,1.47E-04
-1.00E+00,1024,1024,8192,BF16x9,2.07E+01,3.32E-03,,,,
-1.00E+00,1024,1024,16384,CGEMM,2.06E+01,6.66E-03,,,,
-1.00E+00,1024,1024,16384,OS2-fast-3,6.43E+01,2.14E-03,1.03E-03,1.01E-03,3.14E-05,5.62E-05
-1.00E+00,1024,1024,16384,OS2-fast-4,5.20E+01,2.64E-03,1.18E-03,1.35E-03,4.18E-05,6.63E-05
-1.00E+00,1024,1024,16384,OS2-fast-5,4.30E+01,3.20E-03,1.37E-03,1.69E-03,5.24E-05,7.67E-05
-1.00E+00,1024,1024,16384,OS2-fast-6,3.69E+01,3.72E-03,1.53E-03,2.04E-03,6.25E-05,8.68E-05
-1.00E+00,1024,1024,16384,OS2-fast-7,3.24E+01,4.24E-03,1.69E-03,2.38E-03,7.35E-05,9.69E-05
-1.00E+00,1024,1024,16384,OS2-fast-8,2.88E+01,4.77E-03,1.86E-03,2.71E-03,8.42E-05,1.07E-04
-1.00E+00,1024,1024,16384,OS2-fast-9,2.60E+01,5.29E-03,2.02E-03,3.05E-03,9.53E-05,1.17E-04
-1.00E+00,1024,1024,16384,OS2-fast-10,2.38E+01,5.79E-03,2.16E-03,3.39E-03,1.02E-04,1.27E-04
-1.00E+00,1024,1024,16384,OS2-fast-11,2.19E+01,6.29E-03,2.30E-03,3.73E-03,1.16E-04,1.37E-04
-1.00E+00,1024,1024,16384,OS2-fast-12,2.02E+01,6.81E-03,2.46E-03,4.07E-03,1.27E-04,1.47E-04
-1.00E+00,1024,1024,16384,OS2-accu-3,4.63E+01,2.97E-03,1.86E-03,1.01E-03,3.13E-05,5.64E-05
-1.00E+00,1024,1024,16384,OS2-accu-4,3.96E+01,3.47E-03,2.00E-03,1.36E-03,4.16E-05,6.65E-05
-1.00E+00,1024,1024,16384,OS2-accu-5,3.44E+01,4.00E-03,2.16E-03,1.70E-03,5.28E-05,7.71E-05
-1.00E+00,1024,1024,16384,OS2-accu-6,3.04E+01,4.52E-03,2.32E-03,2.04E-03,6.28E-05,8.69E-05
-1.00E+00,1024,1024,16384,OS2-accu-7,2.73E+01,5.04E-03,2.48E-03,2.38E-03,7.42E-05,9.71E-05
-1.00E+00,1024,1024,16384,OS2-accu-8,2.46E+01,5.58E-03,2.67E-03,2.71E-03,8.41E-05,1.07E-04
-1.00E+00,1024,1024,16384,OS2-accu-9,2.26E+01,6.09E-03,2.82E-03,3.05E-03,9.49E-05,1.17E-04
-1.00E+00,1024,1024,16384,OS2-accu-10,2.09E+01,6.58E-03,2.95E-03,3.39E-03,1.02E-04,1.27E-04
-1.00E+00,1024,1024,16384,OS2-accu-11,1.94E+01,7.08E-03,3.09E-03,3.73E-03,1.16E-04,1.37E-04
-1.00E+00,1024,1024,16384,OS2-accu-12,1.81E+01,7.61E-03,3.26E-03,4.07E-03,1.26E-04,1.47E-04
-1.00E+00,1024,1024,16384,BF16x9,2.08E+01,6.61E-03,,,,
-1.00E+00,1024,1024,32768,CGEMM,1.99E+01,1.38E-02,,,,
-1.00E+00,1024,1024,32768,OS2-fast-3,7.30E+01,3.77E-03,2.11E-03,1.56E-03,4.32E-05,5.61E-05
-1.00E+00,1024,1024,32768,OS2-fast-4,5.94E+01,4.63E-03,2.40E-03,2.10E-03,5.80E-05,6.70E-05
-1.00E+00,1024,1024,32768,OS2-fast-5,4.97E+01,5.53E-03,2.73E-03,2.64E-03,7.30E-05,7.75E-05
-1.00E+00,1024,1024,32768,OS2-fast-6,4.30E+01,6.39E-03,3.03E-03,3.17E-03,8.77E-05,8.75E-05
-1.00E+00,1024,1024,32768,OS2-fast-7,3.78E+01,7.27E-03,3.34E-03,3.72E-03,1.02E-04,9.78E-05
-1.00E+00,1024,1024,32768,OS2-fast-8,3.35E+01,8.19E-03,3.72E-03,4.23E-03,1.18E-04,1.08E-04
-1.00E+00,1024,1024,32768,OS2-fast-9,3.03E+01,9.07E-03,4.03E-03,4.77E-03,1.36E-04,1.19E-04
-1.00E+00,1024,1024,32768,OS2-fast-10,2.77E+01,9.94E-03,4.33E-03,5.32E-03,1.50E-04,1.29E-04
-1.00E+00,1024,1024,32768,OS2-fast-11,2.56E+01,1.07E-02,4.61E-03,5.81E-03,1.61E-04,1.38E-04
-1.00E+00,1024,1024,32768,OS2-fast-12,2.36E+01,1.16E-02,4.93E-03,6.35E-03,1.74E-04,1.49E-04
-1.00E+00,1024,1024,32768,OS2-accu-3,5.22E+01,5.26E-03,3.58E-03,1.58E-03,4.34E-05,5.67E-05
-1.00E+00,1024,1024,32768,OS2-accu-4,4.49E+01,6.12E-03,3.88E-03,2.12E-03,5.81E-05,6.70E-05
-1.00E+00,1024,1024,32768,OS2-accu-5,3.93E+01,6.99E-03,4.19E-03,2.64E-03,7.33E-05,7.75E-05
-1.00E+00,1024,1024,32768,OS2-accu-6,3.51E+01,7.83E-03,4.48E-03,3.17E-03,8.79E-05,8.73E-05
-1.00E+00,1024,1024,32768,OS2-accu-7,3.16E+01,8.71E-03,4.80E-03,3.70E-03,1.02E-04,9.74E-05
-1.00E+00,1024,1024,32768,OS2-accu-8,2.85E+01,9.66E-03,5.18E-03,4.25E-03,1.18E-04,1.08E-04
-1.00E+00,1024,1024,32768,OS2-accu-9,2.62E+01,1.05E-02,5.50E-03,4.75E-03,1.36E-04,1.18E-04
-1.00E+00,1024,1024,32768,OS2-accu-10,2.41E+01,1.14E-02,5.82E-03,5.29E-03,1.49E-04,1.29E-04
-1.00E+00,1024,1024,32768,OS2-accu-11,2.25E+01,1.22E-02,6.08E-03,5.82E-03,1.61E-04,1.39E-04
-1.00E+00,1024,1024,32768,OS2-accu-12,2.10E+01,1.31E-02,6.38E-03,6.37E-03,1.74E-04,1.49E-04
-1.00E+00,1024,1024,32768,BF16x9,1.97E+01,1.39E-02,,,,
-1.00E+00,1024,1024,65536,CGEMM,1.97E+01,2.79E-02,,,,
-1.00E+00,1024,1024,65536,OS2-fast-3,7.60E+01,7.24E-03,4.25E-03,2.89E-03,4.52E-05,5.64E-05
-1.00E+00,1024,1024,65536,OS2-fast-4,6.17E+01,8.91E-03,4.83E-03,3.94E-03,6.05E-05,6.71E-05
-1.00E+00,1024,1024,65536,OS2-fast-5,5.17E+01,1.06E-02,5.50E-03,4.98E-03,7.60E-05,7.75E-05
-1.00E+00,1024,1024,65536,OS2-fast-6,4.47E+01,1.23E-02,6.14E-03,5.98E-03,9.11E-05,8.76E-05
-1.00E+00,1024,1024,65536,OS2-fast-7,3.94E+01,1.39E-02,6.73E-03,7.00E-03,1.06E-04,9.83E-05
-1.00E+00,1024,1024,65536,OS2-fast-8,3.52E+01,1.56E-02,7.38E-03,8.01E-03,1.22E-04,1.08E-04
-1.00E+00,1024,1024,65536,OS2-fast-9,3.17E+01,1.73E-02,8.06E-03,9.01E-03,1.37E-04,1.18E-04
