phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,3.053318e+00,7.033280e-04,1.918080e-04,2.190080e-04,8.502400e-05,1.840960e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.854664e+00,7.522720e-04,1.997280e-04,2.445440e-04,9.392000e-05,1.984320e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.661097e+00,8.069920e-04,2.056960e-04,2.706560e-04,1.018560e-04,2.127680e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-12,2.360453e+00,9.097760e-04,2.142720e-04,2.959680e-04,1.130720e-04,2.291520e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-13,2.334424e+00,9.199200e-04,2.245120e-04,3.130720e-04,1.204480e-04,2.434880e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-14,2.188773e+00,9.811360e-04,2.336640e-04,3.458720e-04,1.261280e-04,2.578240e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-15,1.935619e+00,1.109456e-03,2.416480e-04,3.789600e-04,1.336480e-04,2.721600e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-16,1.910437e+00,1.124080e-03,2.546240e-04,4.033600e-04,1.431520e-04,2.885440e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-17,1.750933e+00,1.226480e-03,2.598240e-04,4.296320e-04,1.506560e-04,3.028800e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-18,1.662530e+00,1.291696e-03,2.751360e-04,4.555200e-04,1.617280e-04,3.171200e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-19,1.665088e+00,1.289712e-03,2.815680e-04,4.845600e-04,1.693280e-04,3.315520e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-20,1.515848e+00,1.416688e-03,2.915360e-04,5.138720e-04,1.820320e-04,3.460480e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.576651e+00,8.334400e-04,3.342720e-04,2.149440e-04,8.521600e-05,1.840960e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-10,2.425373e+00,8.854240e-04,3.331200e-04,2.438560e-04,9.412800e-05,1.984320e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-11,2.266808e+00,9.473600e-04,3.427040e-04,2.724640e-04,1.042880e-04,2.127680e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-12,2.118904e+00,1.013488e-03,3.573280e-04,2.962080e-04,1.134400e-04,2.291520e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-13,2.012743e+00,1.066944e-03,3.683200e-04,3.173600e-04,1.196480e-04,2.434880e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-14,1.896722e+00,1.132208e-03,3.738080e-04,3.531840e-04,1.282400e-04,2.578240e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-15,1.794595e+00,1.196640e-03,3.867040e-04,3.842720e-04,1.336160e-04,2.721600e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-16,1.698744e+00,1.264160e-03,4.018720e-04,4.105760e-04,1.412000e-04,2.896480e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-17,1.623438e+00,1.322800e-03,4.088960e-04,4.374880e-04,1.496000e-04,3.049280e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-18,1.562706e+00,1.374208e-03,4.198400e-04,4.553120e-04,1.579040e-04,3.192640e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-19,1.484824e+00,1.446288e-03,4.284000e-04,4.924960e-04,1.659840e-04,3.356480e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-20,1.426225e+00,1.505712e-03,4.423040e-04,5.157440e-04,1.741760e-04,3.499840e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-9,1.563635e+00,1.373392e-03,3.027040e-04,7.167040e-04,1.527040e-04,1.852480e-04,
