phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,5.487794e+01,1.565280e-04,2.393600e-05,8.648000e-05,2.009600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,4.421602e+01,1.942720e-04,2.680000e-05,1.143040e-04,2.651200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,3.690849e+01,2.327360e-04,2.907200e-05,1.416160e-04,3.396800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,3.179197e+01,2.701920e-04,3.040000e-05,1.701120e-04,4.108800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,3.046768e+01,2.819360e-04,3.289600e-05,1.756000e-04,4.390400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.608829e+01,3.292640e-04,3.883200e-05,2.061120e-04,5.180800e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.559819e+01,3.355680e-04,4.004800e-05,2.077280e-04,5.403200e-05,1.230400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.281354e+01,3.765280e-04,4.278400e-05,2.382720e-04,6.089600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.239668e+01,3.835360e-04,4.489600e-05,2.401920e-04,6.358400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.962104e+01,4.377920e-04,5.787200e-05,2.704640e-04,7.174400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,4.375119e+01,1.963360e-04,6.548800e-05,8.505600e-05,2.057600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,3.565353e+01,2.409280e-04,7.396800e-05,1.132960e-04,2.739200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,3.051617e+01,2.814880e-04,7.753600e-05,1.427360e-04,3.384000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,2.669539e+01,3.217760e-04,8.008000e-05,1.717920e-04,4.094400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,2.586831e+01,3.320640e-04,8.339200e-05,1.746240e-04,4.398400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,2.271412e+01,3.781760e-04,8.852800e-05,2.052640e-04,5.126400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.223528e+01,3.863200e-04,9.113600e-05,2.082720e-04,5.400000e-05,1.230400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,2.003474e+01,4.287520e-04,9.366400e-05,2.392800e-04,6.054400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.969952e+01,4.360480e-04,9.640000e-05,2.404000e-04,6.380800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.793515e+01,4.789440e-04,1.001600e-04,2.688960e-04,7.102400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-3,6.039722e+01,1.422240e-04,3.124800e-05,5.939200e-05,2.624000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-4,4.883308e+01,1.759040e-04,3.550400e-05,7.940800e-05,3.443200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-5,4.083600e+01,2.103520e-04,3.760000e-05,9.971200e-05,4.496000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,3.426763e+01,2.506720e-04,4.608000e-05,1.214400e-04,5.302400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-7,2.899184e+01,2.962880e-04,6.011200e-05,1.424960e-04,6.137600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-8,2.602758e+01,3.300320e-04,6.182400e-05,1.629760e-04,7.179200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.339919e+01,3.671040e-04,6.977600e-05,1.822080e-04,8.140800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,2.187114e+01,3.927520e-04,7.676800e-05,1.912640e-04,8.880000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,1.763007e+01,4.872320e-04,1.368000e-04,2.135360e-04,9.835200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.676046e+01,5.125120e-04,1.485440e-04,2.195360e-04,1.052960e-04,1.433600e-05,
