phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,5.106248e+01,1.682240e-04,3.715200e-05,8.560000e-05,2.019200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,4.153419e+01,2.068160e-04,3.932800e-05,1.140800e-04,2.691200e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,3.426325e+01,2.507040e-04,4.353600e-05,1.446240e-04,3.408000e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,2.985602e+01,2.877120e-04,4.742400e-05,1.710400e-04,4.022400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,2.879900e+01,2.982720e-04,4.974400e-05,1.746560e-04,4.396800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.487356e+01,3.453440e-04,5.571200e-05,2.055360e-04,5.121600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.421064e+01,3.548000e-04,5.846400e-05,2.087360e-04,5.433600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.169965e+01,3.958560e-04,6.156800e-05,2.382400e-04,6.155200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.129679e+01,4.033440e-04,6.387200e-05,2.386240e-04,6.544000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.898076e+01,4.525600e-04,7.227200e-05,2.707840e-04,7.118400e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,4.057061e+01,2.117280e-04,8.094400e-05,8.548800e-05,1.910400e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,3.416078e+01,2.514560e-04,8.308800e-05,1.140160e-04,2.750400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,2.956500e+01,2.905440e-04,8.582400e-05,1.431680e-04,3.371200e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,2.615310e+01,3.284480e-04,8.846400e-05,1.714880e-04,3.966400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,2.521349e+01,3.406880e-04,9.155200e-05,1.750400e-04,4.441600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,2.211347e+01,3.884480e-04,9.739200e-05,2.066400e-04,5.104000e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.164279e+01,3.968960e-04,1.003680e-04,2.088640e-04,5.401600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.960957e+01,4.380480e-04,1.037600e-04,2.382560e-04,6.060800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.927031e+01,4.457600e-04,1.063520e-04,2.400480e-04,6.380800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.754022e+01,4.897280e-04,1.099360e-04,2.699840e-04,7.116800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-3,5.491724e+01,1.564160e-04,4.732800e-05,5.900800e-05,2.457600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-4,4.491892e+01,1.912320e-04,5.142400e-05,7.926400e-05,3.308800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-5,3.807865e+01,2.255840e-04,5.400000e-05,9.969600e-05,4.368000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,3.225806e+01,2.662880e-04,6.190400e-05,1.217120e-04,5.265600e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-7,2.763956e+01,3.107840e-04,7.443200e-05,1.416800e-04,6.281600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-8,2.488278e+01,3.452160e-04,7.790400e-05,1.610560e-04,7.300800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.232219e+01,3.848160e-04,8.620800e-05,1.817280e-04,8.264000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,2.111089e+01,4.068960e-04,9.276800e-05,1.914240e-04,8.788800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,1.803577e+01,4.762720e-04,1.263360e-04,2.117120e-04,1.001600e-04,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.710052e+01,5.023200e-04,1.366880e-04,2.217600e-04,1.052800e-04,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-3,4.827107e+01,1.779520e-04,6.684800e-05,5.900800e-05,2.662400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-4,4.037230e+01,2.127680e-04,7.088000e-05,7.926400e-05,3.526400e-05,1.024000e-05,
