phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,4.889980e+01,1.756640e-04,4.518400e-05,8.504000e-05,1.958400e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,3.895450e+01,2.205120e-04,5.246400e-05,1.140320e-04,2.620800e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,3.263653e+01,2.632000e-04,5.894400e-05,1.429280e-04,3.297600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,2.804382e+01,3.063040e-04,6.548800e-05,1.707840e-04,4.073600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,2.685026e+01,3.199200e-04,6.811200e-05,1.773760e-04,4.401600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.360183e+01,3.639520e-04,7.286400e-05,2.072320e-04,5.088000e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.303673e+01,3.728800e-04,7.612800e-05,2.090720e-04,5.408000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.073982e+01,4.141760e-04,7.969600e-05,2.390400e-04,6.131200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.023866e+01,4.244320e-04,8.257600e-05,2.419200e-04,6.424000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.833513e+01,4.684960e-04,8.619200e-05,2.730720e-04,7.123200e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,3.914765e+01,2.194240e-04,8.811200e-05,8.598400e-05,1.907200e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,3.310136e+01,2.595040e-04,9.081600e-05,1.143520e-04,2.672000e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,2.873426e+01,2.989440e-04,9.480000e-05,1.423680e-04,3.363200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,2.527165e+01,3.399040e-04,9.833600e-05,1.712480e-04,4.126400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,2.446104e+01,3.511680e-04,1.006400e-04,1.764800e-04,4.449600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,2.169351e+01,3.959680e-04,1.051520e-04,2.065280e-04,5.105600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.128329e+01,4.036000e-04,1.080480e-04,2.068960e-04,5.398400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.909282e+01,4.499040e-04,1.136640e-04,2.404160e-04,6.070400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.883824e+01,4.559840e-04,1.149760e-04,2.412480e-04,6.414400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.710870e+01,5.020800e-04,1.197120e-04,2.719200e-04,7.132800e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-3,4.978402e+01,1.725440e-04,6.248000e-05,5.904000e-05,2.459200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-4,4.157278e+01,2.066240e-04,6.704000e-05,7.932800e-05,3.299200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-5,3.560152e+01,2.412800e-04,7.065600e-05,9.980800e-05,4.222400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,3.068360e+01,2.799520e-04,7.622400e-05,1.212160e-04,5.268800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-7,2.689060e+01,3.194400e-04,8.414400e-05,1.414720e-04,6.193600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-8,2.384609e+01,3.602240e-04,9.417600e-05,1.608320e-04,7.259200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.144224e+01,4.006080e-04,1.012640e-04,1.825440e-04,8.288000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,2.014979e+01,4.263040e-04,1.086400e-04,1.915840e-04,8.947200e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,1.845551e+01,4.654400e-04,1.169600e-04,2.110560e-04,9.936000e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.748423e+01,4.912960e-04,1.255040e-04,2.200640e-04,1.069280e-04,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-3,4.731808e+01,1.815360e-04,7.011200e-05,5.932800e-05,2.627200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-4,3.937736e+01,2.181440e-04,7.566400e-05,7.913600e-05,3.529600e-05,1.022400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-5,3.387626e+01,2.535680e-04,8.089600e-05,1.000640e-04,4.462400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-6,2.910816e+01,2.951040e-04,8.640000e-05,1.222560e-04,5.656000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-7,2.556163e+01,3.360480e-04,9.604800e-05,1.424000e-04,6.521600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-8,2.289331e+01,3.752160e-04,1.060480e-04,1.608960e-04,7.480000e-05,1.230400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,2.058633e+01,4.172640e-04,1.142880e-04,1.843360e-04,8.403200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-10,1.943635e+01,4.419520e-04,1.217760e-04,1.929280e-04,9.025600e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-11,1.807951e+01,4.751200e-04,1.288480e-04,2.097600e-04,9.790400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,1.694294e+01,5.069920e-04,1.378080e-04,2.218400e-04,1.076480e-04,1.433600e-05,
-1.000000,1024,1024,1024,BF16x9,1.158048e+02,7.417600e-05,,,,,
-1.000000,1024,1024,1024,CGEMM,5.807777e+01,1.479040e-04,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-3,2.180851e+02,3.151040e-04,1.272640e-04,1.173760e-04,3.174400e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-4,1.813141e+02,3.790080e-04,1.355520e-04,1.586240e-04,4.448000e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-5,1.562261e+02,4.398720e-04,1.451520e-04,1.966240e-04,5.539200e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-6,1.370268e+02,5.015040e-04,1.541760e-04,2.345760e-04,6.699200e-05,2.665600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-7,1.267214e+02,5.422880e-04,1.628640e-04,2.558560e-04,7.657600e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-8,1.118481e+02,6.144000e-04,1.815840e-04,2.954080e-04,8.777600e-05,2.867200e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-9,1.044090e+02,6.581760e-04,1.938560e-04,3.123040e-04,9.899200e-05,3.072000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-10,9.503822e+01,7.230720e-04,2.057920e-04,3.516640e-04,1.095840e-04,3.276800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-11,8.927390e+01,7.697600e-04,2.198080e-04,3.684160e-04,1.233600e-04,3.481600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-12,8.216416e+01,8.363680e-04,2.322880e-04,4.084800e-04,1.329600e-04,3.686400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-3,1.827957e+02,3.759360e-04,1.882080e-04,1.169600e-04,3.126400e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-4,1.561977e+02,4.399520e-04,1.980960e-04,1.577920e-04,4.398400e-05,2.456000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-5,1.373115e+02,5.004640e-04,2.064320e-04,1.974240e-04,5.404800e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-6,1.226643e+02,5.602240e-04,2.135360e-04,2.355520e-04,6.558400e-05,2.665600e-05,
