phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,5.308721e+01,1.618080e-04,3.174400e-05,8.502400e-05,2.009600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,4.172464e+01,2.058720e-04,3.880000e-05,1.139520e-04,2.702400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,3.467934e+01,2.476960e-04,4.387200e-05,1.420800e-04,3.420800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,2.966793e+01,2.895360e-04,4.779200e-05,1.718240e-04,4.096000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,2.889043e+01,2.973280e-04,4.960000e-05,1.737600e-04,4.356800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.497074e+01,3.440000e-04,5.545600e-05,2.048160e-04,5.139200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.419754e+01,3.549920e-04,5.774400e-05,2.093120e-04,5.436800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.166025e+01,3.965760e-04,6.060800e-05,2.407360e-04,6.070400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.125380e+01,4.041600e-04,6.329600e-05,2.415200e-04,6.521600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.900899e+01,4.518880e-04,7.192000e-05,2.706880e-04,7.164800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,4.184823e+01,2.052640e-04,7.379200e-05,8.547200e-05,2.064000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,3.525088e+01,2.436800e-04,7.577600e-05,1.138080e-04,2.755200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,2.963354e+01,2.898720e-04,8.556800e-05,1.425120e-04,3.404800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,2.599104e+01,3.304960e-04,8.952000e-05,1.715840e-04,4.088000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,2.533605e+01,3.390400e-04,9.049600e-05,1.745760e-04,4.438400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,2.232219e+01,3.848160e-04,9.609600e-05,2.053120e-04,5.092800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.164104e+01,3.969280e-04,9.993600e-05,2.092320e-04,5.408000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.966848e+01,4.367360e-04,1.023360e-04,2.398080e-04,6.025600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.922339e+01,4.468480e-04,1.067360e-04,2.410080e-04,6.414400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.759310e+01,4.882560e-04,1.080320e-04,2.715520e-04,7.105600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-3,5.527344e+01,1.554080e-04,4.641600e-05,5.900800e-05,2.457600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-4,4.494524e+01,1.911200e-04,5.110400e-05,7.923200e-05,3.449600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-5,3.805166e+01,2.257440e-04,5.374400e-05,9.966400e-05,4.368000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,3.241974e+01,2.649600e-04,6.108800e-05,1.209600e-04,5.438400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-7,2.785612e+01,3.083680e-04,6.969600e-05,1.419040e-04,6.492800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-8,2.465991e+01,3.483360e-04,7.811200e-05,1.631200e-04,7.388800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.233612e+01,3.845760e-04,8.451200e-05,1.827680e-04,8.265600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,2.106037e+01,4.078720e-04,9.256000e-05,1.905600e-04,8.841600e-05,1.236800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,1.800372e+01,4.771200e-04,1.278720e-04,2.123680e-04,9.889600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.703379e+01,5.042880e-04,1.386240e-04,2.220480e-04,1.050400e-04,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-3,4.880201e+01,1.760160e-04,6.363200e-05,5.961600e-05,2.704000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-4,4.076159e+01,2.107360e-04,6.726400e-05,7.904000e-05,3.734400e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-5,3.498670e+01,2.455200e-04,7.097600e-05,1.003200e-04,4.652800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-6,3.002298e+01,2.861120e-04,7.838400e-05,1.212480e-04,5.665600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-7,2.613782e+01,3.286400e-04,8.958400e-05,1.418080e-04,6.563200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-8,2.319498e+01,3.703360e-04,9.921600e-05,1.627840e-04,7.526400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,2.094697e+01,4.100800e-04,1.082880e-04,1.828800e-04,8.403200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-10,1.992617e+01,4.310880e-04,1.172960e-04,1.899200e-04,8.876800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-11,1.808499e+01,4.749760e-04,1.254240e-04,2.118240e-04,9.932800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,1.701166e+01,5.049440e-04,1.360320e-04,2.237920e-04,1.060800e-04,1.433600e-05,
-1.000000,1024,1024,1024,BF16x9,1.162058e+02,7.392000e-05,,,,,
-1.000000,1024,1024,1024,CGEMM,5.745622e+01,1.495040e-04,,,,,
