phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,4.866488e+01,1.765120e-04,4.580800e-05,8.571200e-05,1.908800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,3.899978e+01,2.202560e-04,5.297600e-05,1.143520e-04,2.622400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,3.261076e+01,2.634080e-04,5.990400e-05,1.425920e-04,3.307200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,2.806141e+01,3.061120e-04,6.523200e-05,1.717120e-04,4.083200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,2.683550e+01,3.200960e-04,6.782400e-05,1.787520e-04,4.424000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.371024e+01,3.622880e-04,7.259200e-05,2.058560e-04,5.137600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.301204e+01,3.732800e-04,7.568000e-05,2.095200e-04,5.441600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.078639e+01,4.132480e-04,7.896000e-05,2.392320e-04,6.094400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.027611e+01,4.236480e-04,8.219200e-05,2.431520e-04,6.342400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.846186e+01,4.652800e-04,8.598400e-05,2.690880e-04,7.192000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,3.898562e+01,2.203360e-04,8.865600e-05,8.595200e-05,2.000000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,3.373364e+01,2.546400e-04,8.737600e-05,1.139200e-04,2.676800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,2.901691e+01,2.960320e-04,9.163200e-05,1.429280e-04,3.360000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,2.559209e+01,3.356480e-04,9.460800e-05,1.713280e-04,4.043200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,2.460340e+01,3.491360e-04,9.889600e-05,1.756800e-04,4.457600e-05,1.024000e-05,
