phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,5.230621e+01,1.642240e-04,3.323200e-05,8.505600e-05,2.009600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,4.128188e+01,2.080800e-04,4.072000e-05,1.140800e-04,2.667200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,3.441260e+01,2.496160e-04,4.520000e-05,1.422560e-04,3.440000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,2.977984e+01,2.884480e-04,4.784000e-05,1.707360e-04,4.107200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,2.882683e+01,2.979840e-04,5.064000e-05,1.741760e-04,4.331200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.489894e+01,3.449920e-04,5.579200e-05,2.055680e-04,5.137600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.421610e+01,3.547200e-04,5.825600e-05,2.084000e-04,5.428800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.161403e+01,3.974240e-04,6.166400e-05,2.399360e-04,6.152000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.121181e+01,4.049600e-04,6.400000e-05,2.410560e-04,6.494400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.897003e+01,4.528160e-04,7.193600e-05,2.722240e-04,7.155200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,4.224004e+01,2.033600e-04,7.211200e-05,8.513600e-05,2.035200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,3.432898e+01,2.502240e-04,8.312000e-05,1.137920e-04,2.676800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,2.968105e+01,2.894080e-04,8.603200e-05,1.425920e-04,3.259200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,2.605790e+01,3.296480e-04,8.904000e-05,1.709440e-04,4.043200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,2.518747e+01,3.410400e-04,9.259200e-05,1.738560e-04,4.454400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,2.218750e+01,3.871520e-04,9.859200e-05,2.051680e-04,5.097600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.160186e+01,3.976480e-04,1.014240e-04,2.087840e-04,5.382400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.963539e+01,4.374720e-04,1.034240e-04,2.381600e-04,6.084800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.918630e+01,4.477120e-04,1.066720e-04,2.417760e-04,6.404800e-05,1.225600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.751789e+01,4.903520e-04,1.100320e-04,2.716480e-04,7.104000e-05,1.433600e-05,
