phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,5.590076e+01,1.536640e-04,2.316800e-05,8.595200e-05,1.976000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,4.419782e+01,1.943520e-04,2.644800e-05,1.141920e-04,2.705600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,3.700771e+01,2.321120e-04,2.825600e-05,1.420960e-04,3.382400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,3.168689e+01,2.710880e-04,3.022400e-05,1.711360e-04,4.123200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,3.019182e+01,2.845120e-04,3.254400e-05,1.778880e-04,4.502400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.600741e+01,3.302880e-04,3.881600e-05,2.082720e-04,5.094400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.560796e+01,3.354400e-04,3.966400e-05,2.085760e-04,5.352000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.285724e+01,3.758080e-04,4.188800e-05,2.382080e-04,6.075200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.237895e+01,3.838400e-04,4.395200e-05,2.404800e-04,6.387200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.963468e+01,4.374880e-04,5.676800e-05,2.703840e-04,7.158400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,4.254465e+01,2.019040e-04,7.035200e-05,8.513600e-05,2.067200e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,3.583200e+01,2.397280e-04,7.179200e-05,1.134880e-04,2.777600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,3.075038e+01,2.793440e-04,7.456000e-05,1.420160e-04,3.427200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,2.694729e+01,3.187680e-04,7.737600e-05,1.710080e-04,4.102400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,2.609717e+01,3.291520e-04,8.012800e-05,1.757280e-04,4.353600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,2.266043e+01,3.790720e-04,8.960000e-05,2.048640e-04,5.145600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.231755e+01,3.848960e-04,9.036800e-05,2.075520e-04,5.344000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,2.003923e+01,4.286560e-04,9.355200e-05,2.394080e-04,6.108800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.970892e+01,4.358400e-04,9.644800e-05,2.386240e-04,6.438400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.799768e+01,4.772800e-04,9.817600e-05,2.687840e-04,7.176000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-3,6.037006e+01,1.422880e-04,3.132800e-05,5.936000e-05,2.627200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-4,4.891317e+01,1.756160e-04,3.555200e-05,7.884800e-05,3.446400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-5,4.108287e+01,2.090880e-04,3.740800e-05,9.958400e-05,4.355200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,3.433556e+01,2.501760e-04,4.580800e-05,1.218240e-04,5.296000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-7,2.936449e+01,2.925280e-04,5.576000e-05,1.419360e-04,6.252800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-8,2.608702e+01,3.292800e-04,6.219200e-05,1.616640e-04,7.254400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.319999e+01,3.702560e-04,6.966400e-05,1.843040e-04,8.248000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,2.179390e+01,3.941440e-04,7.673600e-05,1.919200e-04,8.844800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,1.763586e+01,4.870720e-04,1.359360e-04,2.132320e-04,9.985600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.666059e+01,5.155840e-04,1.471840e-04,2.223680e-04,1.068480e-04,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-3,5.080637e+01,1.690720e-04,5.620800e-05,5.977600e-05,2.707200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-4,4.255814e+01,2.018400e-04,6.025600e-05,7.904000e-05,3.529600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-5,3.609702e+01,2.379680e-04,6.483200e-05,9.931200e-05,4.476800e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-6,3.042624e+01,2.823200e-04,7.398400e-05,1.219840e-04,5.497600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-7,2.664107e+01,3.224320e-04,8.384000e-05,1.415360e-04,6.494400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-8,2.366738e+01,3.629440e-04,9.366400e-05,1.617600e-04,7.427200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,2.120343e+01,4.051200e-04,1.039200e-04,1.830720e-04,8.433600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-10,1.994987e+01,4.305760e-04,1.133760e-04,1.908480e-04,8.923200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-11,1.800553e+01,4.770720e-04,1.228320e-04,2.149760e-04,1.010080e-04,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,1.720409e+01,4.992960e-04,1.330720e-04,2.224000e-04,1.048640e-04,1.433600e-05,
-1.000000,1024,1024,1024,BF16x9,1.179159e+02,7.284800e-05,,,,,
-1.000000,1024,1024,1024,CGEMM,5.646518e+01,1.521280e-04,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-3,2.624804e+02,2.618080e-04,7.385600e-05,1.179680e-04,3.203200e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-4,2.157841e+02,3.184640e-04,7.761600e-05,1.576000e-04,4.257600e-05,2.256000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-5,1.859132e+02,3.696320e-04,7.468800e-05,1.976960e-04,5.460800e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-6,1.612346e+02,4.262080e-04,8.048000e-05,2.352000e-04,6.555200e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-7,1.479289e+02,4.645440e-04,8.670400e-05,2.550560e-04,7.657600e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-8,1.268486e+02,5.417440e-04,1.096960e-04,2.938560e-04,8.779200e-05,2.867200e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-9,1.182079e+02,5.813440e-04,1.185280e-04,3.100480e-04,1.003360e-04,3.072000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-10,1.065379e+02,6.450240e-04,1.277120e-04,3.518080e-04,1.102080e-04,3.276800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-11,1.004084e+02,6.844000e-04,1.353280e-04,3.683200e-04,1.225920e-04,3.481600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-12,8.781189e+01,7.825760e-04,1.789600e-04,4.071520e-04,1.346720e-04,3.686400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-3,2.069565e+02,3.320480e-04,1.442560e-04,1.181280e-04,3.148800e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-4,1.752833e+02,3.920480e-04,1.513760e-04,1.571680e-04,4.211200e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-5,1.517978e+02,4.527040e-04,1.589120e-04,1.974720e-04,5.404800e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-6,1.343605e+02,5.114560e-04,1.668320e-04,2.344480e-04,6.483200e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-7,1.245785e+02,5.516160e-04,1.731680e-04,2.549440e-04,7.673600e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-8,1.091756e+02,6.294400e-04,1.973920e-04,2.933600e-04,8.768000e-05,2.867200e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-9,1.027357e+02,6.688960e-04,2.058560e-04,3.106080e-04,9.960000e-05,3.072000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-10,9.397150e+01,7.312800e-04,2.149280e-04,3.501920e-04,1.101760e-04,3.276800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-11,8.889695e+01,7.730240e-04,2.242080e-04,3.681120e-04,1.223680e-04,3.481600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-12,8.212646e+01,8.367520e-04,2.335520e-04,4.073920e-04,1.336000e-04,3.686400e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-3,1.777939e+02,3.865120e-04,8.254400e-05,1.757760e-04,9.001600e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-4,1.376813e+02,4.991200e-04,9.947200e-05,2.357600e-04,1.229760e-04,2.457600e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-5,1.148848e+02,5.981600e-04,1.067840e-04,2.964320e-04,1.526400e-04,2.457600e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-6,9.451745e+01,7.270560e-04,1.409600e-04,3.561280e-04,1.843840e-04,2.662400e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-7,8.015840e+01,8.572960e-04,1.781600e-04,4.142080e-04,2.161280e-04,2.867200e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-8,7.029291e+01,9.776160e-04,2.034240e-04,4.735680e-04,2.483040e-04,3.072000e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-9,6.264356e+01,1.096992e-03,2.302400e-04,5.308960e-04,2.805120e-04,3.276800e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-10,5.658942e+01,1.214352e-03,2.616160e-04,5.798240e-04,3.158080e-04,3.481600e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-11,4.497819e+01,1.527840e-03,4.792960e-04,6.395680e-04,3.461280e-04,3.891200e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-12,4.143881e+01,1.658336e-03,5.222400e-04,6.932320e-04,3.770720e-04,4.096000e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-3,1.477508e+02,4.651040e-04,1.593920e-04,1.775040e-04,9.001600e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-4,1.200684e+02,5.723360e-04,1.721760e-04,2.356480e-04,1.230400e-04,2.457600e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-5,1.014040e+02,6.776800e-04,1.861120e-04,2.961920e-04,1.524800e-04,2.457600e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-6,8.542608e+01,8.044320e-04,2.180960e-04,3.559680e-04,1.839680e-04,2.662400e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-7,7.452142e+01,9.221440e-04,2.445760e-04,4.115840e-04,2.167840e-04,2.867200e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-8,6.551900e+01,1.048848e-03,2.783360e-04,4.695680e-04,2.488960e-04,3.072000e-05,
