phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,5.248518e+01,1.636640e-04,3.318400e-05,8.528000e-05,2.008000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,4.142522e+01,2.073600e-04,3.929600e-05,1.139680e-04,2.739200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,3.471073e+01,2.474720e-04,4.342400e-05,1.421600e-04,3.411200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,2.982451e+01,2.880160e-04,4.664000e-05,1.716640e-04,4.092800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,2.861785e+01,3.001600e-04,5.008000e-05,1.758240e-04,4.371200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.484478e+01,3.457440e-04,5.561600e-05,2.060320e-04,5.132800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.416378e+01,3.554880e-04,5.816000e-05,2.092800e-04,5.456000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.159838e+01,3.977120e-04,6.126400e-05,2.397760e-04,6.182400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.118252e+01,4.055200e-04,6.384000e-05,2.413600e-04,6.489600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.902988e+01,4.513920e-04,7.153600e-05,2.700320e-04,7.105600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,4.167605e+01,2.061120e-04,7.483200e-05,8.545600e-05,2.060800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,3.411087e+01,2.518240e-04,8.360000e-05,1.135200e-04,2.756800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,2.952923e+01,2.908960e-04,8.635200e-05,1.427680e-04,3.400000e-05,1.024000e-05,
