phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,1.186088e+01,1.810560e-04,2.968000e-05,7.577600e-05,4.460800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,1.152974e+01,1.862560e-04,3.092800e-05,7.628800e-05,4.752000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,1.034035e+01,2.076800e-04,3.236800e-05,8.926400e-05,5.339200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.007036e+01,2.132480e-04,3.459200e-05,8.843200e-05,5.654400e-05,1.027200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,9.784773e+00,2.194720e-04,3.699200e-05,8.856000e-05,5.836800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,9.626863e+00,2.230720e-04,3.768000e-05,8.918400e-05,5.985600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,8.743826e+00,2.456000e-04,3.928000e-05,1.021120e-04,6.643200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,8.425470e+00,2.548800e-04,4.696000e-05,1.012960e-04,6.779200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,8.143292e+00,2.637120e-04,4.819200e-05,1.045760e-04,7.056000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,8.016349e+00,2.678880e-04,4.990400e-05,1.043840e-04,7.217600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,7.836159e+00,2.740480e-04,5.150400e-05,1.054560e-04,7.483200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,7.293253e+00,2.944480e-04,5.222400e-05,1.177760e-04,8.060800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,1.044171e+01,2.056640e-04,5.424000e-05,7.568000e-05,4.448000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.027072e+01,2.090880e-04,5.395200e-05,7.584000e-05,4.753600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,9.313561e+00,2.305760e-04,5.620800e-05,8.828800e-05,5.321600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,9.151001e+00,2.346720e-04,5.643200e-05,8.755200e-05,5.617600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,8.918122e+00,2.408000e-04,5.854400e-05,8.755200e-05,5.840000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,8.780435e+00,2.445760e-04,6.022400e-05,8.803200e-05,5.904000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,8.076647e+00,2.658880e-04,6.052800e-05,1.009600e-04,6.656000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,7.755112e+00,2.769120e-04,6.958400e-05,1.007040e-04,6.785600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,7.570519e+00,2.836640e-04,7.004800e-05,1.037440e-04,6.996800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-18,7.364484e+00,2.916000e-04,7.296000e-05,1.053280e-04,7.196800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-19,7.320701e+00,2.933440e-04,7.329600e-05,1.041920e-04,7.315200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-20,6.799621e+00,3.158240e-04,7.481600e-05,1.172960e-04,7.984000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,9.213821e+00,2.330720e-04,4.240000e-05,1.082880e-04,5.168000e-05,1.024000e-05,
