phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,1.162964e+01,1.846560e-04,3.460800e-05,7.576000e-05,4.348800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,1.119227e+01,1.918720e-04,3.651200e-05,7.628800e-05,4.726400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,1.002747e+01,2.141600e-04,3.811200e-05,8.956800e-05,5.376000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,9.886397e+00,2.172160e-04,3.950400e-05,8.844800e-05,5.558400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,9.609632e+00,2.234720e-04,4.118400e-05,8.796800e-05,5.811200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,9.421432e+00,2.279360e-04,4.262400e-05,8.868800e-05,5.992000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,8.581147e+00,2.502560e-04,4.400000e-05,1.011840e-04,6.656000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,8.243826e+00,2.604960e-04,5.345600e-05,1.010080e-04,6.747200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,7.962136e+00,2.697120e-04,5.601600e-05,1.033280e-04,7.001600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,7.809713e+00,2.749760e-04,5.699200e-05,1.039200e-04,7.251200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,7.645555e+00,2.808800e-04,5.904000e-05,1.046880e-04,7.435200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,7.108613e+00,3.020960e-04,6.110400e-05,1.175680e-04,7.987200e-05,1.433600e-05,
