phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,1.241952e+01,1.729120e-04,2.324800e-05,7.529600e-05,4.315200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,1.215410e+01,1.766880e-04,2.460800e-05,7.529600e-05,4.616000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,1.076152e+01,1.995520e-04,2.531200e-05,8.864000e-05,5.264000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.048412e+01,2.048320e-04,2.758400e-05,8.844800e-05,5.505600e-05,1.025600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,1.014572e+01,2.116640e-04,2.950400e-05,8.860800e-05,5.779200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,9.969378e+00,2.154080e-04,3.132800e-05,8.835200e-05,5.974400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,9.013346e+00,2.382560e-04,3.296000e-05,1.018560e-04,6.598400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,8.702440e+00,2.467680e-04,3.929600e-05,1.008480e-04,6.812800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,8.420184e+00,2.550400e-04,4.113600e-05,1.032800e-04,7.048000e-05,1.235200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,8.286068e+00,2.591680e-04,4.145600e-05,1.042080e-04,7.179200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,8.143292e+00,2.637120e-04,4.254400e-05,1.040320e-04,7.438400e-05,1.430400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,7.570519e+00,2.836640e-04,4.358400e-05,1.160800e-04,8.009600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,1.082052e+01,1.984640e-04,4.712000e-05,7.705600e-05,4.337600e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.058917e+01,2.028000e-04,4.782400e-05,7.660800e-05,4.732800e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,9.574671e+00,2.242880e-04,4.836800e-05,8.976000e-05,5.376000e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,9.434678e+00,2.276160e-04,4.974400e-05,8.860800e-05,5.520000e-05,1.030400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,9.229026e+00,2.326880e-04,4.977600e-05,8.832000e-05,5.793600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,9.084110e+00,2.364000e-04,5.108800e-05,8.830400e-05,5.972800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,8.314299e+00,2.582880e-04,5.246400e-05,1.014880e-04,6.654400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,8.012520e+00,2.680160e-04,5.988800e-05,1.012000e-04,6.812800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,7.816991e+00,2.747200e-04,6.084800e-05,1.034080e-04,6.995200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-18,7.690679e+00,2.792320e-04,6.188800e-05,1.032960e-04,7.174400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-19,7.553052e+00,2.843200e-04,6.332800e-05,1.038560e-04,7.340800e-05,1.430400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-20,7.056663e+00,3.043200e-04,6.377600e-05,1.167360e-04,8.006400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,9.340784e+00,2.299040e-04,3.748800e-05,1.091040e-04,5.161600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,8.351548e+00,2.571360e-04,3.971200e-05,1.236480e-04,5.859200e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,7.890983e+00,2.721440e-04,4.401600e-05,1.304640e-04,6.209600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,7.267583e+00,2.954880e-04,4.588800e-05,1.448480e-04,6.824000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-13,6.701839e+00,3.204320e-04,6.009600e-05,1.489280e-04,7.388800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-14,6.468324e+00,3.320000e-04,6.417600e-05,1.512640e-04,7.838400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-15,5.979317e+00,3.591520e-04,6.771200e-05,1.666400e-04,8.422400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-16,5.098489e+00,4.212000e-04,1.258240e-04,1.664640e-04,8.638400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-17,4.917481e+00,4.367040e-04,1.296000e-04,1.715040e-04,9.177600e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-18,4.665035e+00,4.603360e-04,1.331520e-04,1.839520e-04,9.811200e-05,1.638400e-05,
