phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,1.192093e+01,1.801440e-04,2.924800e-05,7.588800e-05,4.406400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,1.152281e+01,1.863680e-04,3.142400e-05,7.604800e-05,4.702400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,1.023157e+01,2.098880e-04,3.328000e-05,9.012800e-05,5.390400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.011666e+01,2.122720e-04,3.504000e-05,8.830400e-05,5.601600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,9.776220e+00,2.196640e-04,3.688000e-05,8.835200e-05,5.827200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,9.622722e+00,2.231680e-04,3.780800e-05,8.870400e-05,6.006400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,8.785033e+00,2.444480e-04,3.916800e-05,1.012160e-04,6.656000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,8.448806e+00,2.541760e-04,4.662400e-05,1.012320e-04,6.801600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,8.188502e+00,2.622560e-04,4.800000e-05,1.042560e-04,7.036800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,8.008218e+00,2.681600e-04,4.985600e-05,1.045280e-04,7.236800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,7.871084e+00,2.728320e-04,5.160000e-05,1.047360e-04,7.364800e-05,1.432000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,7.294442e+00,2.944000e-04,5.336000e-05,1.176320e-04,8.028800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,1.048986e+01,2.047200e-04,5.364800e-05,7.596800e-05,4.419200e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.032921e+01,2.079040e-04,5.411200e-05,7.563200e-05,4.681600e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,9.352500e+00,2.296160e-04,5.612800e-05,8.811200e-05,5.257600e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,9.113099e+00,2.356480e-04,5.905600e-05,8.752000e-05,5.486400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,8.919900e+00,2.407520e-04,5.897600e-05,8.755200e-05,5.776000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,8.770681e+00,2.448480e-04,6.096000e-05,8.758400e-05,5.952000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,8.042769e+00,2.670080e-04,6.217600e-05,1.009600e-04,6.566400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,7.723428e+00,2.780480e-04,7.028800e-05,1.010880e-04,6.780800e-05,1.227200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,7.487322e+00,2.868160e-04,7.200000e-05,1.040960e-04,7.075200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-18,7.352382e+00,2.920800e-04,7.344000e-05,1.043680e-04,7.220800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-19,7.233507e+00,2.968800e-04,7.465600e-05,1.045280e-04,7.419200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-20,6.766371e+00,3.173760e-04,7.617600e-05,1.169760e-04,8.025600e-05,1.430400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,9.002463e+00,2.385440e-04,4.313600e-05,1.103360e-04,5.209600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,8.158636e+00,2.632160e-04,4.556800e-05,1.241440e-04,5.881600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,7.684515e+00,2.794560e-04,4.944000e-05,1.310720e-04,6.414400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,7.089838e+00,3.028960e-04,5.180800e-05,1.457440e-04,6.944000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-13,6.585111e+00,3.261120e-04,6.708800e-05,1.486080e-04,7.320000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-14,6.322376e+00,3.396640e-04,7.091200e-05,1.514880e-04,7.774400e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-15,5.864622e+00,3.661760e-04,7.472000e-05,1.660800e-04,8.432000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-16,5.378390e+00,3.992800e-04,1.057920e-04,1.654880e-04,8.652800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-17,5.154686e+00,4.166080e-04,1.101760e-04,1.714400e-04,9.187200e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-18,4.878516e+00,4.401920e-04,1.132000e-04,1.839520e-04,9.864000e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-19,4.743011e+00,4.527680e-04,1.171200e-04,1.879040e-04,1.011520e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-20,4.634590e+00,4.633600e-04,1.214240e-04,1.905760e-04,1.041120e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,8.182511e+00,2.624480e-04,6.595200e-05,1.107200e-04,5.356800e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-10,7.528479e+00,2.852480e-04,6.708800e-05,1.240000e-04,5.937600e-05,1.232000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-11,7.099213e+00,3.024960e-04,7.083200e-05,1.320800e-04,6.464000e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,6.588667e+00,3.259360e-04,7.280000e-05,1.457120e-04,7.134400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-13,6.160168e+00,3.486080e-04,8.944000e-05,1.487360e-04,7.321600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-14,5.939100e+00,3.615840e-04,9.433600e-05,1.507040e-04,7.806400e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-15,5.537720e+00,3.877920e-04,9.744000e-05,1.661600e-04,8.369600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-16,5.391569e+00,3.983040e-04,1.024000e-04,1.665600e-04,8.700800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-17,5.209507e+00,4.122240e-04,1.049920e-04,1.719520e-04,9.152000e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-18,4.897564e+00,4.384800e-04,1.109120e-04,1.841280e-04,9.812800e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-19,4.780344e+00,4.492320e-04,1.139520e-04,1.883040e-04,1.006240e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-20,4.662766e+00,4.605600e-04,1.180960e-04,1.915040e-04,1.039360e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS1-6,1.583877e+01,1.355840e-04,,,,,
-1.000000,1024,1024,1024,OS1-7,1.386404e+01,1.548960e-04,,,,,
-1.000000,1024,1024,1024,OS1-8,1.226853e+01,1.750400e-04,,,,,
-1.000000,1024,1024,1024,OS1-9,1.088370e+01,1.973120e-04,,,,,
-1.000000,1024,1024,1024,DGEMM,2.965482e+01,7.241600e-05,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-9,5.701688e+01,3.013120e-04,8.004800e-05,1.131200e-04,6.268800e-05,2.454400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-10,5.405738e+01,3.178080e-04,8.297600e-05,1.197120e-04,6.627200e-05,2.659200e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-11,4.934022e+01,3.481920e-04,8.646400e-05,1.361600e-04,7.449600e-05,2.864000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-12,4.713736e+01,3.644640e-04,8.956800e-05,1.415840e-04,7.928000e-05,3.072000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-13,4.484575e+01,3.830880e-04,9.280000e-05,1.477920e-04,8.705600e-05,3.072000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-14,4.321936e+01,3.975040e-04,9.659200e-05,1.530080e-04,9.022400e-05,3.481600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-15,4.004856e+01,4.289760e-04,1.002080e-04,1.699680e-04,9.820800e-05,3.481600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-16,3.622611e+01,4.742400e-04,1.313280e-04,1.764480e-04,1.031200e-04,3.686400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-17,3.445456e+01,4.986240e-04,1.369440e-04,1.823040e-04,1.129760e-04,3.891200e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-18,3.314223e+01,5.183680e-04,1.433280e-04,1.867840e-04,1.190560e-04,4.096000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-19,3.197944e+01,5.372160e-04,1.497760e-04,1.905440e-04,1.225280e-04,4.508800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-20,3.035828e+01,5.659040e-04,1.537920e-04,2.071680e-04,1.304640e-04,4.505600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-9,4.894215e+01,3.510240e-04,1.300960e-04,1.131840e-04,6.252800e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-10,4.669864e+01,3.678880e-04,1.350080e-04,1.184160e-04,6.651200e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-11,4.289991e+01,4.004640e-04,1.389120e-04,1.353280e-04,7.505600e-05,2.867200e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-12,4.097938e+01,4.192320e-04,1.449280e-04,1.407520e-04,8.017600e-05,3.075200e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-13,3.908638e+01,4.395360e-04,1.498880e-04,1.476480e-04,8.684800e-05,3.078400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-14,3.775331e+01,4.550560e-04,1.531840e-04,1.522080e-04,9.004800e-05,3.484800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-15,3.536816e+01,4.857440e-04,1.570400e-04,1.695840e-04,9.827200e-05,3.481600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-16,3.245894e+01,5.292800e-04,1.867520e-04,1.755200e-04,1.033600e-04,3.686400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-17,3.113017e+01,5.518720e-04,1.918080e-04,1.793440e-04,1.138400e-04,3.891200e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-18,3.005575e+01,5.716000e-04,1.980480e-04,1.858080e-04,1.189760e-04,4.096000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-19,2.903889e+01,5.916160e-04,2.040800e-04,1.906880e-04,1.224000e-04,4.505600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-20,2.767661e+01,6.207360e-04,2.082240e-04,2.073920e-04,1.305280e-04,4.505600e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-9,3.373364e+01,5.092800e-04,1.221120e-04,2.329760e-04,1.024320e-04,3.072000e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-10,3.066695e+01,5.602080e-04,1.309760e-04,2.599040e-04,1.136960e-04,3.276800e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-11,2.823110e+01,6.085440e-04,1.440320e-04,2.758880e-04,1.285120e-04,3.689600e-05,
