phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,2.114997e+01,1.015360e-04,1.972800e-05,3.785600e-05,1.801600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,1.757237e+01,1.222080e-04,2.060800e-05,5.060800e-05,2.457600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,1.724942e+01,1.244960e-04,2.064000e-05,5.044800e-05,2.604800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,1.458413e+01,1.472480e-04,2.155200e-05,6.326400e-05,3.451200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,1.443978e+01,1.487200e-04,2.238400e-05,6.281600e-05,3.420800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,1.252849e+01,1.714080e-04,2.528000e-05,7.520000e-05,4.112000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,1.226181e+01,1.751360e-04,2.659200e-05,7.520000e-05,4.320000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,1.186822e+01,1.809440e-04,2.862400e-05,7.526400e-05,4.550400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,1.053514e+01,2.038400e-04,2.902400e-05,8.900800e-05,5.324800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.029356e+01,2.086240e-04,3.062400e-05,8.793600e-05,5.657600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,1.665232e+01,1.289600e-04,4.643200e-05,3.811200e-05,1.881600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,1.419092e+01,1.513280e-04,4.808000e-05,5.097600e-05,2.528000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,1.406452e+01,1.526880e-04,4.720000e-05,5.043200e-05,2.710400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,1.231017e+01,1.744480e-04,4.950400e-05,6.326400e-05,3.318400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,1.222495e+01,1.756640e-04,4.865600e-05,6.254400e-05,3.494400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,1.068783e+01,2.009280e-04,5.185600e-05,7.628800e-05,4.206400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,1.051369e+01,2.042560e-04,5.257600e-05,7.624000e-05,4.435200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.025111e+01,2.094880e-04,5.446400e-05,7.614400e-05,4.697600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,9.389138e+00,2.287200e-04,5.400000e-05,8.889600e-05,5.321600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,9.211924e+00,2.331200e-04,5.499200e-05,8.825600e-05,5.609600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-3,2.012260e+01,1.067200e-04,2.104000e-05,4.198400e-05,1.801600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-4,1.659878e+01,1.293760e-04,2.276800e-05,5.580800e-05,2.452800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-5,1.403071e+01,1.530560e-04,2.484800e-05,6.940800e-05,3.168000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,1.194108e+01,1.798400e-04,2.926400e-05,8.358400e-05,3.808000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-7,1.131398e+01,1.898080e-04,3.264000e-05,8.684800e-05,4.153600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-8,9.860251e+00,2.177920e-04,3.721600e-05,1.008320e-04,4.912000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,9.295500e+00,2.310240e-04,3.992000e-05,1.078400e-04,5.211200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,8.337541e+00,2.575680e-04,4.332800e-05,1.232000e-04,5.884800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,7.837532e+00,2.740000e-04,4.595200e-05,1.301600e-04,6.318400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,7.225719e+00,2.972000e-04,4.886400e-05,1.436320e-04,6.827200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-3,1.682137e+01,1.276640e-04,4.116800e-05,4.144000e-05,1.881600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-4,1.428760e+01,1.503040e-04,4.259200e-05,5.572800e-05,2.508800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-5,1.243678e+01,1.726720e-04,4.422400e-05,6.956800e-05,3.139200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-6,1.073055e+01,2.001280e-04,4.910400e-05,8.297600e-05,3.921600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-7,1.021366e+01,2.102560e-04,5.153600e-05,8.625600e-05,4.320000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-8,9.116814e+00,2.355520e-04,5.512000e-05,9.993600e-05,4.947200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,8.598740e+00,2.497440e-04,5.828800e-05,1.074560e-04,5.286400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-10,7.784800e+00,2.758560e-04,6.012800e-05,1.233760e-04,5.955200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-11,7.339516e+00,2.925920e-04,6.347200e-05,1.299680e-04,6.401600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,6.775935e+00,3.169280e-04,6.681600e-05,1.445280e-04,6.923200e-05,1.228800e-05,
-1.000000,1024,1024,1024,BF16x9,5.672769e+01,3.785600e-05,,,,,
-1.000000,1024,1024,1024,SGEMM,4.301850e+01,4.992000e-05,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-3,1.121636e+02,1.531680e-04,4.676800e-05,4.422400e-05,2.454400e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-4,9.415484e+01,1.824640e-04,4.912000e-05,6.171200e-05,3.312000e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-5,8.692858e+01,1.976320e-04,5.126400e-05,6.928000e-05,3.785600e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-6,7.630343e+01,2.251520e-04,5.348800e-05,8.492800e-05,4.608000e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-7,7.130707e+01,2.409280e-04,5.576000e-05,9.283200e-05,5.120000e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-8,6.191926e+01,2.774560e-04,6.593600e-05,1.096480e-04,5.939200e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-9,5.859437e+01,2.932000e-04,6.995200e-05,1.162080e-04,6.332800e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-10,5.626104e+01,3.053600e-04,7.260800e-05,1.196640e-04,6.675200e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-11,5.091237e+01,3.374400e-04,7.633600e-05,1.373760e-04,7.520000e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-12,4.877541e+01,3.522240e-04,7.958400e-05,1.423040e-04,7.977600e-05,2.672000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-3,8.670396e+01,1.981440e-04,8.988800e-05,4.574400e-05,2.457600e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-4,7.592037e+01,2.262880e-04,9.300800e-05,6.217600e-05,3.232000e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-5,7.077128e+01,2.427520e-04,9.595200e-05,6.982400e-05,3.734400e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-6,6.361783e+01,2.700480e-04,9.787200e-05,8.617600e-05,4.576000e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-7,6.068052e+01,2.831200e-04,1.002880e-04,9.168000e-05,4.934400e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-8,5.388918e+01,3.188000e-04,1.089600e-04,1.091200e-04,5.753600e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-9,5.098973e+01,3.369280e-04,1.159520e-04,1.133600e-04,6.360000e-05,2.337600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-10,4.901364e+01,3.505120e-04,1.193120e-04,1.185120e-04,6.652800e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-11,4.496406e+01,3.820800e-04,1.229760e-04,1.353280e-04,7.425600e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-12,4.302712e+01,3.992800e-04,1.274560e-04,1.405120e-04,8.012800e-05,2.867200e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-3,8.259552e+01,2.080000e-04,5.585600e-05,8.361600e-05,3.068800e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-4,6.798416e+01,2.527040e-04,5.995200e-05,1.125600e-04,4.108800e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-5,5.740093e+01,2.992960e-04,6.579200e-05,1.427840e-04,5.040000e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-6,4.848031e+01,3.543680e-04,7.860800e-05,1.714560e-04,6.144000e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-7,4.328906e+01,3.968640e-04,8.864000e-05,1.877920e-04,7.667200e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-8,3.799646e+01,4.521440e-04,1.011040e-04,2.152960e-04,8.768000e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-9,3.468158e+01,4.953600e-04,1.116640e-04,2.317760e-04,1.009920e-04,2.867200e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-10,3.128163e+01,5.492000e-04,1.217600e-04,2.600000e-04,1.139520e-04,3.072000e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-11,2.871351e+01,5.983200e-04,1.339680e-04,2.789280e-04,1.296320e-04,3.276800e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-12,2.640717e+01,6.505760e-04,1.440960e-04,3.054240e-04,1.394880e-04,3.686400e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-3,6.826077e+01,2.516800e-04,9.876800e-05,8.364800e-05,3.068800e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-4,5.768774e+01,2.978080e-04,1.048960e-04,1.136000e-04,4.022400e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-5,4.982329e+01,3.448160e-04,1.109600e-04,1.414560e-04,5.182400e-05,2.252800e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-6,4.305127e+01,3.990560e-04,1.245760e-04,1.692160e-04,6.262400e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-7,3.849779e+01,4.462560e-04,1.370400e-04,1.876800e-04,7.740800e-05,2.457600e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-8,3.410870e+01,5.036800e-04,1.521120e-04,2.162560e-04,8.774400e-05,2.662400e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-9,3.147788e+01,5.457760e-04,1.629760e-04,2.323520e-04,1.007680e-04,2.867200e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-10,2.867441e+01,5.991360e-04,1.716960e-04,2.593280e-04,1.139520e-04,3.072000e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-11,2.670734e+01,6.432640e-04,1.810080e-04,2.764960e-04,1.286400e-04,3.276800e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-12,2.465312e+01,6.968640e-04,1.903840e-04,3.054080e-04,1.391040e-04,3.686400e-05,
-1.000000,2048,2048,2048,BF16x9,1.459880e+02,1.176800e-04,,,,,
-1.000000,2048,2048,2048,SGEMM,5.758564e+01,2.983360e-04,,,,,
-1.000000,4096,4096,4096,OS2-i8-fast-3,3.203765e+02,4.289920e-04,1.384640e-04,1.501440e-04,5.126400e-05,7.372800e-05,
-1.000000,4096,4096,4096,OS2-i8-fast-4,2.657695e+02,5.171360e-04,1.478080e-04,2.065280e-04,7.264000e-05,7.372800e-05,
-1.000000,4096,4096,4096,OS2-i8-fast-5,2.340773e+02,5.871520e-04,1.558880e-04,2.433600e-04,9.718400e-05,7.372800e-05,
