phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,2.248203e+01,9.552000e-05,1.465600e-05,3.827200e-05,1.766400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,1.852301e+01,1.159360e-04,1.473600e-05,5.056000e-05,2.460800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,1.800613e+01,1.192640e-04,1.492800e-05,5.038400e-05,2.649600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,1.530768e+01,1.402880e-04,1.628800e-05,6.307200e-05,3.278400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,1.499975e+01,1.431680e-04,1.670400e-05,6.288000e-05,3.443200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,1.286226e+01,1.669600e-04,2.051200e-05,7.526400e-05,4.105600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,1.263345e+01,1.699840e-04,2.097600e-05,7.526400e-05,4.288000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,1.229663e+01,1.746400e-04,2.260800e-05,7.526400e-05,4.505600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,1.096013e+01,1.959360e-04,2.291200e-05,8.857600e-05,5.240000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.070402e+01,2.006240e-04,2.464000e-05,8.843200e-05,5.468800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,1.760233e+01,1.220000e-04,4.051200e-05,3.811200e-05,1.881600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,1.507726e+01,1.424320e-04,3.995200e-05,5.094400e-05,2.523200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,1.476380e+01,1.454560e-04,4.003200e-05,5.046400e-05,2.704000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,1.285364e+01,1.670720e-04,4.225600e-05,6.331200e-05,3.360000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,1.271724e+01,1.688640e-04,4.180800e-05,6.300800e-05,3.536000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,1.110063e+01,1.934560e-04,4.518400e-05,7.585600e-05,4.206400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,1.086343e+01,1.976800e-04,4.584000e-05,7.705600e-05,4.428800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.063111e+01,2.020000e-04,4.625600e-05,7.684800e-05,4.724800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,9.644157e+00,2.226720e-04,4.851200e-05,8.928000e-05,5.294400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,9.527096e+00,2.254080e-04,4.790400e-05,8.838400e-05,5.580800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-3,2.101091e+01,1.022080e-04,1.657600e-05,4.198400e-05,1.800000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-4,1.724056e+01,1.245600e-04,1.777600e-05,5.593600e-05,2.451200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-5,1.459840e+01,1.471040e-04,1.886400e-05,6.961600e-05,3.033600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,1.223386e+01,1.755360e-04,2.531200e-05,8.347200e-05,3.744000e-05,1.024000e-05,
