phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-3,2.133827e+01,1.006400e-04,1.974400e-05,3.824000e-05,1.801600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-4,1.766720e+01,1.215520e-04,2.051200e-05,4.985600e-05,2.462400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-5,1.711961e+01,1.254400e-04,2.073600e-05,5.043200e-05,2.705600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-6,1.476218e+01,1.454720e-04,2.192000e-05,6.336000e-05,3.235200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,1.443046e+01,1.488160e-04,2.254400e-05,6.286400e-05,3.456000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,1.248073e+01,1.720640e-04,2.542400e-05,7.523200e-05,4.136000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,1.219496e+01,1.760960e-04,2.660800e-05,7.523200e-05,4.356800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,1.184936e+01,1.812320e-04,2.857600e-05,7.521600e-05,4.614400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,1.054673e+01,2.036160e-04,2.907200e-05,8.873600e-05,5.276800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.043116e+01,2.058720e-04,3.035200e-05,8.838400e-05,5.387200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-3,1.659878e+01,1.293760e-04,4.716800e-05,3.811200e-05,1.884800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-4,1.426786e+01,1.505120e-04,4.752000e-05,5.100800e-05,2.534400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-5,1.410591e+01,1.522400e-04,4.748800e-05,5.043200e-05,2.699200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,1.237372e+01,1.735520e-04,4.886400e-05,6.276800e-05,3.315200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,1.214201e+01,1.768640e-04,4.969600e-05,6.294400e-05,3.520000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,1.075376e+01,1.996960e-04,5.172800e-05,7.598400e-05,4.206400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,1.059335e+01,2.027200e-04,5.203200e-05,7.571200e-05,4.387200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.031968e+01,2.080960e-04,5.379200e-05,7.572800e-05,4.678400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,9.393081e+00,2.286240e-04,5.505600e-05,8.838400e-05,5.265600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,9.219517e+00,2.329280e-04,5.676800e-05,8.792000e-05,5.448000e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-3,2.010451e+01,1.068160e-04,2.107200e-05,4.198400e-05,1.804800e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-4,1.649880e+01,1.301600e-04,2.281600e-05,5.593600e-05,2.459200e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-5,1.389705e+01,1.545280e-04,2.547200e-05,6.944000e-05,3.171200e-05,1.024000e-05,
