phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.347695e+01,3.658880e-04,6.579200e-05,2.113600e-04,5.457600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.108518e+01,4.073920e-04,6.844800e-05,2.416160e-04,6.155200e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.071181e+01,4.147360e-04,7.078400e-05,2.407360e-04,6.499200e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.860388e+01,4.617280e-04,8.040000e-05,2.695040e-04,7.136000e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,1.824044e+01,4.709280e-04,8.409600e-05,2.731360e-04,7.227200e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,1.795495e+01,4.784160e-04,8.676800e-05,2.725600e-04,7.652800e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,1.642611e+01,5.229440e-04,9.056000e-05,3.045920e-04,8.339200e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,1.581218e+01,5.432480e-04,1.055840e-04,3.055840e-04,8.624000e-05,1.846400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,1.552099e+01,5.534400e-04,1.108000e-04,3.054240e-04,8.977600e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,1.442426e+01,5.955200e-04,1.154880e-04,3.339840e-04,9.724800e-05,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,1.410702e+01,6.089120e-04,1.219200e-04,3.354560e-04,1.007360e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,1.407374e+01,6.103520e-04,1.194400e-04,3.376960e-04,1.020320e-04,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.111421e+01,4.068320e-04,1.088640e-04,2.090240e-04,5.355200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.923648e+01,4.465440e-04,1.099680e-04,2.379200e-04,6.110400e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.870891e+01,4.591360e-04,1.161120e-04,2.414880e-04,6.353600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.710870e+01,5.020800e-04,1.191520e-04,2.718720e-04,7.022400e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,1.686523e+01,5.093280e-04,1.229440e-04,2.723360e-04,7.235200e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,1.655068e+01,5.190080e-04,1.258240e-04,2.748000e-04,7.652800e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,1.526893e+01,5.625760e-04,1.307200e-04,3.038880e-04,8.336000e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,1.467221e+01,5.854560e-04,1.485760e-04,3.044480e-04,8.598400e-05,1.846400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,1.443007e+01,5.952800e-04,1.529920e-04,3.045760e-04,9.054400e-05,1.843200e-05,
