phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.506868e+01,3.426560e-04,4.532800e-05,2.100640e-04,5.390400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.243318e+01,3.829120e-04,4.745600e-05,2.389120e-04,6.032000e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.186224e+01,3.929120e-04,4.968000e-05,2.416800e-04,6.361600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.917122e+01,4.480640e-04,6.585600e-05,2.705120e-04,7.089600e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,1.877040e+01,4.576320e-04,6.836800e-05,2.744480e-04,7.396800e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,1.853516e+01,4.634400e-04,7.113600e-05,2.745920e-04,7.608000e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,1.702299e+01,5.046080e-04,7.350400e-05,3.035360e-04,8.360000e-05,1.651200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,1.630835e+01,5.267200e-04,8.868800e-05,3.060480e-04,8.606400e-05,1.846400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,1.600832e+01,5.365920e-04,9.276800e-05,3.067680e-04,9.078400e-05,1.844800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,1.484915e+01,5.784800e-04,9.635200e-05,3.370720e-04,9.600000e-05,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,1.457740e+01,5.892640e-04,1.019520e-04,3.380320e-04,9.875200e-05,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,1.473058e+01,5.831360e-04,8.889600e-05,3.414080e-04,1.017440e-04,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.182668e+01,3.935520e-04,9.574400e-05,2.094720e-04,5.387200e-05,1.235200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.972195e+01,4.355520e-04,9.972800e-05,2.396000e-04,5.993600e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.934670e+01,4.440000e-04,1.024000e-04,2.400000e-04,6.396800e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.764108e+01,4.869280e-04,1.052960e-04,2.704640e-04,7.017600e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,1.739980e+01,4.936800e-04,1.067520e-04,2.729280e-04,7.273600e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,1.706628e+01,5.033280e-04,1.122080e-04,2.739840e-04,7.531200e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,1.565495e+01,5.487040e-04,1.163200e-04,3.044640e-04,8.363200e-05,1.648000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,1.501653e+01,5.720320e-04,1.345920e-04,3.059040e-04,8.566400e-05,1.846400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,1.471968e+01,5.835680e-04,1.394400e-04,3.078080e-04,8.996800e-05,1.846400e-05,
