phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.361741e+01,3.637120e-04,6.528000e-05,2.102880e-04,5.468800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.124623e+01,4.043040e-04,6.803200e-05,2.389920e-04,6.054400e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.079847e+01,4.130080e-04,7.052800e-05,2.398240e-04,6.457600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.859358e+01,4.619840e-04,8.060800e-05,2.689120e-04,7.169600e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,1.821383e+01,4.716160e-04,8.443200e-05,2.725760e-04,7.296000e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,1.797599e+01,4.778560e-04,8.745600e-05,2.726080e-04,7.566400e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,1.660751e+01,5.172320e-04,9.065600e-05,3.006400e-04,8.192000e-05,1.648000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,1.583456e+01,5.424800e-04,1.062720e-04,3.047200e-04,8.593600e-05,1.846400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,1.548115e+01,5.548640e-04,1.109280e-04,3.066560e-04,8.968000e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,1.429407e+01,6.009440e-04,1.156800e-04,3.384320e-04,9.566400e-05,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,1.411889e+01,6.084000e-04,1.224000e-04,3.342240e-04,1.000480e-04,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,1.404612e+01,6.115520e-04,1.196480e-04,3.379840e-04,1.016960e-04,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.113748e+01,4.063840e-04,1.083680e-04,2.098240e-04,5.380800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.919384e+01,4.475360e-04,1.111040e-04,2.386080e-04,6.056000e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.877105e+01,4.576160e-04,1.158560e-04,2.402560e-04,6.376000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.716559e+01,5.004160e-04,1.180960e-04,2.704480e-04,7.081600e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,1.681926e+01,5.107200e-04,1.241440e-04,2.708640e-04,7.339200e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,1.652572e+01,5.197920e-04,1.269920e-04,2.749280e-04,7.593600e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,1.530637e+01,5.612000e-04,1.306720e-04,3.026560e-04,8.321600e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,1.466219e+01,5.858560e-04,1.488000e-04,3.037920e-04,8.609600e-05,1.846400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,1.440877e+01,5.961600e-04,1.532960e-04,3.062080e-04,8.974400e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-18,1.339365e+01,6.413440e-04,1.586080e-04,3.364160e-04,9.616000e-05,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-19,1.315473e+01,6.529920e-04,1.641440e-04,3.387520e-04,9.976000e-05,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-20,1.300118e+01,6.607040e-04,1.685760e-04,3.376480e-04,1.025280e-04,2.051200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.086962e+01,4.116000e-04,1.129760e-04,1.808160e-04,8.211200e-05,1.433600e-05,
