phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.361949e+01,3.636800e-04,6.395200e-05,2.084000e-04,5.520000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.121600e+01,4.048800e-04,6.667200e-05,2.403680e-04,6.196800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.076629e+01,4.136480e-04,6.964800e-05,2.422080e-04,6.454400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.849557e+01,4.644320e-04,7.980800e-05,2.725760e-04,7.214400e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,1.814305e+01,4.734560e-04,8.328000e-05,2.754080e-04,7.337600e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,1.788675e+01,4.802400e-04,8.729600e-05,2.753280e-04,7.619200e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,1.638900e+01,5.241280e-04,9.102400e-05,3.051840e-04,8.406400e-05,1.846400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,1.573340e+01,5.459680e-04,1.051520e-04,3.087680e-04,8.676800e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,1.552009e+01,5.534720e-04,1.100800e-04,3.067200e-04,9.035200e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,1.436137e+01,5.981280e-04,1.146240e-04,3.361760e-04,9.747200e-05,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,1.413116e+01,6.078720e-04,1.210080e-04,3.377280e-04,9.768000e-05,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,1.409406e+01,6.094720e-04,1.169280e-04,3.380160e-04,1.024160e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.109264e+01,4.072480e-04,1.078560e-04,2.088160e-04,5.472000e-05,1.436800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.922270e+01,4.468640e-04,1.097760e-04,2.388640e-04,6.105600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.877499e+01,4.575200e-04,1.131520e-04,2.426240e-04,6.374400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.716559e+01,5.004160e-04,1.161920e-04,2.723040e-04,7.144000e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,1.690453e+01,5.081440e-04,1.205440e-04,2.732480e-04,7.286400e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,1.656804e+01,5.184640e-04,1.245280e-04,2.747040e-04,7.654400e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,1.533479e+01,5.601600e-04,1.279840e-04,3.037760e-04,8.337600e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,1.471242e+01,5.838560e-04,1.453440e-04,3.056800e-04,8.571200e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,1.442736e+01,5.953920e-04,1.516800e-04,3.067200e-04,9.068800e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-18,1.344160e+01,6.390560e-04,1.560800e-04,3.379200e-04,9.609600e-05,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-19,1.321041e+01,6.502400e-04,1.610240e-04,3.395520e-04,9.928000e-05,2.051200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-20,1.305271e+01,6.580960e-04,1.652960e-04,3.383680e-04,1.019840e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.163058e+01,3.971200e-04,9.366400e-05,1.849120e-04,8.326400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,2.044288e+01,4.201920e-04,1.006560e-04,1.915200e-04,9.083200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,1.756144e+01,4.891360e-04,1.359840e-04,2.140000e-04,9.992000e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.656344e+01,5.186080e-04,1.477280e-04,2.218400e-04,1.089120e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-13,1.442348e+01,5.955520e-04,1.934400e-04,2.422720e-04,1.158240e-04,1.846400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-14,1.372650e+01,6.257920e-04,2.066560e-04,2.531840e-04,1.220800e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-15,1.281009e+01,6.705600e-04,2.204800e-04,2.717120e-04,1.328320e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-16,1.218278e+01,7.050880e-04,2.334080e-04,2.836160e-04,1.392000e-04,2.051200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-17,1.143349e+01,7.512960e-04,2.465280e-04,3.054720e-04,1.499200e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-18,1.085684e+01,7.912000e-04,2.712480e-04,3.142400e-04,1.556800e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-19,9.894049e+00,8.681920e-04,3.209920e-04,3.212960e-04,1.724320e-04,2.256000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-20,9.164591e+00,9.372960e-04,3.575040e-04,3.432480e-04,1.814400e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,2.006394e+01,4.281280e-04,1.229920e-04,1.844640e-04,8.446400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-10,1.905554e+01,4.507840e-04,1.307360e-04,1.919040e-04,9.076800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-11,1.738178e+01,4.941920e-04,1.394240e-04,2.136160e-04,1.009120e-04,1.641600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,1.655885e+01,5.187520e-04,1.481760e-04,2.225280e-04,1.070240e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-13,1.457225e+01,5.894720e-04,1.878560e-04,2.418240e-04,1.173600e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-14,1.393167e+01,6.165760e-04,1.971520e-04,2.521760e-04,1.229920e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-15,1.302042e+01,6.597280e-04,2.088640e-04,2.733280e-04,1.314400e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-16,1.243822e+01,6.906080e-04,2.199040e-04,2.823040e-04,1.394080e-04,2.051200e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-17,1.168177e+01,7.353280e-04,2.333280e-04,3.037600e-04,1.489280e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-18,1.120676e+01,7.664960e-04,2.442880e-04,3.127200e-04,1.567200e-04,2.256000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-19,1.070445e+01,8.024640e-04,2.551520e-04,3.196160e-04,1.729760e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-20,9.974008e+00,8.612320e-04,2.822880e-04,3.402720e-04,1.826560e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS1-6,3.998443e+01,2.148320e-04,,,,,
-1.000000,1024,1024,1024,OS1-7,3.645240e+01,2.356480e-04,,,,,
-1.000000,1024,1024,1024,OS1-8,3.318935e+01,2.588160e-04,,,,,
-1.000000,1024,1024,1024,OS1-9,3.018163e+01,2.846080e-04,,,,,
