phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.248862e+01,3.819680e-04,8.310400e-05,2.117280e-04,5.404800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.022951e+01,4.246240e-04,8.675200e-05,2.404000e-04,6.067200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,1.973427e+01,4.352800e-04,9.019200e-05,2.433760e-04,6.360000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.806673e+01,4.754560e-04,9.412800e-05,2.695040e-04,7.147200e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,1.774369e+01,4.841120e-04,9.769600e-05,2.729440e-04,7.243200e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,1.727050e+01,4.973760e-04,1.014400e-04,2.766560e-04,7.721600e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,1.599258e+01,5.371200e-04,1.055840e-04,3.043520e-04,8.203200e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,1.537651e+01,5.586400e-04,1.231040e-04,3.042400e-04,8.568000e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,1.503882e+01,5.711840e-04,1.276960e-04,3.064640e-04,9.016000e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,1.392264e+01,6.169760e-04,1.324800e-04,3.395840e-04,9.651200e-05,1.849600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,1.372931e+01,6.256640e-04,1.381280e-04,3.358560e-04,1.006880e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,1.356728e+01,6.331360e-04,1.414560e-04,3.384160e-04,1.019840e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.073581e+01,4.142560e-04,1.164640e-04,2.096480e-04,5.313600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.882503e+01,4.563040e-04,1.195840e-04,2.397440e-04,6.028800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.845298e+01,4.655040e-04,1.233760e-04,2.406560e-04,6.321600e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.673538e+01,5.132800e-04,1.301600e-04,2.721920e-04,7.076800e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,1.657111e+01,5.183680e-04,1.312320e-04,2.724800e-04,7.244800e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,1.618837e+01,5.306240e-04,1.357120e-04,2.754560e-04,7.704000e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,1.498133e+01,5.733760e-04,1.412000e-04,3.045920e-04,8.289600e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,1.446039e+01,5.940320e-04,1.588160e-04,3.025120e-04,8.580800e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,1.410406e+01,6.090400e-04,1.655200e-04,3.064000e-04,9.043200e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-18,1.314217e+01,6.536160e-04,1.705760e-04,3.366880e-04,9.720000e-05,1.848000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-19,1.291797e+01,6.649600e-04,1.756960e-04,3.364160e-04,1.002400e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-20,1.276076e+01,6.731520e-04,1.812800e-04,3.373120e-04,1.026720e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.107608e+01,4.075680e-04,1.092000e-04,1.815200e-04,8.198400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,1.966056e+01,4.369120e-04,1.175040e-04,1.914080e-04,9.104000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,1.791720e+01,4.794240e-04,1.255200e-04,2.119680e-04,1.017120e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.715352e+01,5.007680e-04,1.320160e-04,2.217440e-04,1.064800e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-13,1.513122e+01,5.676960e-04,1.666400e-04,2.413920e-04,1.168800e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-14,1.450571e+01,5.921760e-04,1.745760e-04,2.498080e-04,1.226080e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-15,1.345575e+01,6.383840e-04,1.844160e-04,2.733760e-04,1.337760e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-16,1.290276e+01,6.657440e-04,1.946080e-04,2.820960e-04,1.411040e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-17,1.215190e+01,7.068800e-04,2.037440e-04,3.035680e-04,1.491200e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-18,1.168660e+01,7.350240e-04,2.137600e-04,3.124800e-04,1.577600e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-19,1.115344e+01,7.701600e-04,2.248320e-04,3.201280e-04,1.726080e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-20,1.062143e+01,8.087360e-04,2.342080e-04,3.388480e-04,1.820800e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,2.001681e+01,4.291360e-04,1.267360e-04,1.825440e-04,8.384000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-10,1.888794e+01,4.547840e-04,1.359360e-04,1.915840e-04,9.083200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-11,1.724056e+01,4.982400e-04,1.441120e-04,2.124160e-04,1.008000e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,1.646540e+01,5.216960e-04,1.512480e-04,2.232800e-04,1.060640e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-13,1.467582e+01,5.853120e-04,1.855520e-04,2.416480e-04,1.159840e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-14,1.403034e+01,6.122400e-04,1.942080e-04,2.504800e-04,1.220480e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-15,1.307178e+01,6.571360e-04,2.044000e-04,2.728640e-04,1.336640e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-16,1.251914e+01,6.861440e-04,2.128000e-04,2.822400e-04,1.416640e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-17,1.183082e+01,7.260640e-04,2.224640e-04,3.034560e-04,1.497920e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-18,1.137896e+01,7.548960e-04,2.325920e-04,3.123200e-04,1.585440e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-19,1.087113e+01,7.901600e-04,2.441120e-04,3.200480e-04,1.720480e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-20,1.033279e+01,8.313280e-04,2.534560e-04,3.405440e-04,1.828640e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS1-6,4.011888e+01,2.141120e-04,,,,,
-1.000000,1024,1024,1024,OS1-7,3.630450e+01,2.366080e-04,,,,,
-1.000000,1024,1024,1024,OS1-8,3.297125e+01,2.605280e-04,,,,,
-1.000000,1024,1024,1024,OS1-9,3.013928e+01,2.850080e-04,,,,,
-1.000000,1024,1024,1024,ZGEMM,3.342283e+01,2.570080e-04,,,,,
-1.000000,1024,1024,1024,ZGEMM3m,4.225334e+01,2.032960e-04,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-9,9.883485e+01,6.952960e-04,2.260320e-04,3.121120e-04,9.884800e-05,3.686400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-10,9.002048e+01,7.633760e-04,2.397920e-04,3.515200e-04,1.099360e-04,3.891200e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-11,8.469498e+01,8.113760e-04,2.537280e-04,3.685760e-04,1.219680e-04,4.305600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-12,7.813293e+01,8.795200e-04,2.683520e-04,4.087840e-04,1.321600e-04,4.505600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-13,7.402819e+01,9.282880e-04,2.821920e-04,4.274560e-04,1.456000e-04,4.710400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-14,7.065137e+01,9.726560e-04,2.945920e-04,4.448640e-04,1.582720e-04,4.915200e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-15,6.603781e+01,1.040608e-03,3.088320e-04,4.832480e-04,1.702880e-04,5.120000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-16,6.023121e+01,1.140928e-03,3.744960e-04,5.019680e-04,1.826720e-04,5.324800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-17,5.770789e+01,1.190816e-03,3.909440e-04,5.177280e-04,1.956480e-04,5.734400e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-18,5.460375e+01,1.258512e-03,4.064960e-04,5.574880e-04,2.055200e-04,5.737600e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-19,5.243136e+01,1.310656e-03,4.264800e-04,5.733760e-04,2.185600e-04,6.144000e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-20,5.032418e+01,1.365536e-03,4.491360e-04,5.908160e-04,2.311680e-04,6.348800e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-9,9.021714e+01,7.617120e-04,2.932320e-04,3.107360e-04,9.886400e-05,3.686400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-10,8.306195e+01,8.273280e-04,3.055040e-04,3.498880e-04,1.099200e-04,3.891200e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-11,7.838819e+01,8.766560e-04,3.197760e-04,3.668640e-04,1.219360e-04,4.304000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-12,7.292708e+01,9.423040e-04,3.329120e-04,4.060000e-04,1.327360e-04,4.505600e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-13,6.925803e+01,9.922240e-04,3.468160e-04,4.258240e-04,1.462080e-04,4.710400e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-14,6.621088e+01,1.037888e-03,3.600000e-04,4.436960e-04,1.585760e-04,4.915200e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-15,6.224951e+01,1.103936e-03,3.732160e-04,4.819520e-04,1.695040e-04,5.120000e-05,
